ab-e kamari	Āb-e Kamarī
adraskan	Adraskan
afaqi	Āfāqī
aibak	Aībak
alah say	Alah Sāy
amanzi	Amānzī
anar darah	Anār Darah
andkhoy	Andkhoy
aq kupruk	Āq Kupruk
aqcha	Aqcha
art khwajah	Ārt Khwājah
asadabad	Asadābād
ashkasham	Ashkāsham
asmar	Āsmār
baba sahib	Bābā Şāḩib
bagh-e maidan	Bāgh-e Maīdān
baghlan	Baghlān
bagrami	Bagrāmī
baharak	Bahārak
bal chiragh	Bal Chirāgh
bala murghab	Bala Murghab
balkh	Balkh
bamyan	Bāmyān
banu	Banū
baraki	Barakī
baraki barak	Baraki Barak
barg-e matal	Barg-e Matāl
bati	Bati
bazar-e talah	Bāzār-e Tālah
bazar-e tashkan	Bāzār-e Tashkān
bazar-e yakawlang	Bāzār-e Yakāwlang
bazarak	Bāzārak
bulolah	Bulōlah
burkah	Būrkah
chah ab	Chāh Āb
chahar bagh	Chahār Bāgh
chahar burj	Chahār Burj
chahar qal‘ah	Chahār Qal‘ah
chakaran	Chākarān
chakaray	Chakaray
chandal ba’i	Chandal Bā’ī
charikar	Charikar
charkh	Charkh
chichkah	Chīchkah
chimtal	Chimtāl
chinar	Chinār
chiras	Chīras
chisht-e sharif	Chisht-e Sharīf
chowney	Chowṉêy
dahan-e jarf	Dahan-e Jarf
dandar	Ḏanḏar
dangam	Dāngām
darayim	Darāyim
darqad	Darqad
darzab	Darzāb
dasht-e archi	Dasht-e Archī
dasht-e qal‘ah	Dasht-e Qal‘ah
de narkhel kelay	Dê Nārkhēl Kêlay
deh khwahan	Deh Khwāhān
deh-e now	Deh-e Now
deh-e salah	Deh-e Şalāḩ
dehdadi	Dehdādī
dehi	Dehī
doshi	Dōshī
dowlat shah	Dowlat Shāh
dowlatabad	Dowlatābād
dowlatyar	Dowlatyār
dowr-e rabat	Dowr-e Rabāţ
du lainah	Dū Laīnah
du qal‘ah	Dū Qal‘ah
duab	Dūāb
dwah manday	Dwah Manḏay
eslam qaleh	Eslam Qaleh
faizabad	Faīẕābād
farah	Farah
farkhar	Farkhār
fayroz koh	Fayrōz Kōh
fayzabad	Fayzabad
fayzabad	Fayẕābād
gardez	Gardez
gereshk	Gereshk
ghazni	Ghazni
ghoriyan	Ghōriyān
ghormach	Ghormach
ghulam ‘ali	Ghulām ‘Alī
ghurayd gharame	Ghurayd Gharamē
gomal kelay	Gōmal Kêlay
goshtah	Gōshtah
guzarah	Guz̄arah
hafiz moghul	Ḩāfiz̧ Moghul
hafizan	Ḩāfiz̧ān
haji khel	Ḩājī Khēl
herat	Herāt
hukumat-e nad ‘ali	Ḩukūmat-e Nād ‘Alī
hukumat-e shinkai	Ḩukūmat-e Shīnkaī
hukumati azrah	Ḩukūmatī Azrah
hukumati dahanah-ye ghori	Ḩukūmatī Dahanah-ye Ghōrī
ibrahim khan	Ibrāhīm Khān
imam sahib	Imām Şāḩib
injil	Injīl
islam chumgar	Islām Chumgar
istalif	Istālif
jabal os saraj	Jabal os Saraj
jalalabad	Jalālābād
jalrez	Jalrēz
jani khel	Jānī Khēl
jawand	Jawand
jurm	Jurm
kabul	Kabul
kajran	Kajrān
kalafgan	Kalafgān
kalakan	Kalakān
kalan deh	Kalān Deh
kandahar	Kandahār
kanday	Kanḏay
karbori	Karbōṟī
karukh	Karukh
kazhah	Kaz̲h̲ah
ka’i	Kā’ī
khadir	Khadīr
khakiran	Khākirān
khamyab	Khamyāb
khan neshin	Khān Neshīn
khanabad	Khanabad
khanaqah	Khānaqāh
khandud	Khandūd
khash	Khāsh
khayr kot	Khayr Kōṯ
khinj	Khinj
khinjan	Khinjān
khoshamand	Khōshāmand
khoshi	Khōshī
khost	Khōst
khudaydad khel	Khudāydād Khēl
khugyani	Khūgyāṉī
khulbisat	Khulbisāt
khulm	Khulm
khwajah du koh	Khwājah Dū Kōh
khwajah ghar	Khwājah Ghār
kiraman	Kirāmān
kishk-e nakhud	Kishk-e Nakhūd
kotowal	Kōṯowāl
kuhsan	Kuhsān
kunduz	Kunduz
kuran wa munjan	Kuran wa Munjan
kushk	Kushk
kushk-e kuhnah	Kushk-e Kuhnah
kushkak	Kushkak
lab-sar	Lab-Sar
langar	Langar
larkird	Larkird
lash	Lāsh
lash-e juwayn	Lāsh-e Juwayn
lashkar gah	Lashkar Gāh
la‘l	La‘l
maidan khulah	Maīdān Khūlah
mama khel	Māmā Khēl
mandol	Mandōl
manogay	Māṉōgay
march	March
mardian	Mardīān
markaz-e hukumat-e darweshan	Markaz-e Ḩukūmat-e Darwēshān
markaz-e hukumat-e sultan-e bakwah	Markaz-e Ḩukūmat-e Sulţān-e Bakwāh
markaz-e sayyidabad	Markaz-e Sayyidābād
markaz-e woluswali-ye achin	Markaz-e Woluswalī-ye Āchīn
mashhad	Mashhad
maydanshakhr	Maydanshakhr
maymana	Maymana
maymay	Māymay
mazad	Mazad
mazar-e sharif	Mazār-e Sharīf
mehtar lam	Mehtar Lām
mingajik	Mingajik
mir bachah kot	Mīr Bachah Kōṯ
mirabad	Mīrābād
miran	Mīrān
miray	Mīray
mizan ‘alaqahdari	Mīzān ‘Alāqahdārī
muhammad aghah wuluswali	Muḩammad Āghah Wuluswālī
muhmand dara	Muhmand Dara
muqer	Muqêr
musa qal‘ah	Mūsá Qal‘ah
muta khan	Mutā Khān
nahrin	Nahrīn
narang	Narang
naray	Nāṟay
nayak	Nayak
nayak	Nāyak
nikeh	Nīkêh
nili	Nīlī
now dahanak	Now Dahānak
now zad	Now Zād
nurgal	Nūrgal
nusay	Nūsay
obeh	Ōbêh
okak	Ōkak
omnah	Ōmnah
pachir wa agam	Pachīr wa Āgām
paghman	Paghmān
panjab	Panjāb
parun	Pārūn
pas pul	Pas Pul
pasaband	Pasāband
pashmul	Pāshmūl
pasnay	Pasnay
pul-e hisar	Pul-e Ḩişār
pul-e khumri	Pul-e Khumrī
pul-e sangi	Pul-e Sangī
pul-e ‘alam	Pul-e ‘Alam
qadis	Qādis
qaisar	Qaīşār
qala i naw	Qala i Naw
qalat	Qalāt
qal‘ah-ye farsi	Qal‘ah-ye Fārsī
qal‘ah-ye kuf	Qal‘ah-ye Kūf
qal‘ah-ye kuhnah	Qal‘ah-ye Kuhnah
qal‘ah-ye na‘im	Qal‘ah-ye Na‘īm
qal‘ah-ye shahi	Qal‘ah-ye Shāhī
qal‘ah-ye shahr	Qal‘ah-ye Shahr
qarah bagh	Qarah Bāgh
qarah bagh bazar	Qarah Bāgh Bāzār
qaram qol	Qaram Qōl
qaranghu toghai	Qaranghū Tōghaī
qarawul	Qarāwul
