aliaj	Aliaj
aliko	Aliko
allambres	Allambres
allkaj	Allkaj
aranitas	Aranitas
armen	Armen
arras	Arras
arren	Arrën
bajram curri	Bajram Curri
baldushk	Baldushk
ballaban	Ballaban
ballagat	Ballagat
balldreni i ri	Balldreni i Ri
ballsh	Ballsh
barmash	Barmash
baz	Baz
belsh	Belsh
berat	Berat
berdica e madhe	Bërdica e Madhe
berxull	Bërxull
berzhite	Bërzhitë
bicaj	Bicaj
bilisht	Bilisht
blerim	Blerim
blinisht	Blinisht
bogove	Bogovë
bradashesh	Bradashesh
brataj	Brataj
bubq	Bubq
bubullime	Bubullimë
bucimas	Buçimas
bujan	Bujan
bulqize	Bulqizë
burrel	Burrel
bushat	Bushat
bushtrice	Bushtricë
buz	Buz
bytyc	Bytyç
cakran	Cakran
carshove	Çarshovë
cepan	Çepan
cerava	Cerava
cerrik	Cërrik
clirim	Çlirim
corovode	Çorovodë
cudhi zall	Cudhi Zall
cukalat	Cukalat
dajc	Dajç
dajt	Dajt
dardhas	Dardhas
delvine	Delvinë
derjan	Derjan
dermenas	Dërmënas
dhermi	Dhërmi
dhiver	Dhivër
dishnice	Dishnicë
divjake	Divjakë
drenove	Drenovë
drenovice	Drenovicë
duhanas	Duhanas
durres	Durrës
dushk	Dushk
dushnik	Dushnik
elbasan	Elbasan
erseke	Ersekë
fajze	Fajzë
farka e madhe	Farka e Madhe
fier	Fier
fier-cifci	Fier-Çifçi
fier-shegan	Fier-Shegan
fierze	Fierzë
finiq	Finiq
frakulla e madhe	Frakulla e Madhe
frasher	Frashër
fratar	Fratar
funare	Funarë
fushe-arrez	Fushë-Arrëz
fushe-bulqize	Fushë-Bulqizë
fushe-cidhne	Fushë-Çidhnë
fushe-kruje	Fushë-Krujë
fushe-lure	Fushë-Lurë
fushe-muhurr	Fushë-Muhurr
fushekuqe	Fushëkuqe
gege	Gegë
gjader, dajc	Gjadër, Dajc
gjegjan	Gjegjan
gjepalaj	Gjepalaj
gjerbes	Gjerbës
gjergjan	Gjergjan
gjinaj	Gjinaj
gjinar	Gjinar
gjinkar	Gjinkar
gjirokaster	Gjirokastër
gjocaj	Gjoçaj
gjorica e siperme	Gjorica e Sipërme
golaj	Golaj
golem	Golem
goraj	Goraj
gose e madhe	Gosë e Madhe
gostime	Gostimë
grabjan	Grabjan
gracen	Gracen
gradishte	Gradishtë
gramsh	Gramsh
grekan	Grekan
greshice	Greshicë
grude-fushe	Grudë-Fushë
gruemire	Gruemirë
guri i zi	Guri i Zi
gurra e vogel	Gurra e Vogël
hajmel	Hajmel
hasan	Hasan
havaleas	Havaleas
hekal	Hekal
helmas	Helmas
himare	Himarë
hocisht	Hoçisht
hot	Hot
hotolisht	Hotolisht
hysgjokaj	Hysgjokaj
iballe	Iballë
ishem	Ishëm
kacinar	Kaçinar
kajan	Kajan
kakavije	Kakavijë
kalenje	Kalenjë
kalis	Kalis
kallmet	Kallmet
kallmeti i madh	Kallmeti i Madh
kamez	Kamëz
karbunara e vogel	Karbunara e Vogël
kardhiq	Kardhiq
karine	Karinë
kashar	Kashar
kastrat	Kastrat
kastriot	Kastriot
katundi i ri	Katundi i Ri
kavaje	Kavajë
kelcyre	Këlcyrë
klos	Klos
koder-vore	Kodër-Vorë
kodovjat	Kodovjat
kokaj	Kokaj
kolc	Kolç
kolonje	Kolonjë
kolsh	Kolsh
kombesi	Kombësi
konispol	Konispol
koplik	Koplik
kopliku i siperm	Kopliku i Siperm
korce	Korçë
kote	Kotë
kozare	Kozarë
krahes	Krahës
kraste	Krastë
krrabe	Krrabë
kruje	Krujë
krume	Krumë
krutja e poshtme	Krutja e Poshtme
kryevidh	Kryevidh
ksamil	Ksamil
kthella e eperme	Kthella e Epërme
kuc	Kuç
kucove	Kuçovë
kukes	Kukës
kukur	Kukur
kuman	Kuman
kurbnesh	Kurbnesh
kurjan	Kurjan
kushove	Kushovë
kutalli	Kutalli
kute	Kutë
labinot-fushe	Labinot-Fushë
labinot-mal	Labinot-Mal
lac	Laç
lapardha dy	Lapardha Dy
lapardha nje	Lapardha Një
lazarat	Lazarat
lekaj	Lekaj
lekas	Lekas
lekbibaj	Lekbibaj
lenias	Lenias
leshnje	Leshnjë
leskovik	Leskovik
levan	Levan
lezhe	Lezhë
libofshe	Libofshë
libohove	Libohovë
libonik	Libonik
librazhd	Librazhd
librazhd-qender	Librazhd-Qendër
liqenas	Liqenas
lis	Lis
livadhja	Livadhja
llugaj	Llugaj
luftinje	Luftinjë
lukove	Lukovë
lumas	Lumas
lunik	Lunik
lushnje	Lushnjë
luzi i vogel	Luzi i Vogël
macukull	Macukull
magjate	Magjatë
maliq	Maliq
maminas	Maminas
mamurras	Mamurras
manze	Manzë
maqellare	Maqellarë
markat	Markat
martanesh	Martanesh
