abovyan	Abovyan
achajur	Achajur
agarak	Agarak
agarakadzor	Agarakadzor
agarakavan	Agarakavan
aghavnadzor	Aghavnadzor
aghavnatun	Aghavnatun
aghdzk	Aghdzk
ajapnyak	Ajapnyak
akhtala	Akhtala
akhurik	Akhurik
akhuryan	Akhuryan
aknalich	Aknalich
aknashen	Aknashen
akner	Akner
akori	Akori
akunk	Akunk
alagyaz	Alagyaz
alapars	Alapars
alashkert	Alashkert
alaverdi	Alaverdi
amasia	Amasia
amberd	Amberd
angeghakot	Angeghakot
anushavan	Anushavan
apaga	Apaga
aparan	Aparan
arabkir	Arabkir
aragats	Aragats
aragatsavan	Aragatsavan
aragyugh	Aragyugh
araks	Araks
aralez	Aralez
aramus	Aramus
arapi	Arapi
ararat	Ararat
ararat village	Ararat village
aratashen	Aratashen
arazap	Arazap
arbat	Arbat
archis	Archis
areni	Areni
arevabuyr	Arevabuyr
arevashat	Arevashat
arevashogh	Arevashogh
arevik	Arevik
arevshat	Arevshat
arevut	Arevut
argavand	Argavand
argel	Argel
arinj	Arinj
arjut	Arjut
armash	Armash
armavir	Armavir
arpi	Arpi
arshaluys	Arshaluys
artashar	Artashar
artashat	Artashat
arteni	Arteni
artik	Artik
artimet	Artimet
artsvaberd	Artsvaberd
artsvanist	Artsvanist
aruch	Aruch
arzakan	Arzakan
arzni	Arzni
ashnak	Ashnak
ashotsk	Ashotsk
ashtarak	Ashtarak
astghadzor	Astghadzor
avan	Avan
avshar	Avshar
aygavan	Aygavan
aygedzor	Aygedzor
aygehovit	Aygehovit
aygek	Aygek
aygepat	Aygepat
aygeshat	Aygeshat
aygestan	Aygestan
aygevan	Aygevan
aygezard	Aygezard
ayntap	Ayntap
ayrum	Ayrum
azatamut	Azatamut
azatan	Azatan
azatavan	Azatavan
baghramyan	Baghramyan
bagratashen	Bagratashen
balahovit	Balahovit
bambakashat	Bambakashat
bardzrashen	Bardzrashen
basen	Basen
bazmaghbyur	Bazmaghbyur
bazum	Bazum
berd	Berd
berdavan	Berdavan
berkanush	Berkanush
bjni	Bjni
brnakot	Brnakot
burastan	Burastan
buzhakan	Buzhakan
byurakan	Byurakan
byuravan	Byuravan
byureghavan	Byureghavan
chambarak	Chambarak
charentsavan	Charentsavan
chochkan	Chochkan
dalar	Dalar
dalarik	Dalarik
darakert	Darakert
darbnik	Darbnik
darpas	Darpas
dasht	Dasht
dashtavan	Dashtavan
davtashen	Davtashen
ddmashen	Ddmashen
dilijan	Dilijan
dimitrov	Dimitrov
doghs	Doghs
dsegh	Dsegh
dvin	Dvin
dzithankov	Dzithankov
dzoraghbyur	Dzoraghbyur
dzoragyugh	Dzoragyugh
dzorakap	Dzorakap
erebuni	Erebuni
ferik	Ferik
fioletovo	Fioletovo
gagarin	Gagarin
gandzak	Gandzak
gandzakar	Gandzakar
gargar	Gargar
garni	Garni
gavar	Gavar
gay	Gay
geghakert	Geghakert
geghamasar	Geghamasar
geghamavan	Geghamavan
geghanist	Geghanist
gegharkunik	Gegharkunik
geghashen	Geghashen
geghhovit	Geghhovit
getahovit	Getahovit
getap	Getap
getapnya	Getapnya
getashen	Getashen
getazat	Getazat
ghukasavan	Ghukasavan
gladzor	Gladzor
gogaran	Gogaran
goght	Goght
goravan	Goravan
goris	Goris
gosh	Gosh
griboyedov	Griboyedov
gugark	Gugark
gyulagarak	Gyulagarak
gyumri	Gyumri
haghartsin	Haghartsin
haghtanak	Haghtanak
harich	Harich
hartagyugh	Hartagyugh
hartavan	Hartavan
hatsik	Hatsik
hayanist	Hayanist
haykashen	Haykashen
haykavan	Haykavan
haytagh	Haytagh
hnaberd	Hnaberd
horom	Horom
hovtamej	Hovtamej
hovtashat	Hovtashat
hovtashen	Hovtashen
hrazdan	Hrazdan
hushakert	Hushakert
ijevan	Ijevan
isahakyan	Isahakyan
janfida	Janfida
jermuk	Jermuk
jrahovit	Jrahovit
jrarat	Jrarat
jrarbi	Jrarbi
jrashen	Jrashen
jrvezh	Jrvezh
kaghsi	Kaghsi
kaghtsrashen	Kaghtsrashen
kajaran	Kajaran
kakavadzor	Kakavadzor
kamaris	Kamaris
kamo	Kamo
kanachut	Kanachut
kanaker-zeytun	Kanaker-Zeytun
kanakeravan	Kanakeravan
kapan	Kapan
kaputan	Kaputan
karaberd	Karaberd
karahunj	Karahunj
karakert	Karakert
karanlukh	Karanlukh
karbi	Karbi
karchaghbyur	Karchaghbyur
karmirgyugh	Karmirgyugh
kasakh	Kasakh
katnaghbyur	Katnaghbyur
katnajur	Katnajur
kentron	Kentron
khachaghbyur	Khachaghbyur
khachpar	Khachpar
khanjyan	Khanjyan
khashtarak	Khashtarak
khndzoresk	Khndzoresk
khoronk	Khoronk
koghb	Koghb
kornidzor	Kornidzor
kosh	Kosh
kotayk	Kotayk
koti	Koti
kuchak	Kuchak
kurtan	Kurtan
lanjaghbyur	Lanjaghbyur
lanjazat	Lanjazat
lchap	Lchap
lchashen	Lchashen
lenughi	Lenughi
lermontovo	Lermontovo
lernagog	Lernagog
lernahovit	Lernahovit
lernakert	Lernakert
lernanist	Lernanist
lernantsk	Lernantsk
lernapat	Lernapat
lernavan	Lernavan
lichk	Lichk
lukashin	Lukashin
lusaghbyur	Lusaghbyur
lusagyugh	Lusagyugh
lusakunk	Lusakunk
lusarat	Lusarat
madina	Madina
malatia-sebastia	Malatia-Sebastia
malishka	Malishka
maralik	Maralik
margahovit	Margahovit
margara	Margara
marmarashen	Marmarashen
marmashen	Marmashen
martuni	Martuni
masis	Masis
mastara	Mastara
mayakovski	Mayakovski
mayisyan	Mayisyan
meghradzor	Meghradzor
meghrashen	Meghrashen
meghri	Meghri
melikgyugh	Melikgyugh
merdzavan	Merdzavan
mets mantash	Mets Mantash
mets masrik	Mets Masrik
mets parni	Mets Parni
metsadzor	Metsadzor
metsamor	Metsamor
metsavan	Metsavan
mkhchyan	Mkhchyan
movses	Movses
mrganush	Mrganush
mrgashat	Mrgashat
mrgashen	Mrgashen
mrgastan	Mrgastan
mrgavan	Mrgavan
mrgavet	Mrgavet
mughni	Mughni
musaler	Musaler
mushavan	Mushavan
myasnikyan	Myasnikyan
nalbandyan	Nalbandyan
narek	Narek
navur	Navur
nerkin bazmaberd	Nerkin Bazmaberd
nerkin getashen	Nerkin Getashen
nerkin sasnashen	Nerkin Sasnashen
nizami	Nizami
nor armavir	Nor Armavir
nor artagers	Nor Artagers
nor artamet	Nor Artamet
nor geghi	Nor Geghi
nor gyugh	Nor Gyugh
nor hachn	Nor Hachn
nor kesaria	Nor Kesaria
nor kharberd	Nor Kharberd
nor kyank	Nor Kyank
nor kyurin	Nor Kyurin
nor nork	Nor Nork
nor yedesia	Nor Yedesia
nor yerznka	Nor Yerznka
norabats	Norabats
norakert	Norakert
noramarg	Noramarg
norapat	Norapat
norashen	Norashen
noratus	Noratus
noravan	Noravan
nork-marash	Nork-Marash
noyakert	Noyakert
noyemberyan	Noyemberyan
