aldeia nova	Aldeía Nova
alfandega	Alfândega
alto chicapa	Alto Chicapa
alto cuito	Alto Cuito
alto hama	Alto Hama
ambiula	Ambiula
amboiva	Amboíva
ambriz	Ambriz
andulo	Andulo
assango	Assango
atome	Atóme
babaera	Babaera
baia farta	Baía Farta
bailundo	Bailundo
baixo longa	Baixo Longa
balombo	Balombo
bambi	Bambi
banga	Banga
banza damba	Banza Damba
barra do cuanza	Barra do Cuanza
barra do dande	Barra do Dande
bela vista	Bela Vista
belize	Belize
belo horizonte	Belo Horizonte
bembe	Bembe
benfica	Benfica
bengo	Bengo
benguela	Benguela
bentiaba	Bentiaba
beu	Béu
bibala	Bibala
bimbe	Bimbe
bindo	Bindo
biopio	Biópio
boa entrada	Boa Entrada
bocoio	Bocoio
bolongongo	Bolongongo
bolonguera	Bolonguera
bom jesus	Bom Jesus
bondo caila	Bondo Caíla
botera	Botera
buco	Buco
buco zau	Buco Zau
buela	Buela
buenga-sul	Buenga-Sul
bula atumba	Bula Atumba
bungo	Bungo
caala	Caála
cabinda	Cabinda
cabiri	Cabiri
cabo ledo	Cabo Ledo
cabolombo	Cabolombo
cabombo	Cabombo
cabuta	Cabuta
cachimo	Cachimo
cachingues	Cachingues
cacimbas	Cacimbas
cacolo	Cacolo
cacoma	Cacoma
caconda	Caconda
cacongo	Cacongo
cacuaco	Cacuaco
cacula	Cacula
caculama	Caculama
caculo cabaca	Caculo Cabaça
caculo cahango	Caculo Cahango
cacuso	Cacuso
cafunfo	Cafunfo
cage mazumbo	Cage Mazumbo
cahama	Cahama
caianda	Caianda
caiave	Caiave
caieie	Caieie
caimbambo	Caimbambo
cainde	Cainde
caiongo	Caiongo
caita	Caita
caitou	Caitou
caiuera	Caiuera
caiundo	Caiundo
calai	Calai
calandula	Calandula
calima	Calima
calonamba	Calonamba
caluango	Caluango
caluca	Caluca
calucinga	Calucinga
calulo	Calulo
calumbo	Calumbo
calunda	Calunda
caluquembe	Caluquembe
camabatela	Camabatela
camacupa	Camacupa
camama	Camama
camame	Camame
camanongue	Camanongue
camatambo	Camatambo
camaxilo	Camaxilo
cambamba	Cambamba
cambandua	Cambândua
cambaxe	Cambaxe
cambo suinginge	Cambo Suinginge
camboio	Camboio
cambondo	Cambondo
cambuengo	Cambuengo
cambundi	Cambundi
cambundi catembo	Cambundi Catembo
cameia	Cameia
camissombo	Camissombo
camucuio	Camucuio
camuine	Camuine
canacassala	Canacassala
cangamba	Cangamba
cangandala	Cangandala
cangola	Cangola
cangombe	Cangombe
cangote	Cangote
cangumbe	Cangumbe
canhamela	Canhamela
canhoca	Canhoca
canjala	Canjala
canzar	Canzar
capaia	Capaia
capangombe	Capangombe
capelongo	Capelongo
capenda camulemba	Capenda Camulemba
capolo	Capolo
capunda	Capunda
capunda cavilongo	Capunda Cavilongo
capupa	Capupa
cariamba	Cariamba
cariango	Cariango
caribo	Caribo
cassai-sul	Cassai-Sul
cassamba	Cassamba
cassanguidi	Cassanguidi
cassanje	Cassanje
cassanje calucala	Cassanje Calucala
casseche	Casseche
cassengo	Cassengo
cassinga	Cassinga
cassoneca	Cassoneca
cassongo	Cassongo
cassongue	Cassongue
cassumbe	Cassumbe
catabola	Catabola
catata	Catata
catchiungo	Catchiungo
cateco cangola	Cateco Cangola
catengue	Catengue
catete	Catete
catumbela	Catumbela
caungula	Caungula
cavunga	Cavunga
