28 may	28 May
abrakunis	Abrakunis
agdas	Ağdaş
aghdam	Aghdam
aghjabadi	Aghjabadi
aghlavashli	Aghlavashli
aghstafa	Aghstafa
aghsu	Aghsu
alabashli	Alabashli
aliabad	Aliabad
altiaghaj	Altiaghaj
alvand	Alvand
amirdzhan	Amirdzhan
aran	Aran
ariqdam	Arıqdam
ariqiran	Arıqıran
asagi kungut	Aşağı Küngüt
ashaghi aghjakand	Ashaghi Aghjakand
ashaghi guzdak	Ashaghi Guzdak
askyaran	Askyaran
astara	Astara
avsar	Avşar
babak	Babak
badamdar	Badamdar
bahramtepe	Bahramtepe
bakixanov	Bakıxanov
baku	Baku
balakhani	Balakhani
barda	Barda
bas goynuk	Baş Göynük
basgal	Basgal
belokany	Belokany
beshinji zobujug	Beshinji Zobujug
beylagan	Beylagan
bilajari	Bilajari
bilajer	Bilajer
binagadi	Binagadi
biny selo	Biny Selo
birinci asiqli	Birinci Aşıqlı
birinji zobujug	Birinji Zobujug
boradigah	Boradigah
boyuk qaramurad	Böyük Qaramurad
bucaq	Bucaq
bum	Bum
buzovna	Buzovna
catax	Çatax
chaikenary	Chaikenary
chinarli	Chinarli
cinarli	Çinarlı
cobansignaq	Çobansığnaq
dalimammadli	Dalimammadli
dallar	Dallar
dashkasan	Dashkasan
dasuz	Daşüz
deste	Deste
digah	Digah
divichibazar	Divichibazar
dollyar-dzhagir	Dollyar-Dzhagir
dondar quscu	Dondar Quşçu
dordunju zobujug	Dordunju Zobujug
dunyamalilar	Dünyamalılar
faldarli	Faldarlı
fatmayi	Fatmayı
fuzuli	Fuzuli
gadabay	Gadabay
gamzali	Gamzali
ganja	Ganja
garaaghajli	Garaaghajli
garayeri	Garayeri
gazakh	Gazakh
geytepe	Geytepe
gilazi	Gilazi
gilgilcay	Gilgilçay
givrag	Givrag
gizilhajili	Gizilhajili
gobu	Gobu
gobustan	Gobustan
goradil	Goradil
goranboy	Goranboy
govlar	Govlar
goycay	Göyçay
goygol	Goygol
guzanli	Guzanli
guzdak	Guzdak
hacihuseynli	Hacıhüseynli
haciqabul	Hacıqabul
haftoni	Haftoni
haji zeynalabdin	Haji Zeynalabdin
hajimalik	Hajimalik
heydarabad	Heydarabad
hindarkh	Hindarkh
hokmali	Hokmali
horadiz	Horadiz
hovsan	Hövsan
ikinji zobujug	Ikinji Zobujug
imishli	Imishli
institut	Institut
ismayilli	Ismayilli
jabrayil	Jabrayil
jahri	Jahri
jalilabad	Jalilabad
jeyranbatan	Jeyranbatan
jorat	Jorat
julfa	Julfa
kalbajar	Kalbajar
karkijahan	Karkijahan
khankendi	Khankendi
khirdalan	Khirdalan
khizi	Khizi
khojaly	Khojaly
khojasan	Khojasan
khojavend	Khojavend
kizhaba	Kizhaba
korgoz	Korgöz
kur	Kur
kyurdakhany	Kyurdakhany
kyurdarmir	Kyurdarmir
lacin	Laçın
lankaran	Lankaran
lerik	Lerik
lokbatan	Lokbatan
madrasa	Madrasa
mahmudlu	Mahmudlu
mamrux	Mamrux
mardakan	Mardakan
masally	Masally
mastaga	Maştağa
mehdiabad	Mehdiabad
mincivan	Mincivan
mingachevir	Mingachevir
mughan	Mughan
muxtariyyat	Muxtariyyat
nadil	Nadil
naftalan	Naftalan
nardaran	Nardaran
naxcivan	Naxçıvan
neftcala	Neftçala
nehram	Nehram
novosaratovka	Novosaratovka
novxani	Novxanı
oguz	Oğuz
ordubad	Ordubad
orjonikidze	Orjonikidze
pirallahi	Pirallahı
poylu	Poylu
pushkino	Pushkino
puta	Puta
qabala	Qabala
qabaqcol	Qabaqçöl
qala	Qala
qalaqayin	Qalaqayın
qandax	Qandax
qaracala	Qaraçala
qaracuxur	Qaraçuxur
qaramanli	Qaramanlı
qaraxanli	Qaraxanlı
qax	Qax
qax ingiloy	Qax İngiloy
qaxbas	Qaxbaş
qobustan	Qobustan
quba	Quba
qubadli	Qubadlı
qusar	Qusar
ramana	Ramana
saatli	Saatlı
sabir	Sabir
sabirabad	Sabirabad
sabuncu	Sabunçu
saloghlu	Saloghlu
salyan	Salyan
samad vurghun	Samad Vurghun
samukh	Samukh
samur	Samur
samuxlu	Samuxlu
sanqacal	Sanqaçal
saray	Saray
sedarak	Sedarak
severo-vostotchnyi bank	Severo-Vostotchnyi Bank
shahbuz	Shahbuz
shahriyar	Shahriyar
shamakhi	Shamakhi
shamkhir	Shamkhir
sharur city	Sharur City
sheki	Sheki
shorabad	Shorabad
shusha	Shusha
sirvan	Şirvan
siyazan	Siyazan
sovetabad	Sovetabad
soyugbulag	Soyugbulag
sumbatan-diza	Sumbatan-diza
sumgayit	Sumgayit
tartar	Tartar
tikanli	Tikanlı
tovuz	Tovuz
turkan	Türkan
uchunju zobujug	Uchunju Zobujug
ujar	Ujar
vank	Vank
vurghun	Vurghun
xacmaz	Xaçmaz
xilli	Xıllı
xudat	Xudat
yaniqli	Yanıqlı
yardimli	Yardımlı
yayci	Yaycı
yeni suraxani	Yeni Suraxanı
yevlakh	Yevlakh
yukhari dashkasan	Yukhari Dashkasan
yuxari aran	Yuxarı Aran
yuxari salahli	Yuxarı Salahlı
zabrat	Zabrat
zangilan	Zangilan
zaqatala	Zaqatala
zardob	Zardob
zayam	Zayam
zyrya	Zyrya
əhmədbəyli	Əhmədbəyli
