's-gravenvoeren	's-Gravenvoeren
's-gravenwezel	's-Gravenwezel
aaigem	Aaigem
aalbeke	Aalbeke
aalst	Aalst
aalter	Aalter
aarschot	Aarschot
aarsele	Aarsele
aartrijke	Aartrijke
aartselaar	Aartselaar
achel	Achel
achene	Achêne
acoz	Acoz
adegem	Adegem
adinkerke	Adinkerke
agimont	Agimont
aische-en-refail	Aische-en-Refail
aiseau	Aiseau
alken	Alken
alleur	Alleur
alsemberg	Alsemberg
alveringem	Alveringem
amay	Amay
ambleve	Amblève
amougies	Amougies
ampsin	Ampsin
andenne	Andenne
anderlecht	Anderlecht
anderlues	Anderlues
andrimont	Andrimont
angleur	Angleur
anhee	Anhée
ans	Ans
anseremme	Anseremme
anseroeul	Anseroeul
antheit	Antheit
anthisnes	Anthisnes
antoing	Antoing
antwerp	Antwerp
anvaing	Anvaing
anzegem	Anzegem
appels	Appels
appelterre-eichem	Appelterre-Eichem
archennes	Archennes
ardooie	Ardooie
arendonk	Arendonk
argenteau	Argenteau
arlon	Arlon
arquennes	Arquennes
arsimont	Arsimont
arville	Arville
as	As
aspelare	Aspelare
asper	Asper
asse	Asse
assebroek	Assebroek
assenede	Assenede
assenois	Assenois
assent	Assent
assesse	Assesse
astene	Astene
ath	Ath
athus	Athus
attenhoven	Attenhoven
attenrode	Attenrode
attert	Attert
aubange	Aubange
aubel	Aubel
auderghem	Auderghem
aulnois	Aulnois
autelbas	Autelbas
autre-eglise	Autre-Église
auvelais	Auvelais
avelgem	Avelgem
averbode	Averbode
awans	Awans
awirs	Awirs
aye	Aye
ayeneux	Ayeneux
aywaille	Aywaille
baal	Baal
baardegem	Baardegem
baarle-hertog	Baarle-Hertog
baasrode	Baasrode
bachte-maria-leerne	Bachte-Maria-Leerne
baelen	Baelen
baileux	Baileux
baisy-thy	Baisy-Thy
balegem	Balegem
balen	Balen
bambrugge	Bambrugge
barchon	Barchon
barry	Barry
barvaux	Barvaux
bas-oha	Bas-Oha
bas-warneton	Bas-Warneton
basecles	Basècles
basse lasne	Basse Lasne
bassenge	Bassenge
bassevelde	Bassevelde
bassilly	Bassilly
bastogne	Bastogne
battice	Battice
baudour	Baudour
bavegem	Bavegem
bavikhove	Bavikhove
bazel	Bazel
beaufays	Beaufays
beaumont	Beaumont
beauraing	Beauraing
