absouya	Absouya
aribinda	Aribinda
bama	Bama
banfora	Banfora
barani	Barani
barogo	Barogo
batie	Batié
beguedo	Béguédo
bilanga	Bilanga
bingo	Bingo
bittou	Bittou
bobo-dioulasso	Bobo-Dioulasso
bogande	Bogandé
boromo	Boromo
boulsa	Boulsa
boundore	Boundoré
bourzanga	Bourzanga
bousse	Boussé
boussouma	Boussouma
cinkanse	Cinkansé
dano	Dano
dapelogo	Dapélogo
dedougou	Dédougou
deou	Déou
diapaga	Diapaga
diebougou	Diébougou
djibo	Djibo
dori	Dori
fada n'gourma	Fada N'gourma
fara department	Fara Department
gao	Gao
gaongo	Gaongo
gaoua	Gaoua
garango	Garango
gayeri	Gayéri
gomboussougou	Gomboussougou
gorom-gorom	Gorom-Gorom
gouloure	Goulouré
gourcy	Gourcy
hounde	Houndé
karankasso	Karankasso
kaya	Kaya
kayao	Kayao
kindi	Kindi
kiougou-kandaga	Kiougou-Kandaga
kokologo	Kokologo
kombissiri	Kombissiri
komki-ipala	Komki-Ipala
kompienga	Kompienga
komsilga	Komsilga
kongoussi	Kongoussi
korsimoro	Korsimoro
koubri	Koubri
koudougou	Koudougou
kouka	Kouka
koupela	Koupéla
laye	Laye
leo	Léo
loumbila	Loumbila
mane	Mané
manga	Manga
mangodara	Mangodara
mani	Mani
mogtedo	Mogtédo
nagreongo	Nagréongo
namponkore	Namponkoré
nanoro	Nanoro
natiaboani	Natiaboani
niangoloko	Niangoloko
nioko i	Nioko I
niou	Niou
nouna	Nouna
orodara	Orodara
ouagadougou	Ouagadougou
ouahigouya	Ouahigouya
ouargaye	Ouargaye
ourgou-manega	Ourgou-Manéga
oursi	Oursi
pa	Pa
pabre	Pabré
pama	Pama
pissila	Pissila
pitmoaga	Pitmoaga
po	Pô
pouytenga	Pouytenga
reo	Réo
saaba	Saaba
sabou	Sabou
sam	Sam
saonre	Saonré
sapone	Saponé
sapouy	Sapouy
sebba	Sebba
sigle	Siglé
sindou	Sindou
solenzo	Solenzo
sourgoubila	Sourgoubila
tanghin-dassouri	Tanghin-Dassouri
tenkodogo	Tenkodogo
tin-akoff	Tin-Akoff
tita	Tita
titao	Titao
to	Tô
toeghin	Toéghin
toma	Toma
tougan	Tougan
yako	Yako
yalgo	Yalgo
zabre	Zabré
zinguedesse	Zinguédéssé
ziniare	Ziniaré
zitenga	Zitenga
zorgo	Zorgo
