bubanza	Bubanza
buganda	Buganda
bujumbura	Bujumbura
bururi	Bururi
bwambarangwe	Bwambarangwe
cankuzo	Cankuzo
cendajuru	Cendajuru
cibitoke	Cibitoke
gatumba	Gatumba
gitega	Gitega
giteranyi	Giteranyi
isale	Isale
kanyosha	Kanyosha
karusi	Karusi
kayanza	Kayanza
kayogoro	Kayogoro
kirundo	Kirundo
mabanda	Mabanda
makamba	Makamba
matana	Matana
mpanda	Mpanda
mugongomanga	Mugongomanga
muramvya	Muramvya
muyinga	Muyinga
muzinda	Muzinda
mwaro	Mwaro
ngozi	Ngozi
rumonge	Rumonge
rutana	Rutana
ruyigi	Ruyigi
vyanda	Vyanda
zanandore	Zanandore
