abomey	Abomey
abomey-calavi	Abomey-Calavi
adjaouere	Adjaouèrè
adjarra	Adjarra
adjohon	Adjohon
agoue	Agoué
allada	Allada
angara-debou	Angara-Débou
aplahoue	Aplahoué
athieme	Athiémé
avakpa	Avakpa
avrankou	Avrankou
banigbe	Banigbé
banikoara	Banikoara
bante	Banté
bassila	Bassila
bembereke	Bembèrèkè
beterou	Bétérou
bohicon	Bohicon
boukoumbe	Boukoumbé
cobly	Cobly
come	Comé
cotonou	Cotonou
cove	Cové
dassa-zoume	Dassa-Zoumè
djakotome	Djakotomé
djidja	Djidja
djougou	Djougou
dogbo	Dogbo
ekpe	Ekpé
ganvie	Ganvié
glazoue	Glazoué
godome	Godomè
gogounou	Gogounou
goumori	Goumori
grand-popo	Grand-Popo
guilmaro	Guilmaro
hevie	Hévié
hinvi	Hinvi
houinvigue	Houinvigue
kalale	Kalalé
kandi	Kandi
kerou	Kérou
ketou	Kétou
klouekanme	Klouékanmè
kopargo	Kopargo
kouande	Kouandé
kpomasse	Kpomassè
kpozoun	Kpozoun
lalo	Lalo
lokossa	Lokossa
malanville	Malanville
materi	Matéri
misserete	Missérété
natitingou	Natitingou
ndali	Ndali
nikki	Nikki
ouake	Ouaké
ouesse	Ouessé
ouidah	Ouidah
ouinhi	Ouinhi
pahou	Pahou
parakou	Parakou
pehonko	Péhonko
perere	Pèrèrè
pobe	Pobé
porto-novo	Porto-Novo
sakete	Sakété
sam	Sam
savalou	Savalou
save	Savé
se	Sé
segbana	Ségbana
semi	Semi
sinende	Sinendé
so-ava	So-Ava
tanguieta	Tanguiéta
tchaourou	Tchaourou
tobre	Tobré
tori-bossito	Tori-Bossito
toukountouna	Toukountouna
toviklin	Toviklin
zagnanado	Zagnanado
ze	Zé
zinvie	Zinvié
zounke	Zounké
