bandar seri begawan	Bandar Seri Begawan
bangar	Bangar
junjongan	Junjongan
kampong ayer	Kampong Ayer
kampong kiajong	Kampong Kiajong
kampong lambak a	Kampong Lambak A
kampong meragang	Kampong Meragang
kampong mulaut	Kampong Mulaut
kampung beribi	Kampung Beribi
kampung jerudong	Kampung Jerudong
kampung lugu	Kampung Lugu
kampung mata-mata	Kampung Mata-Mata
kampung panaga	Kampung Panaga
kampung pangkalan gadong	Kampung Pangkalan Gadong
kampung peninjau	Kampung Peninjau
kampung rimba	Kampung Rimba
kampung selayun	Kampung Selayun
kampung sungai teraban	Kampung Sungai Teraban
kampung tanah jambu	Kampung Tanah Jambu
kampung tanjong nangka	Kampung Tanjong Nangka
kapok	Kapok
katok	Katok
keriam	Keriam
kiudang	Kiudang
kota batu	Kota Batu
kuala belait	Kuala Belait
kulapis	Kulapis
kupang	Kupang
lamunin	Lamunin
liang	Liang
lumapas	Lumapas
mentiri	Mentiri
muara	Muara
penanjong	Penanjong
pengkalan batu	Pengkalan Batu
perumahan negara panchor	Perumahan Negara Panchor
salambigar	Salambigar
sengkarai	Sengkarai
sengkurong	Sengkurong
serasa	Serasa
seria	Seria
sinarubai	Sinarubai
subok	Subok
sungai hanching	Sungai Hanching
telamba	Telamba
telisai	Telisai
tutong	Tutong
