abraham’s bay	Abraham’s Bay
alice town	Alice Town
andros town	Andros Town
arthur’s town	Arthur’s Town
black point	Black Point
clarence town	Clarence Town
cockburn town	Cockburn Town
colonel hill	Colonel Hill
cooper’s town	Cooper’s Town
duncan town	Duncan Town
dunmore town	Dunmore Town
freeport	Freeport
freetown	Freetown
george town	George Town
governor’s harbour	Governor’s Harbour
hard bargain	Hard Bargain
high rock	High Rock
killarney	Killarney
lucaya	Lucaya
marsh harbour	Marsh Harbour
masons bay	Masons Bay
matthew town	Matthew Town
nassau	Nassau
port nelson	Port Nelson
san andros	San Andros
spanish wells	Spanish Wells
treasure cay	Treasure Cay
west end	West End
