autsho	Autsho
daga	Daga
daphu	Daphu
gasa	Gasa
geylegphug	Geylegphug
ha	Ha
jakar	Jakar
laya	Laya
lhuentse	Lhuentse
lungtenzampa	Lungtenzampa
mebisa	Mebisa
mongar	Mongar
pajo	Pajo
panbang	Panbang
paro	Paro
pemagatshel	Pemagatshel
phuntsholing	Phuntsholing
punakha	Punākha
samdrup jongkhar	Samdrup Jongkhar
samtse	Samtse
sarpang	Sarpang
shemgang	Shemgang
thimphu	Thimphu
trashi yangtse	Trashi Yangtse
trashigang	Trashigang
trongsa	Trongsa
tsimasham	Tsimasham
tsirang	Tsirang
ura	Ura
wangdue phodrang	Wangdue Phodrang
