aktsyabrski	Aktsyabrski
antopal’	Antopal’
asnyezhytsy	Asnyezhytsy
astrashytski haradok	Astrashytski Haradok
astraviec	Astraviec
asvieja	Asvieja
atolina	Atolina
azyartso	Azyartso
bal’shavik	Bal’shavik
baranovichi	Baranovichi
baran’	Baran’
baruny	Baruny
barysaw	Barysaw
belynichi	Belynichi
beshenkovichi	Beshenkovichi
bierazino	Bierazino
blon’	Blon’
bobr	Bobr
bobruysk	Bobruysk
bolbasovo	Bolbasovo
borovlyany	Borovlyany
bragin	Bragin
braslav	Braslav
brest	Brest
buda-kashalyova	Buda-Kashalyova
buynichy	Buynichy
buynovichi	Buynovichi
byahoml’	Byahoml’
byaroza	Byaroza
byarozawka	Byarozawka
byelaazyorsk	Byelaazyorsk
bykhov	Bykhov
cervien	Červień
chachersk	Chachersk
charnawchytsy	Charnawchytsy
chashniki	Chashniki
chausy	Chausy
cherikov	Cherikov
chyrvonaya slabada	Chyrvonaya Slabada
chyst’	Chyst’
damachava	Damachava
dashkawka	Dashkawka
davyd-haradok	Davyd-Haradok
dobrush	Dobrush
dokshytsy	Dokshytsy
dowsk	Dowsk
drogichin	Drogichin
druja	Druja
druzhny	Druzhny
drybin	Drybin
dubrowna	Dubrowna
dukora	Dukora
dyatlovo	Dyatlovo
dzisna	Dzisna
dzyarzhynsk	Dzyarzhynsk
enyerhyetykaw	Enyerhyetykaw
fanipol	Fanipol
glusk	Glusk
gorodeya	Gorodeya
gorodishche	Gorodishche
gorodok	Gorodok
hal’shany	Hal’shany
hantsavichy	Hantsavichy
hatava	Hatava
hlusha	Hlusha
hlybokaye	Hlybokaye
homyel'	Homyel'
horad krychaw	Horad Krychaw
horad zhodzina	Horad Zhodzina
horki	Horki
hotsk	Hotsk
hrodna	Hrodna
hyeranyony	Hyeranyony
ilja	Iĺja
indura	Indura
ivanovo	Ivanovo
ivatsevichi	Ivatsevichi
ivyanyets	Ivyanyets
iwye	Iwye
kadino	Kadino
kalinkovichi	Kalinkovichi
kalodzishchy	Kalodzishchy
kamenets	Kamenets
kamyanyuki	Kamyanyuki
kamyennyya lavy	Kamyennyya Lavy
karanyowka	Karanyowka
kastsyukowka	Kastsyukowka
