abba	Abba
alindao	Alindao
baboua	Baboua
bambari	Bambari
bamingui	Bamingui
bangassou	Bangassou
bangui	Bangui
baoro	Baoro
batangafo	Batangafo
bayanga	Bayanga
begoua	Bégoua
berberati	Berbérati
bimbo	Bimbo
birao	Birao
boali	Boali
bobangui	Bobangui
bocaranga	Bocaranga
boda	Boda
bossangoa	Bossangoa
bossembele	Bossembélé
bossemtele i	Bossemtele I
bouar	Bouar
bouca	Bouca
bozoum	Bozoum
bria	Bria
carnot	Carnot
damara	Damara
dekoa	Dekoa
gambo	Gambo
gamboula	Gamboula
grimari	Grimari
ippy	Ippy
kabo	Kabo
kaboro	Kaboro
kaga-bandoro	Kaga-Bandoro
kembe	Kembé
kouango	Kouango
mbaiki	Mbaïki
mbres	Mbrés
mobaye	Mobaye
mongoumba	Mongoumba
ndele	Ndélé
nola	Nola
obo	Obo
ouadda	Ouadda
ouanda djalle	Ouanda Djallé
ouango	Ouango
paoua	Paoua
sibut	Sibut
yaloke	Yaloké
zemio	Zemio
