aadorf	Aadorf
aarau	Aarau
aarberg	Aarberg
aarburg	Aarburg
aarwangen	Aarwangen
acquarossa	Acquarossa
adelboden	Adelboden
adligenswil	Adligenswil
adliswil	Adliswil
adliswil / adliswil (stadtkern)	Adliswil / Adliswil (Stadtkern)
adliswil / hundli-zopf	Adliswil / Hündli-Zopf
adliswil / oberleimbach	Adliswil / Oberleimbach
adliswil / sonnenberg	Adliswil / Sonnenberg
adliswil / sood	Adliswil / Sood
adliswil / tal	Adliswil / Tal
aesch	Aesch
aeschi b. spiez	Aeschi b. Spiez
aeugst am albis	Aeugst am Albis
affeltrangen	Affeltrangen
affoltern / hasenbuel	Affoltern / Hasenbüel
affoltern / oberdorf	Affoltern / Oberdorf
affoltern / sonnenberg	Affoltern / Sonnenberg
affoltern / unterdorf	Affoltern / Unterdorf
affoltern am albis	Affoltern am Albis
agno	Agno
aigle	Aigle
aire-la-ville	Aire-la-Ville
airolo	Airolo
alle	Alle
allschwil	Allschwil
alpnach	Alpnach
altdorf	Altdorf
altendorf	Altendorf
alterswil	Alterswil
altishofen	Altishofen
altnau	Altnau
altstatten	Altstätten
amden	Amden
amriswil	Amriswil
andelfingen	Andelfingen
andermatt	Andermatt
andwil	Andwil
anieres	Anières
appenzell	Appenzell
apples	Apples
arbon	Arbon
arch	Arch
ardon	Ardon
arisdorf	Arisdorf
aristau	Aristau
arlesheim	Arlesheim
arosa	Arosa
arth	Arth
arvigo	Arvigo
arzier	Arzier
arzo	Arzo
ascona	Ascona
attalens	Attalens
attinghausen	Attinghausen
attiswil	Attiswil
au	Au
au / mittel-dorf	Au / Mittel-Dorf
au / unter-dorf	Au / Unter-Dorf
aubonne	Aubonne
auswil	Auswil
auvernier	Auvernier
auw	Auw
avenches	Avenches
avry-sur-matran	Avry-sur-Matran
avully	Avully
ayent	Ayent
baar	Baar
bach	Bäch
bachenbulach	Bachenbülach
bad ragaz	Bad Ragaz
bad zurzach	Bad Zurzach
baden	Baden
bagnes	Bagnes
balerna	Balerna
balgach	Balgach
ballens	Ballens
ballwil	Ballwil
balsthal	Balsthal
baltschieder	Baltschieder
baretswil	Bäretswil
bariswil	Bäriswil
bas-vully	Bas-Vully
basel	Basel
basse-nendaz	Basse-Nendaz
bassecourt	Bassecourt
bassersdorf	Bassersdorf
batterkinden	Bätterkinden
bauen	Bauen
bauma	Bauma
bavois	Bavois
beatenberg	Beatenberg
beckenried	Beckenried
bedigliora	Bedigliora
begnins	Begnins
belfaux	Belfaux
bellevue	Bellevue
bellinzona	Bellinzona
bellmund	Bellmund
belmont-sur-lausanne	Belmont-sur-Lausanne
belp	Belp
benglen	Benglen
benken	Benken
berg	Berg
berikon	Berikon
beringen	Beringen
bern	Bern
bernex	Bernex
berolle	Berolle
beromunster	Beromünster
besenburen	Besenbüren
bettingen	Bettingen
bettlach	Bettlach
bevaix	Bevaix
bevilard	Bévilard
bex	Bex
biasca	Biasca
biberist	Biberist
biberstein	Biberstein
