abertamy	Abertamy
adamov	Adamov
albrechtice	Albrechtice
albrechtice nad orlici	Albrechtice nad Orlicí
albrechtice nad vltavou	Albrechtice nad Vltavou
as	Aš
babice	Babice
babice nad svitavou	Babice nad Svitavou
bakov nad jizerou	Bakov nad Jizerou
banov	Bánov
bartosovice	Bartošovice
baska	Baška
bast	Bašť
batelov	Batelov
bavorov	Bavorov
bechlin	Bechlín
bechyne	Bechyně
becov	Bečov
bedihost	Bedihošť
bela nad radbuzou	Bělá nad Radbuzou
bela pod bezdezem	Bělá pod Bezdězem
bela pod pradedem	Bělá pod Pradědem
belkovice-lastany	Bělkovice-Lašťany
belotin	Bělotín
benatky nad jizerou	Benátky nad Jizerou
benecko	Benecko
benesov	Benešov
benesov nad cernou	Benešov nad Černou
benesov nad ploucnici	Benešov nad Ploučnicí
bernartice	Bernartice
beroun	Beroun
bila lhota	Bílá Lhota
bila tremesna	Bílá Třemešná
bilina	Bílina
bilovec	Bílovec
bilovice	Bílovice
bilovice nad svitavou	Bílovice nad Svitavou
blansko	Blansko
blatna	Blatná
blatnice pod svatym antoninkem	Blatnice pod Svatým Antonínkem
blazovice	Blažovice
blizejov	Blížejov
blizkovice	Blížkovice
blovice	Blovice
blucina	Blučina
bludov	Bludov
bochov	Bochov
bohdalov	Bohdalov
bohdikov	Bohdíkov
bohnice	Bohnice
bohumin	Bohumín
bohunice	Bohunice
bohunovice	Bohuňovice
bohuslavice	Bohuslavice
bohusovice nad ohri	Bohušovice nad Ohří
bohutin	Bohutín
bojkovice	Bojkovice
bolatice	Bolatice
bor	Bor
borek	Borek
boretice	Bořetice
boritov	Bořitov
borohradek	Borohrádek
borova lada	Borová Lada
borovany	Borovany
borsice	Boršice
borsov nad vltavou	Boršov nad Vltavou
boskovice	Boskovice
bosonohy	Bosonohy
bosovice	Bošovice
bouzov	Bouzov
bozice	Božice
branany	Braňany
brandys nad labem-stara boleslav	Brandýs nad Labem-Stará Boleslav
brandys nad orlici	Brandýs nad Orlicí
brandysek	Brandýsek
branik	Braník
branka u opavy	Branka u Opavy
brantice	Brantice
brasy	Břasy
breclav	Břeclav
brezi	Březí
brezina	Březina
breznice	Březnice
brezno	Březno
brezolupy	Březolupy
brezova	Březová
brezova nad svitavou	Březová nad Svitavou
brezova-olesko	Březová-Oleško
bridlicna	Břidličná
brloh	Brloh
brnenec	Brněnec
brniste	Brniště
brno	Brno
brno stred	Brno střed
brno-jih	Brno-jih
brodek u prerova	Brodek u Přerova
brodek u prostejova	Brodek u Prostějova
broumov	Broumov
brozany nad ohri	Brozany nad Ohří
brtnice	Brtnice
brumov-bylnice	Brumov-Bylnice
brumovice	Brumovice
bruntal	Bruntál
brusperk	Brušperk
buchlovice	Buchlovice
bucovice	Bučovice
budisov	Budišov
budisov nad budisovkou	Budišov nad Budišovkou
budyne nad ohri	Budyně nad Ohří
bukovany	Bukovany
bukovec	Bukovec
bustehrad	Buštěhrad
bysice	Byšice
byst	Býšť
bystrany	Bystřany
bystrc	Bystrc
bystre	Bystré
bystrec	Bystřec
bystrice	Bystřice
bystrice nad pernstejnem	Bystřice nad Pernštejnem
bystrice pod hostynem	Bystřice pod Hostýnem
bzenec	Bzenec
cakovice	Čakovice
caslav	Čáslav
castolovice	Častolovice
cebin	Čebín
cechovice	Čechovice
cechtice	Čechtice
cechy pod kosirem	Čechy pod Kosířem
cejc	Čejč
cejkovice	Čejkovice
celadna	Čeladná
celakovice	Čelákovice
celechovice na hane	Čelechovice na Hané
cercany	Čerčany
cerhenice	Cerhenice
cerna hora	Černá Hora
cerncice	Černčice
cernilov	Černilov
cernosice	Černošice
cernosin	Černošín
cernovice	Černovice
cernozice	Černožice
cerny most	Černý Most
cervena voda	Červená Voda
cervene pecky	Červené Pečky
cervenka	Červenka
cerveny kostelec	Červený Kostelec
cerveny ujezd	Červený Újezd
ceska	Česká
ceska kamenice	Česká Kamenice
ceska lipa	Česká Lípa
ceska skalice	Česká Skalice
ceska trebova	Česká Třebová
ceska ves	Česká Ves
ceske budejovice	České Budějovice
ceske mezirici	České Meziříčí
ceske velenice	České Velenice
cesky brod	Český Brod
cesky dub	Český Dub
cesky krumlov	Český Krumlov
cesky rudolec	Český Rudolec
cesky tesin	Český Těšín
chabarovice	Chabařovice
cheb	Cheb
chlebicov	Chlebičov
chlum u trebone	Chlum u Třeboně
chlumcany	Chlumčany
chlumec	Chlumec
chlumec nad cidlinou	Chlumec nad Cidlinou
chocen	Choceň
chodov	Chodov
chodova plana	Chodová Planá
chomutov	Chomutov
chotebor	Chotěboř
chotebuz	Chotěbuz
chotesov	Chotěšov
chotoviny	Chotoviny
chrast	Chrast
chrast	Chrást
chrastany	Chrášťany
chrastava	Chrastava
chribska	Chřibská
chrlice	Chrlice
chropyne	Chropyně
chroustovice	Chroustovice
chrudim	Chrudim
chrustenice	Chrustenice
chuchelna	Chuchelná
chvalcov	Chvalčov
chvaletice	Chvaletice
chvalsiny	Chvalšiny
chynava	Chyňava
chyne	Chýně
chynov	Chýnov
chysky	Chyšky
cimelice	Čimelice
cimice	Čimice
cirkvice	Církvice
citov	Cítov
cizkovice	Čížkovice
ckyne	Čkyně
cvikov	Cvikov
dacice	Dačice
dalovice	Dalovice
damborice	Dambořice
darkovice	Darkovice
dasice	Dašice
davle	Davle
decin	Děčín
dejvice	Dejvice
desna	Desná
detmarovice	Dětmarovice
divisov	Divišov
dlouha loucka	Dlouhá Loučka
dlouha trebova	Dlouhá Třebová
dobra	Dobrá
dobra voda u ceskych budejovic	Dobrá Voda u Českých Budějovic
dobrany	Dobřany
dobratice	Dobratice
dobrejovice	Dobřejovice
dobrichovice	Dobřichovice
dobris	Dobříš
dobriv	Dobřív
dobromerice	Dobroměřice
dobronin	Dobronín
dobrovice	Dobrovice
dobruska	Dobruška
dobsice	Dobšice
doksy	Doksy
dolany	Dolany
dolni becva	Dolní Bečva
dolni benesov	Dolní Benešov
dolni berkovice	Dolní Beřkovice
dolni bojanovice	Dolní Bojanovice
dolni bousov	Dolní Bousov
dolni brezany	Dolní Břežany
dolni bukovsko	Dolní Bukovsko
dolni cerekev	Dolní Cerekev
dolni cermna	Dolní Čermná
dolni cernilov	Dolní Černilov
dolni chabry	Dolní Chabry
dolni dobrouc	Dolní Dobrouč
dolni dunajovice	Dolní Dunajovice
dolni dvoriste	Dolní Dvořiště
dolni kounice	Dolní Kounice
dolni lhota	Dolní Lhota
dolni loucky	Dolní Loućky
dolni lutyne	Dolní Lutyně
dolni nemci	Dolní Němčí
dolni pocernice	Dolní Počernice
dolni podluzi	Dolní Podluží
dolni poustevna	Dolní Poustevna
dolni roven	Dolní Roveň
dolni rychnov	Dolní Rychnov
dolni sloupnice	Dolní Sloupnice
dolni studenky	Dolní Studénky
dolni ujezd	Dolní Újezd
dolni zandov	Dolní Žandov
dolni zivotice	Dolní Životice
doloplazy	Doloplazy
domamyslice	Domamyslice
domanin	Domanín
domazlice	Domažlice
doubrava	Doubrava
doubravice nad svitavou	Doubravice nad Svitavou
doudleby nad orlici	Doudleby nad Orlicí
drahanovice	Drahanovice
drasov	Drásov
drevohostice	Dřevohostice
driten	Dřiteň
drnholec	Drnholec
drnovice	Drnovice
drzovice	Držovice
dub nad moravou	Dub nad Moravou
duba	Dubá
dubi	Dubí
dubicko	Dubicko
dubnany	Dubňany
dubne	Dubné
duchcov	Duchcov
dvorce	Dvorce
dvur kralove nad labem	Dvůr Králové nad Labem
dysina	Dýšina
francova lhota	Francova Lhota
frantiskovy lazne	Františkovy Lázně
frenstat pod radhostem	Frenštát pod Radhoštěm
frycovice	Fryčovice
frydek-mistek	Frýdek-Místek
frydlant	Frýdlant
frydlant nad ostravici	Frýdlant nad Ostravicí
frymburk	Frymburk
frystak	Fryšták
fulnek	Fulnek
golcuv jenikov	Golčův Jeníkov
grygov	Grygov
habartov	Habartov
habry	Habry
haj u duchcova	Háj u Duchcova
haj ve slezsku	Háj ve Slezsku
haje	Háje
halenkov	Halenkov
halenkovice	Halenkovice
hamry nad sazavou	Hamry nad Sázavou
hanusovice	Hanušovice
harrachov	Harrachov
hat	Hať
havirov	Havířov
havlickuv brod	Havlíčkův Brod
hazlov	Hazlov
hejnice	Hejnice
heralec	Herálec
herink	Herink
hermanova hut	Heřmanova Huť
hermanuv mestec	Heřmanův Městec
hevlin	Hevlín
hlinsko	Hlinsko
hlohovec	Hlohovec
hloubetin	Hloubětín
hlubocepy	Hlubočepy
hlubocky	Hlubočky
hluboka nad vltavou	Hluboká nad Vltavou
hlucin	Hlučín
hluk	Hluk
hlusovice	Hlušovice
hnevosice	Hněvošice
hnevotin	Hněvotín
hnojnik	Hnojník
hodkovice nad mohelkou	Hodkovice nad Mohelkou
hodkovicky	Hodkovičky
hodonice	Hodonice
hodonin	Hodonín
hodslavice	Hodslavice
holasovice	Holasovice
holesov	Holešov
holesovice	Holešovice
holice	Holice
holoubkov	Holoubkov
holubice	Holubice
holysov	Holýšov
horazdovice	Horažďovice
horice	Hořice
horka nad moravou	Horka nad Moravou
horni becva	Horní Bečva
horni benesov	Horní Benešov
horni bludovice	Horní Bludovice
horni branna	Horní Branná
horni briza	Horní Bříza
horni cerekev	Horní Cerekev
horni cermna	Horní Čermná
horni jeleni	Horní Jelení
horni jiretin	Horní Jiřetín
horni lidec	Horní Lideč
horni mecholupy	Horní Měcholupy
horni mesto	Horní Město
horni mostenice	Horní Moštěnice
horni plana	Horní Planá
horni pocaply	Horní Počaply
horni pocernice	Horní Počernice
horni slavkov	Horní Slavkov
horni sloupnice	Horní Sloupnice
horni stropnice	Horní Stropnice
horni sucha	Horní Suchá
horni terlicko	Horní Těrlicko
horomerice	Horoměřice
horovice	Hořovice
horsovsky tyn	Horšovský Týn
hostalkova	Hošťálková
hostavice	Hostavice
hosteradice	Hostěradice
hostinne	Hostinné
hostivar	Hostivař
hostivice	Hostivice
hostka	Hošťka
hostomice	Hostomice
hostoun	Hostouň
hovezi	Hovězí
hovorany	Hovorany
hovorcovice	Hovorčovice
hrabyne	Hrabyně
hradec kralove	Hradec Králové
hradec nad moravici	Hradec nad Moravicí
hradec nad svitavou	Hradec nad Svitavou
hradek	Hrádek
hradek nad nisou	Hrádek nad Nisou
hradistko	Hradištko
hranice	Hranice
hrdejovice	Hrdějovice
hrebec	Hřebeč
hrob	Hrob
hrochuv tynec	Hrochův Týnec
hromnice	Hromnice
hronov	Hronov
hrotovice	Hrotovice
hroznetin	Hroznětín
hroznova lhota	Hroznová Lhota
hrusky	Hrušky
hrusovany nad jevisovkou	Hrušovany nad Jevišovkou
hrusovany u brna	Hrušovany u Brna
hudlice	Hudlice
hukvaldy	Hukvaldy
hulin	Hulín
humpolec	Humpolec
husinec	Husinec
huslenky	Huslenky
hustopece	Hustopeče
hustopece nad becvou	Hustopeče Nad Bečvou
hutisko-solanec	Hutisko-Solanec
hvozdna	Hvozdná
hyskov	Hýskov
ivancice	Ivančice
ivanovice	Ivanovice
ivanovice na hane	Ivanovice na Hané
jablonec nad jizerou	Jablonec nad Jizerou
jablonec nad nisou	Jablonec nad Nisou
jablonne nad orlici	Jablonné nad Orlicí
jablonne v podjestedi	Jablonné v Podještědí
jablunka	Jablůnka
jablunkov	Jablunkov
jachymov	Jáchymov
jakartovice	Jakartovice
jalubi	Jalubí
janov nad nisou	Janov nad Nisou
janovice	Janovice
janovice nad uhlavou	Janovice nad Úhlavou
jaromer	Jaroměř
jaromerice	Jaroměřice
jaromerice nad rokytnou	Jaroměřice nad Rokytnou
jaroslavice	Jaroslavice
jarosov nad nezarkou	Jarošov nad Nežárkou
javornik	Javorník
jedlova	Jedlová
jedovnice	Jedovnice
jehnice	Jehnice
jemnice	Jemnice
jenec	Jeneč
jesenice	Jesenice
jesenik	Jeseník
jesenik nad odrou	Jeseník nad Odrou
jevicko	Jevíčko
jevisovice	Jevišovice
jicin	Jičín
jihlava	Jihlava
jilemnice	Jilemnice
jilove	Jílové
jilove u prahy	Jílové u Prahy
jimramov	Jimramov
jince	Jince
jindrichov	Jindřichov
jindrichuv hradec	Jindřichův Hradec
jinocany	Jinočany
jinonice	Jinonice
jirikov	Jiříkov
jirkov	Jirkov
jirny	Jirny
jistebnice	Jistebnice
jistebnik	Jistebník
josefuv dul	Josefův Důl
jundrov	Jundrov
kacice	Kačice
kadan	Kadaň
kajov	Kájov
kamenice	Kamenice
kamenice nad lipou	Kamenice nad Lipou
kamenicky senov	Kamenický Šenov
kamenne zehrovice	Kamenné Žehrovice
kamenny privoz	Kamenný Přívoz
kamenny ujezd	Kamenný Újezd
kanice	Kanice
kaplice	Kaplice
kardasova recice	Kardašova Řečice
karlin	Karlín
karlovice	Karlovice
karlovy vary	Karlovy Vary
karolinka	Karolinka
karvina	Karviná
kasejovice	Kasejovice
kasperske hory	Kašperské Hory
katovice	Katovice
kaznejov	Kaznějov
kbely	Kbely
kdyne	Kdyně
kelc	Kelč
kladno	Kladno
kladruby	Kladruby
klaster	Klášter
klasterec nad ohri	Klášterec nad Ohří
klatovy	Klatovy
klecany	Klecany
klenci pod cerchovem	Klenčí pod Čerchovem
klimkovice	Klimkovice
klobouky u brna	Klobouky u Brna
