aabenraa	Aabenraa
aalborg	Aalborg
aars	Aars
abybro	Åbybro
aeroskobing	Ærøskøbing
akirkeby	Åkirkeby
albaek	Ålbæk
albertslund	Albertslund
alestrup	Ålestrup
alholm	Alholm
allerod	Allerød
allingabro	Allingåbro
allinge	Allinge
alsgarde	Ålsgårde
ans	Ans
arden	Arden
arhus	Århus
arslev	Årslev
arup	Årup
asnaes	Asnæs
assens	Assens
assentoft	Assentoft
augustenborg	Augustenborg
auning	Auning
avedore	Avedøre
avlum	Avlum
baekke	Bække
ballerup	Ballerup
beder	Beder
bellinge	Bellinge
billund	Billund
birkerod	Birkerød
bjaeverskov	Bjæverskov
bjerringbro	Bjerringbro
blovstrod	Blovstrød
bogense	Bogense
bording kirkeby	Bording Kirkeby
borkop	Børkop
borup	Borup
braedstrup	Brædstrup
bramming	Bramming
brande	Brande
bredebro	Bredebro
bredsten	Bredsten
brejning	Brejning
brenderup	Brenderup
broager	Broager
brondby strand	Brøndby Strand
brondbyvester	Brøndbyvester
bronderslev	Brønderslev
brorup	Brørup
brovst	Brovst
buddinge	Buddinge
bullerup	Bullerup
byrum	Byrum
charlottenlund	Charlottenlund
christiansfeld	Christiansfeld
christianshavn	Christianshavn
christianso	Christiansø
copenhagen	Copenhagen
dianalund	Dianalund
dragor	Dragør
dronninglund	Dronninglund
dybbol	Dybbøl
ebeltoft	Ebeltoft
egtved	Egtved
ejby	Ejby
elling	Elling
esbjerg	Esbjerg
eskilstrup	Eskilstrup
espergaerde	Espergærde
faaborg	Faaborg
farso	Farsø
farum	Farum
faxe	Faxe
faxe ladeplads	Faxe Ladeplads
fensmark	Fensmark
fjerritslev	Fjerritslev
flong	Fløng
forlev	Forlev
framlev	Framlev
fredensborg	Fredensborg
fredericia	Fredericia
frederiksberg	Frederiksberg
frederikshavn	Frederikshavn
frederikssund	Frederikssund
frederiksvaerk	Frederiksværk
frejlev	Frejlev
fuglebjerg	Fuglebjerg
gadstrup	Gadstrup
galten	Galten
gandrup	Gandrup
ganlose	Ganløse
gedved	Gedved
gelsted	Gelsted
gevninge	Gevninge
gilleleje	Gilleleje
gistrup	Gistrup
give	Give
gjellerup	Gjellerup
gjern	Gjern
glamsbjerg	Glamsbjerg
glostrup	Glostrup
glumso	Glumsø
gording	Gørding
gorlev	Gørlev
graested	Græsted
gram	Gram
grasten	Gråsten
gredstedbro	Gredstedbro
grenaa	Grenaa
greve	Greve
grindsted	Grindsted
guderup	Guderup
gundsomagle	Gundsømagle
haarby	Haarby
haderslev	Haderslev
hadsten	Hadsten
hadsund	Hadsund
hals	Hals
hammel	Hammel
hammerum	Hammerum
hanstholm	Hanstholm
harboore	Harboøre
harlev	Harlev
harlev	Hårlev
hasle	Hasle
haslev	Haslev
hasselager	Hasselager
hatting	Hatting
havdrup	Havdrup
hedehusene	Hedehusene
hedensted	Hedensted
hellebaek	Hellebæk
helsinge	Helsinge
helsingor	Helsingør
herlev	Herlev
herning	Herning
hillerod	Hillerød
hinnerup	Hinnerup
hirtshals	Hirtshals
hjallerup	Hjallerup
hjordkaer	Hjordkær
hjorring	Hjørring
hjortshoj	Hjortshøj
hobro	Hobro
hojby	Højby
hojer	Højer
holbaek	Holbæk
holeby	Holeby
holstebro	Holstebro
holsted	Holsted
holte	Holte
hong	Høng
hornbaek	Hornbæk
horning	Hørning
hornslet	Hornslet
hornsyld	Hornsyld
horsens	Horsens
horsholm	Hørsholm
horuphav	Høruphav
horve	Hørve
humlebaek	Humlebæk
hundested	Hundested
hurup	Hurup
hvide sande	Hvide Sande
hvidovre	Hvidovre
idestrup	Idestrup
ikast	Ikast
indre by	Indre By
ishoj	Ishøj
jaegerspris	Jægerspris
jelling	Jelling
juelsminde	Juelsminde
jyderup	Jyderup
jyllinge	Jyllinge
kalundborg	Kalundborg
karise	Karise
karup	Karup
kas	Kås
kerteminde	Kerteminde
kibaek	Kibæk
kirke hvalso	Kirke Hvalsø
kirke-esbonderup	Kirke-Esbønderup
kjellerup	Kjellerup
klarup	Klarup
klinteby frihed	Klinteby Frihed
klitmoller	Klitmøller
knabstrup	Knabstrup
koge	Køge
kokkedal	Kokkedal
kolding	Kolding
kolt	Kolt
kongens lyngby	Kongens Lyngby
korsor	Korsør
krusa	Kruså
kvistgard	Kvistgård
langa	Langå
langeskov	Langeskov
lasby	Låsby
lejre	Lejre
lemvig	Lemvig
lille skensved	Lille Skensved
lillerod	Lillerød
lind	Lind
lisbjerg	Lisbjerg
liseleje	Liseleje
logstor	Løgstør
logstrup	Løgstrup
logten	Løgten
logumkloster	Løgumkloster
lojt kirkeby	Løjt Kirkeby
lokken	Løkken
losning	Løsning
lunderskov	Lunderskov
lynge	Lynge
lystrup	Lystrup
malling	Malling
malov	Måløv
mariager	Mariager
maribo	Maribo
marslet	Mårslet
marstal	Marstal
mern	Mern
middelfart	Middelfart
morkov	Mørkøv
munkebo	Munkebo
naestved	Næstved
nakskov	Nakskov
neder holluf	Neder Holluf
neder vindinge	Neder Vindinge
nexo	Nexø
nibe	Nibe
niva	Nivå
nodebo	Nødebo
norager	Nørager
nordborg	Nordborg
nordby	Nordby
norre aby	Nørre Åby
norre alslev	Nørre Alslev
norre bindslev	Nørre Bindslev
norre broby	Nørre Broby
norre nebel	Nørre Nebel
norresundby	Nørresundby
nyborg	Nyborg
nykobing falster	Nykøbing Falster
nykobing mors	Nykøbing Mors
nykobing sjaelland	Nykøbing Sjælland
nyrad	Nyråd
nysted	Nysted
odder	Odder
odense	Odense
oksbol	Oksbøl
olgod	Ølgod
olsted	Ølsted
olstykke	Ølstykke
orbaek	Ørbæk
orslev	Ørslev
orum	Ørum
ostbirk	Østbirk
osted	Osted
otterup	Otterup
outrup	Outrup
over holluf	Over Holluf
padborg	Padborg
pandrup	Pandrup
praesto	Præstø
ramlose	Ramløse
randers	Randers
ribe	Ribe
ringe	Ringe
ringkobing	Ringkøbing
ringsted	Ringsted
rodby	Rødby
rodbyhavn	Rødbyhavn
rodding	Rødding
rodekro	Rødekro
rodovre	Rødovre
rodvig	Rødvig
ronde	Rønde
ronne	Rønne
ronnede	Rønnede
rorvig	Rørvig
roskilde	Roskilde
rudkobing	Rudkøbing
ruds-vedby	Ruds-Vedby
