6th of october city	6th of October City
abnub	Abnūb
abu al matamir	Abū al Maţāmīr
abu an numrus	Abū an Numrus
abu hammad	Abū Ḩammād
abu hummus	Abū Ḩummuş
abu kabir	Abū Kabīr
abu qir	Abū Qīr
abu qurqas	Abū Qurqāş
abu simbel	Abu Simbel
abu suweir-el-mahatta	Abu Suweir-el-Mahatta
abu tij	Abū Tīj
abu tisht	Abū Ţisht
ad dilinjat	Ad Dilinjāt
ad-dawahy	Aḍ-Ḍawāḥy
aga	Aga
ain sukhna	Ain Sukhna
akhmim	Akhmīm
al badari	Al Badārī
al badrashayn	Al Badrashayn
al bajur	Al Bājūr
al balyana	Al Balyanā
al basaliyah bahri	Al Başalīyah Baḩrī
al bawiti	Al Bawīţī
al bayadiyah	Al Bayāḑīyah
al burj	Al Burj
al fashn	Al Fashn
al fayyum	Al Fayyum
al ghanayim	Al Ghanāyim
al hammam	Al Ḩammām
al hamul	Al Ḩāmūl
al hawamidiyah	Al Ḩawāmidīyah
al husayniyah	Al Ḩusaynīyah
al ibrahimiyah	Al Ibrāhīmīyah
al jammaliyah	Al Jammālīyah
al khankah	Al Khānkah
al kharjah	Al Khārjah
al khusus	Al Khuşūş
al mahallah al kubra	Al Maḩallah al Kubrá
al mahmudiyah	Al Maḩmūdīyah
al mansurah	Al Mansurah
al manzalah	Al Manzalah
al maraghah	Al Marāghah
al matariyah	Al Maţarīyah
al minshah	Al Minshāh
al qahirah al jadidah	Al Qāhirah al Jadīdah
al qanatir al khayriyah	Al Qanāţir al Khayrīyah
al qanayat	Al Qanāyāt
al qantarah	Al Qanţarah
al qassasin	Al Qaşşāşīn
al qurayn	Al Qurayn
al qusayr	Al Quşayr
al qusiyah	Al Qūşīyah
al waqf	Al Waqf
al wasitah	Al Wāsiţah
al yasiniyah	Al Yāsīnīyah
al ‘alamayn	Al ‘Alamayn
al ‘ashir min ramadan	Al ‘Āshir min Ramaḑān
al ‘ayn as sukhnah	Al ‘Ayn as Sukhnah
al ‘ayyat	Al ‘Ayyāţ
al ‘idwah	Al ‘Idwah
al-'ubur	Al-'Ubūr
al-kharijah	Al-Khārijah
al-manakh	Al-Manākh
al-minya al-jadidah	Al-Minyā al-Jadīdah
alexandria	Alexandria
an nasiriyah	An Nāşirīyah
an nubariyah	An Nūbārīyah
an-najaylah	An-Najaylah
