a bana	A Baña
a coruna	A Coruña
a estrada	A Estrada
a guarda	A Guarda
a pobra do brollon	A Pobra do Brollon
a pobra do caraminal	A Pobra do Caramiñal
a ramallosa	A Ramallosa
a rua	A Rúa
a veiga	A Veiga
ababuj	Ababuj
abades	Abades
abadia	Abadía
abadin	Abadín
abadino	Abadiño
abaigar	Abáigar
abajas	Abajas
abalos	Ábalos
abaltzisketa	Abaltzisketa
abanades	Abánades
abanilla	Abanilla
abanto	Abanto
abaran	Abarán
abegondo	Abegondo
abejar	Abejar
abella de la conca	Abella de la Conca
abengibre	Abengibre
abenojar	Abenójar
abertura	Abertura
abezames	Abezames
abia de las torres	Abia de las Torres
abiego	Abiego
abizanda	Abizanda
abla	Abla
ablanque	Ablanque
ablitas	Ablitas
abrantes	Abrantes
abrera	Abrera
abrucena	Abrucena
abusejo	Abusejo
acacias	Acacias
acebedo	Acebedo
acebo	Acebo
acedera	Acedera
aceituna	Aceituna
acered	Acered
aceuchal	Aceuchal
adahuesca	Adahuesca
adalia	Adalia
adamuz	Adamuz
adanero	Adanero
adeje	Adeje
adelfas	Adelfas
ademuz	Ademuz
adios	Adiós
adobes	Adobes
ador	Ador
adra	Adra
adrada de haza	Adrada de Haza
adrada de piron	Adrada de Pirón
adradas	Adradas
adrados	Adrados
adsubia	Adsubia
aduna	Aduna
adzaneta	Adzaneta
aeropuerto	Aeropuerto
agaete	Agaete
agallas	Agallas
ager	Àger
agon	Agón
agoncillo	Agoncillo
agost	Agost
agramunt	Agramunt
agreda	Ágreda
agres	Agres
agron	Agrón
aguadulce	Aguadulce
aguaron	Aguarón
aguasal	Aguasal
aguaton	Aguatón
aguaviva	Aguaviva
agudo	Agudo
aguero	Agüero
aguilafuente	Aguilafuente
aguilar	Aguilar
aguilar de bureba	Aguilar de Bureba
aguilar de campoo	Aguilar de Campoo
aguilar de campos	Aguilar de Campos
aguilar de codes	Aguilar de Codés
aguilar de segarra	Aguilar de Segarra
aguilar del alfambra	Aguilar del Alfambra
aguilar del rio alhama	Aguilar del Río Alhama
aguilas	Águilas
aguilon	Aguilón
aguimes	Agüimes
agullana	Agullana
agullent	Agullent
agulo	Agulo
agurain / salvatierra	Agurain / Salvatierra
ahigal	Ahigal
ahigal de los aceiteros	Ahigal de los Aceiteros
ahigal de villarino	Ahigal de Villarino
ahillones	Ahillones
aia	Aia
aielo de malferit	Aielo de Malferit
aiguafreda	Aiguafreda
aiguaviva	Aiguaviva
aigues	Aigües
ainsa	Aínsa
ainzon	Ainzón
aitona	Aitona
aizarnazabal	Aizarnazabal
ajalvir	Ajalvir
ajamil	Ajamil
ajofrin	Ajofrín
alacon	Alacón
aladren	Aladrén
alaejos	Alaejos
alagon	Alagón
alaior	Alaior
alajar	Alájar
alajero	Alajeró
alameda	Alameda
alameda de osuna	Alameda de Osuna
alameda del valle	Alameda del Valle
alamedilla	Alamedilla
alamillo	Alamillo
alaminos	Alaminos
alange	Alange
alanis	Alanís
alaquas	Alaquàs
alar del rey	Alar del Rey
alaraz	Alaraz
alarba	Alarba
alarcon	Alarcón
alarilla	Alarilla
alaro	Alaró
alas i cerc	Alàs i Cerc
alatoz	Alatoz
alba	Alba
alba de cerrato	Alba de Cerrato
alba de tormes	Alba de Tormes
alba de yeltes	Alba de Yeltes
albacete	Albacete
albaida	Albaida
albaida del aljarafe	Albaida del Aljarafe
albal	Albal
albala	Albalá
albaladejo	Albaladejo
albaladejo del cuende	Albaladejo del Cuende
albalat de la ribera	Albalat de la Ribera
albalat dels sorells	Albalat dels Sorells
albalat dels tarongers	Albalat dels Tarongers
albalate de cinca	Albalate de Cinca
albalate de las nogueras	Albalate de las Nogueras
albalate de zorita	Albalate de Zorita
albalate del arzobispo	Albalate del Arzobispo
albalatillo	Albalatillo
albanchez	Albanchez
albares	Albares
albarracin	Albarracín
albarreal de tajo	Albarreal de Tajo
albatana	Albatana
albatera	Albatera
albelda	Albelda
albelda de iregua	Albelda de Iregua
albendea	Albendea
albendiego	Albendiego
albentosa	Albentosa
alberche del caudillo	Alberche del Caudillo
alberic	Alberic
alberite	Alberite
alberite de san juan	Alberite de San Juan
albero alto	Albero Alto
albero bajo	Albero Bajo
alberuela de tubo	Alberuela de Tubo
albesa	Albesa
albeta	Albeta
albillos	Albillos
albinyana	Albinyana
albiztur	Albiztur
albocasser	Albocàsser
albolote	Albolote
albondon	Albondón
albons	Albons
alborache	Alborache
alboraya	Alboraya
alborea	Alborea
alborge	Alborge
albornos	Albornos
albox	Albox
albudeite	Albudeite
albuixech	Albuixech
albunan	Albuñán
albunol	Albuñol
albunuelas	Albuñuelas
alburquerque	Alburquerque
alcabon	Alcabón
alcadozo	Alcadozo
alcaine	Alcaine
alcala de ebro	Alcalá de Ebro
alcala de guadaira	Alcalá de Guadaira
alcala de gurrea	Alcalá de Gurrea
alcala de henares	Alcalá de Henares
alcala de la selva	Alcalá de la Selva
alcala de la vega	Alcalá de la Vega
alcala de los gazules	Alcalá de los Gazules
alcala de moncayo	Alcalá de Moncayo
alcala de xivert	Alcalà de Xivert
alcala del jucar	Alcalá del Júcar
alcala del obispo	Alcalá del Obispo
alcala del rio	Alcalá del Río
alcala del valle	Alcalá del Valle
alcala la real	Alcalá la Real
alcalali	Alcalalí
alcanadre	Alcanadre
alcanar	Alcanar
alcanices	Alcañices
alcaniz	Alcañiz
alcanizo	Alcañizo
alcano	Alcanó
alcantara	Alcántara
alcantarilla	Alcantarilla
alcantera de xuquer	Alcàntera de Xúquer
alcantud	Alcantud
alcaracejos	Alcaracejos
alcaraz	Alcaraz
alcarras	Alcarràs
alcasser	Alcàsser
alcaucin	Alcaucín
alcaudete	Alcaudete
alcazar de san juan	Alcázar de San Juan
alcazar del rey	Alcázar del Rey
alcazaren	Alcazarén
alcoba	Alcoba
alcobendas	Alcobendas
alcoceber	Alcocéber
alcocer	Alcocer
alcocer de planes	Alcocer de Planes
alcocero de mola	Alcocero de Mola
alcohujate	Alcohujate
alcolea	Alcolea
alcolea de calatrava	Alcolea de Calatrava
alcolea de cinca	Alcolea de Cinca
alcolea de las penas	Alcolea de las Peñas
alcolea de tajo	Alcolea de Tajo
alcolea del pinar	Alcolea del Pinar
alcolea del rio	Alcolea del Río
alcoletge	Alcoletge
alcollarin	Alcollarín
alconaba	Alconaba
alconada	Alconada
alconada de maderuelo	Alconada de Maderuelo
alconchel	Alconchel
alconchel de ariza	Alconchel de Ariza
alconchel de la estrella	Alconchel de la Estrella
alconera	Alconera
alcontar	Alcóntar
alcorcon	Alcorcón
alcorisa	Alcorisa
alcoroches	Alcoroches
alcover	Alcover
alcoy	Alcoy
alcubierre	Alcubierre
alcubilla de avellaneda	Alcubilla de Avellaneda
alcubilla de las penas	Alcubilla de las Peñas
alcubilla de nogales	Alcubilla de Nogales
alcubillas	Alcubillas
alcublas	Alcublas
alcudia	Alcúdia
alcudia de monteagud	Alcudia de Monteagud
alcudia de veo	Alcudia de Veo
alcuescar	Alcuéscar
aldaia	Aldaia
aldea de san miguel	Aldea de San Miguel
aldea del cano	Aldea del Cano
aldea del fresno	Aldea del Fresno
aldea del obispo	Aldea del Obispo
aldea del rey	Aldea del Rey
aldea real	Aldea Real
aldeacentenera	Aldeacentenera
aldeacipreste	Aldeacipreste
aldeadavila de la ribera	Aldeadávila de la Ribera
aldealafuente	Aldealafuente
aldealcorvo	Aldealcorvo
aldealengua	Aldealengua
aldealengua de santa maria	Aldealengua de Santa María
aldealpozo	Aldealpozo
aldealsenor	Aldealseñor
aldeamayor de san martin	Aldeamayor de San Martín
aldeanueva de barbarroya	Aldeanueva de Barbarroya
aldeanueva de ebro	Aldeanueva de Ebro
aldeanueva de figueroa	Aldeanueva de Figueroa
aldeanueva de guadalajara	Aldeanueva de Guadalajara
aldeanueva de la sierra	Aldeanueva de la Sierra
aldeanueva de la vera	Aldeanueva de la Vera
aldeanueva de san bartolome	Aldeanueva de San Bartolomé
aldeanueva de santa cruz	Aldeanueva de Santa Cruz
aldeanueva del camino	Aldeanueva del Camino
aldeanueva del codonal	Aldeanueva del Codonal
aldeaquemada	Aldeaquemada
aldearrodrigo	Aldearrodrigo
aldearrubia	Aldearrubia
aldeaseca	Aldeaseca
aldeaseca de alba	Aldeaseca de Alba
aldeaseca de la frontera	Aldeaseca de la Frontera
aldeasona	Aldeasoña
aldeatejada	Aldeatejada
aldeavieja de tormes	Aldeavieja de Tormes
aldehuela de la boveda	Aldehuela de la Bóveda
aldehuela de liestos	Aldehuela de Liestos
aldehuela de yeltes	Aldehuela de Yeltes
aldehuela del codonal	Aldehuela del Codonal
aldeire	Aldeire
aldeonte	Aldeonte
aledo	Aledo
alegia	Alegia
alella	Alella
alentisque	Alentisque
alerre	Alerre
alesanco	Alesanco
aleson	Alesón
alfacar	Alfacar
alfafar	Alfafar
alfafara	Alfafara
alfajarin	Alfajarín
alfambra	Alfambra
alfamen	Alfamén
alfantega	Alfántega
alfara de algimia	Alfara de Algimia
alfara del patriarca	Alfara del Patriarca
alfarnate	Alfarnate
alfarnatejo	Alfarnatejo
alfaro	Alfaro
alfarp	Alfarp
alfarras	Alfarràs
alfarrasi	Alfarrasí
alfauir	Alfauir
alfes	Alfés
alfondeguilla	Alfondeguilla
alforja	Alforja
alforque	Alforque
algadefe	Algadefe
algaida	Algaida
algamitas	Algámitas
algar	Algar
algar de mesa	Algar de Mesa
algarinejo	Algarinejo
algarra	Algarra
algarrobo	Algarrobo
algatocin	Algatocín
algeciras	Algeciras
algemesi	Algemesí
algerri	Algerri
algete	Algete
algimia de alfara	Algimia de Alfara
algimia de almonacid	Algimia de Almonacid
alginet	Alginet
algodonales	Algodonales
algodre	Algodre
algora	Algora
algorfa	Algorfa
algorta	Algorta
alguaire	Alguaire
alguazas	Alguazas
alguena	Algueña
alhabia	Alhabia
alhama de almeria	Alhama de Almería
alhama de aragon	Alhama de Aragón
alhama de granada	Alhama de Granada
alhama de murcia	Alhama de Murcia
alhambra	Alhambra
alhaurin de la torre	Alhaurín de la Torre
alhaurin el grande	Alhaurín el Grande
alhendin	Alhendín
alhondiga	Alhóndiga
alia	Alía
aliaga	Aliaga
aliaguilla	Aliaguilla
alicante	Alicante
alicun	Alicún
alicun de ortega	Alicún de Ortega
alio	Alió
alique	Alique
aliseda	Aliseda
aliud	Aliud
aljaraque	Aljaraque
aljucen	Aljucén
alkiza	Alkiza
allariz	Allariz
allepuz	Allepuz
allo	Allo
alloza	Alloza
allueva	Allueva
almacelles	Almacelles
almachar	Almáchar
almaden	Almadén
almaden de la plata	Almadén de la Plata
almadrones	Almadrones
almagro	Almagro
almajano	Almajano
almaluez	Almaluez
almansa	Almansa
almanza	Almanza
almaraz	Almaraz
almaraz de duero	Almaraz de Duero
almargen	Almargen
almarza	Almarza
almarza de cameros	Almarza de Cameros
almassora	Almassora
almazan	Almazán
almazul	Almazul
almedijar	Almedíjar
almedina	Almedina
almedinilla	Almedinilla
almegijar	Almegíjar
almenar	Almenar
almenar de soria	Almenar de Soria
almenara	Almenara
almenara de adaja	Almenara de Adaja
almenara de tormes	Almenara de Tormes
almendra	Almendra
almendral	Almendral
almendral de la canada	Almendral de la Cañada
almendralejo	Almendralejo
almendrales	Almendrales
almendricos	Almendricos
almensilla	Almensilla
almeria	Almería
almisera	Almiserà
almochuel	Almochuel
almocita	Almócita
almodovar del campo	Almodóvar del Campo
almodovar del pinar	Almodóvar del Pinar
almodovar del rio	Almodóvar del Río
almogia	Almogía
almoguera	Almoguera
almohaja	Almohaja
almoharin	Almoharín
almoines	Almoines
almonacid de la cuba	Almonacid de la Cuba
almonacid de la sierra	Almonacid de la Sierra
almonacid de zorita	Almonacid de Zorita
almonacid del marquesado	Almonacid del Marquesado
almonte	Almonte
almoradi	Almoradí
almorox	Almorox
almoster	Almoster
almozara	Almozara
almudaina	Almudaina
almudevar	Almudévar
almunecar	Almuñécar
almuniente	Almuniente
almussafes	Almussafes
alobras	Alobras
alocen	Alocén
alonsotegi	Alonsotegi
alora	Alora
alosno	Alosno
alovera	Alovera
