abala	Abala
abderafi	Ābderafī
abiy adi	Ābīy Ādī
abomsa	Abomsa
addis ababa	Addis Ababa
adebaye	Adebaye
adet	Ādēt
adigrat	Ādīgrat
adis k’idame	Ādīs K’idamē
adis zemen	Ādīs Zemen
adis ‘alem	Ādīs ‘Alem
adwa	Adwa
agaro	Āgaro
aksum	Aksum
alamata	Alamata
amba giorgis	Amba Giorgis
ara ali	Ara Ali
arabi	Ārabī
arba minch	Arba Minch
areka	Āreka
arerti	Arerti
arsi negele	Arsi Negele
asaita	Asaita
asasa	Āsasa
asbe teferi	Āsbe Teferī
asela	Āsela
asosa	Āsosa
at’aye	Āt’aye
awasa	Awasa
awash	Āwash
ayana	Āyana
aykel	Āykel
babile	Babīlē
badessa	Badessa
bahir dar	Bahir Dar
bako	Bako
bale hawassa	Bale Hawassa
bale robe	Bale Robe
bambesi	Bambesi
baqulo sanyo	Baqulo Sanyo
bati	Batī
bedele	Bedelē
bedesa	Bedēsa
bek’oji	Bek’ojī
bichena	Bichena
bishoftu	Bishoftu
bitana	Bitana
boditi	Bodītī
bombe	Bombe
bonga	Bonga
burayu	Burayu
bure	Burē
butajira	Butajīra
chagni	Chagni
chelenko	Chelenko
chinahsen	Chinahsen
ch’ench’a	Ch’ench’a
ch’iko	Ch’iko
ciro	Ciro
dabat	Dabat
damboya	Damboya
dangila	Dangila
daye	Dayē
debark’	Debark’
debre birhan	Debre Birhan
debre mark’os	Debre Mark’os
debre sina	Debre Sīna
debre tabor	Debre Tabor
debre werk’	Debre Werk’
deder	Deder
degeh bur	Degeh Bur
dejen	Dejen
dembech’a	Dembech’a
dembi dolo	Dembī Dolo
dera	Dēra
dessie	Dessie
dewele	Dewelē
dibate	Dibate
digih habar es	Digih Habar Es
dila	Dīla
dimtu	Dimtu
dire dawa	Dire Dawa
dodola	Dodola
dolo	Dolo
dubti	Dubti
durame	Duramē
duuban	Duuban
el bahay	El Bahay
fadhigaradle	Fadhigaradle
felana	Felana
felege neway	Felege Neway
fiche	Fichē
filakit	Filakit
finote selam	Finote Selam
funyan bira	Funyan Bīra
gambela	Gambēla
gasuba	Gasuba
gawane	Gawanē
gebre guracha	Gebre Guracha
gedeb	Gedeb
gedo	Gēdo
gelemso	Gelemso
genet	Genet
ghinnir	Ghinnir
gidole	Gīdolē
gimbi	Gimbi
gimbicho	Gīmbīcho
gimja bet maryam	Gimja Bēt Maryam
ginch’i	Gīnch’ī
ginja bet	Ginja Bet
goba	Goba
gobesa	Gobēsa
gode	Gode
golwayn	Golwayn
gonder	Gonder
gore	Gorē
guder	Guder
gununo	Gununo
gurbete	Gurbetē
gutin	Gutin
hadero	Hadero
hagere hiywet	Hāgere Hiywet
hagere maryam	Hagere Maryam
hagere selam	Hāgere Selam
halale	Halale
harar	Harar
harbu	Harbu
hartishek	Hartīshēk
hayk’	Hāyk’
hirna	Hīrna
hobicha bada	Hobicha Bada
hosa’ina	Hosa’ina
huruta	Huruta
ibnat	Ibnat
idaga hamus	Idaga Hamus
ijaji	Ījajī
inda silase	Inda Silasē
indabaguna	Indabaguna
injibara	Injibara
inseno	Insēno
intich’o	Intich’o
iteya	Īteya
jijiga	Jijiga
jimma	Jimma
jinka	Jinka
kachisi	Kachīsī
kahandhale	Kahandhale
kara k’ore	Kara K’orē
kebri dahar	Kebri Dahar
kele	Kele
kemise	Kemisē
kercha	Kercha
kibre mengist	Kibre Mengist
kobo	Kobo
kofele	Kofelē
kombolcha	Kombolcha
komtikas	Komtikas
konso	Konso
korem	Korem
kuyera	Kuyera
k’ola diba	K’ola Diba
k’olito	K’olīto
lalibela	Lalibela
lasho	Lasho
lasoano	Lasoano
leku	Leku
lobuni	Lobuni
logiya	Logīya
lumame	Lumamē
maksenyit	Maksenyit
mambuk	Mambuk
may cadera	May Cadera
maych’ew	Maych’ew
mega	Mēga
mehal meda	Mehal Mēda
mehoni	Mehoni
mek'ele	Mek'ele
mek’i	Mek’ī
mena	Mena
mendi	Mendī
mersa	Mersa
mertule maryam	Mertule Maryam
mer’awi	Mer’āwī
metahara	Metahāra
metemma	Metemma
metu	Metu
mile	Mīlē
mizan teferi	Mīzan Teferī
mi’eso	Mī’ēso
mojo	Mojo
mot’a	Mot’a
nazret	Nazrēt
neefkuceliye	Neefkuceliye
nefas mewch’a	Nefas Mewch’a
negele	Negēlē
nejo	Nejo
nek’emte	Nek’emtē
paracho	Paracho
qorof	Qorof
raqo	Raqo
robit	Robīt
robit	Robit
sagure	Sagurē
samara	Samara
sebeta	Sebeta
sek’ot’a	Sek’ot’a
selamber	Selamber
sendafa	Sendafa
shakiso	Shakiso
shambu	Shambu
shanto	Shanto
shashamane	Shashamane
shendi	Shendi
sheno	Sheno
sheraro	Sheraro
shinshicho	Shinshicho
shone	Shonē
sifra	Sifra
sire	Sīrē
sodo	Sodo
suntu	Suntu
tarch’a sodo	Tarch’a Sodo
tebela	Tebela
tepi	Tēpī
tikil dingay	Tikil Dingay
tilili	Tīlīlī
tulu bolo	Tulu Bolo
turmi	Turmi
t’is isat	T’īs Isat
waal	Waal
wacha	Wacha
waka	Waka
waliso	Waliso
warder	Warder
wegeda	Wegeda
weldiya	Weldiya
welench’iti	Welench’ītī
welk’it’e	Welk’īt’ē
wenago	Wenago
wendo	Wendo
wenji	Wenjī
were ilu	Were Īlu
werota	Werota
wik’ro	Wik’ro
wonji	Wonji
worabe	Worabe
yabelo	Yabēlo
yamarugley	Yamarugley
yirga ch’efe	Yirga Ch’efē
yirga ‘alem	Yirga ‘Alem
ziway	Ziway
‘alem ketema	‘Alem Ketema
‘alem t’ena	‘Alem T’ēna
‘alemaya	‘Alemaya
