aats’i	Aats’i
abasha	Abasha
abgharkhuki	Abgharkhuki
achigvara	Achigvara
ach’andara	Ach’andara
adigeni	Adigeni
adzyubzha	Adzyubzha
agara	Agara
aghaiani	Aghaiani
agubedia	Agubedia
agudzera	Agudzera
akhaldaba	Akhaldaba
akhalgori	Akhalgori
akhali atoni	Akhali Atoni
akhalkalaki	Akhalkalaki
akhaltsikhe	Akhaltsikhe
akhmeta	Akhmeta
akvara	Akvara
alakhadzi	Alakhadzi
ambrolauri	Ambrolauri
anaklia	Anaklia
aspindza	Aspindza
at’idzt’a	At’idzt’a
babushara	Babushara
bagdadi	Bagdadi
baghdati	Baghdati
bakuriani	Bakuriani
bak’urianis andezit’i	Bak’urianis Andezit’i
batumi	Batumi
besleti	Besleti
bich’vinta	Bich’vinta
bolnisi	Bolnisi
borjomi	Borjomi
bzibta	Bzibta
bzipi	Bzipi
chakvi	Chakvi
chiatura	Chiatura
chkhorotsqu	Chkhorotsqu
chokhatauri	Chokhatauri
ch’iauri	Ch’iauri
ch’lou	Ch’lou
dedoplistsqaro	Dedoplistsqaro
didi lilo	Didi Lilo
dighomi	Dighomi
dilisk’a	Dilisk’a
diok’nisi	Diok’nisi
dmanisi	Dmanisi
dranda	Dranda
dusheti	Dusheti
dzegvi	Dzegvi
eshera	Eshera
gagra	Gagra
gali	Gali
gantiadi	Gantiadi
gardabani	Gardabani
gldani	Gldani
gori	Gori
gudauri	Gudauri
gudauta	Gudauta
gulripshi	Gulripshi
gurjaani	Gurjaani
ingiri	Ingiri
ipnari	Ipnari
java	Java
jvara	Jvara
jvari	Jvari
kareli	Kareli
kaspi	Kaspi
kazreti	Kazreti
keda	Keda
kelasuri	Kelasuri
kharagauli	Kharagauli
khashuri	Khashuri
kheivani	Kheivani
khelvachauri	Khelvachauri
khobi	Khobi
kholodnaia-rech’ka	Kholodnaia-Rech’ka
khoni	Khoni
khulo	Khulo
kobuleti	Kobuleti
kojori	Kojori
kutaisi	Kutaisi
kvareli	Kvareli
kveda chkhorots’q’u	Kveda Chkhorots’q’u
k’ardenakhi	K’ardenakhi
k’atskhi	K’atskhi
k’olkhida	K’olkhida
k’urdghelauri	K’urdghelauri
lagodekhi	Lagodekhi
laituri	Laituri
lanchkhuti	Lanchkhuti
lentekhi	Lentekhi
lidzava	Lidzava
machara	Machara
makhinjauri	Makhinjauri
manglisi	Manglisi
marneuli	Marneuli
martvili	Martvili
mart’q’opi	Mart’q’opi
mat’ani	Mat’ani
meore bighazhiashta	Meore Bighazhiashta
mestia	Mestia
mtskheta	Mtskheta
narazeni	Narazeni
naruja	Naruja
nasaguri	Nasaguri
nasakirali	Nasakirali
ninotsminda	Ninotsminda
ochamchire	Ochamchire
ochkhamuri	Ochkhamuri
okroq’ana	Okroq’ana
oni	Oni
orsant’ia	Orsant’ia
otradnoe	Otradnoe
ozurgeti	Ozurgeti
pasanauri	Pasanauri
ponich’ala	Ponich’ala
poti	Poti
pskhu	Pskhu
p’irveli ot’obaia	P’irveli Ot’obaia
p’rimorsk’oe	P’rimorsk’oe
rustavi	Rustavi
sachkhere	Sachkhere
sadakhlo	Sadakhlo
sagarejo	Sagarejo
samtredia	Samtredia
saq’ulia	Saq’ulia
sartich’ala	Sartich’ala
satkhe	Satkhe
senaki	Senaki
shaumiani	Shaumiani
shemokmedi	Shemokmedi
shindisi	Shindisi
shorapani	Shorapani
shuakhevi	Shuakhevi
sighnaghi	Sighnaghi
sokhumi	Sokhumi
stantsiya novyy afon	Stantsiya Novyy Afon
stepantsminda	Stepantsminda
surami	Surami
tbilisi	Tbilisi
telavi	Telavi
terjola	Terjola
tetritsqaro	Tetritsqaro
tianeti	Tianeti
tqibuli	Tqibuli
tqvarch'eli	Tqvarch'eli
tsageri	Tsageri
tsalenjikha	Tsalenjikha
tsalka	Tsalka
tsikhisdziri	Tsikhisdziri
tsnori	Tsnori
tsqaltubo	Tsqaltubo
tsqnet’i	Tsqnet’i
ts’avk’isi	Ts’avk’isi
ts’inandali	Ts’inandali
ts’inubani	Ts’inubani
ts’khinvali	Ts’khinvali
t’abakhmela	T’abakhmela
ureki	Ureki
vale	Vale
vani	Vani
varch’a	Varch’a
vark’etili	Vark’etili
vladimirovka	Vladimirovka
zahesi	Zahesi
zeda sakara	Zeda Sakara
zemo eshera	Zemo Eshera
zemo gulripshi	Zemo Gulripshi
zemo-barghebi	Zemo-Barghebi
zestaponi	Zestaponi
zhinvali	Zhinvali
zovreti	Zovreti
zugdidi	Zugdidi
