albaderia	Albadéria
arfa moussaia	Arfa Moussaïa
banko	Banko
banora	Banora
bate nafadji	Bate Nafadji
beyla	Beyla
bissikrima	Bissikrima
boffa	Boffa
boke	Boké
camayenne	Camayenne
conakry	Conakry
coyah	Coyah
dabola	Dabola
dalaba	Dalaba
dialakoro	Dialakoro
dinguiraye	Dinguiraye
diomabana	Diomabana
dixinn	Dixinn
dogomet	Dogomet
doko	Doko
donghol-sigon	Donghol-Sigon
douako	Douako
dubreka	Dubréka
faranah	Faranah
fidako	Fidako
forecariah	Forécariah
foula mori	Foula Mori
fria	Fria
gaoual	Gaoual
gueckedou	Gueckedou
kalinko	Kalinko
kamabi	Kamabi
kamsar	Kamsar
kankan	Kankan
karfamoria	Karfamoria
kerouane	Kérouané
kimbo	Kimbo
kindia	Kindia
kintinian	Kintinian
kissidougou	Kissidougou
kolaboui	Kolaboui
kolente	Kolenté
koubia	Koubia
koumandjanbougou	Koumandjanbougou
koumbia	Koumbia
koundara	Koundara
kouroussa	Kouroussa
labe	Labé
lansanaya	Lansanaya
lelouma	Lélouma
lola	Lola
macenta	Macenta
mali	Mali
mamou	Mamou
mandiana	Mandiana
maneah	Manéah
mignada	Mignada
moussadou	Moussadou
nabou	Nabou
niandan koro	Niandan Koro
nongoa	Nongoa
norassouba	Norassouba
nyagassola	Nyagassola
nzerekore	Nzérékoré
pita	Pita
samoe	Samoé
sangaredi	Sangarédi
sangueya	Sanguéya
sansando	Sansando
selouma	Selouma
siguiri	Siguiri
siguirini	Siguirini
telimele	Télimélé
timbo	Timbo
tokonou	Tokonou
tomba-kanssa	Tomba-kanssa
tondon	Tondon
touba	Touba
tougue	Tougué
wendou borou	Wendou Borou
yende millimou	Yende Millimou
yomou	Yomou
youkounkoun	Youkounkoun
