acharavi	Acharávi
acharnes	Acharnés
achinos	Achinós
adamas	Adámas
adendro	Ádendro
aegina	Aegina
aetos	Aetós
afantou	Afántou
afidnes	Afidnés
afration	Afrátion
afytos	Áfytos
aghios panteleimon	Aghios Panteleímon
agia	Agiá
agia foteini	Agía Foteiní
agia kyriaki	Agía Kyriakí
agia marina	Agía Marína
agia paraskevi	Agía Paraskeví
agia triada	Agía Triáda
agia varvara	Agía Varvára
agiasos	Agiásos
agio pnevma	Ágio Pnévma
agioi anargyroi	Ágioi Anárgyroi
agioi deka	Ágioi Déka
agioi theodoroi	Ágioi Theódoroi
agios andreas	Ágios Andréas
agios athanasios	Ágios Athanásios
agios dimitrios	Agios Dimitrios
agios dimitrios kropias	Agios Dimítrios Kropiás
agios efstratios	Ágios Efstrátios
agios georgios	Ágios Geórgios
agios georgis	Agios Georgis
agios ioannis rentis	Agios Ioannis Rentis
agios kirykos	Agios Kirykos
agios loukas	Ágios Loukás
agios mamas	Ágios Mámas
agios matthaios	Ágios Matthaíos
agios nikolaos	Ágios Nikólaos
agios pavlos	Ágios Pávlos
agios petros	Ágios Pétros
agios spyridon	Ágios Spyrídon
agios stefanos	Ágios Stéfanos
agios vasileios	Ágios Vasíleios
agkathia	Agkathiá
agkistri	Agkístri
agnantero	Agnanteró
agria	Agriá
agrinio	Agrínio
aiani	Aianí
aianteio	Aiánteio
aidipsos	Aidipsós
aigaleo	Aigáleo
aigani	Aigáni
aiginio	Aigínio
aigio	Aígio
aitoliko	Aitolikó
aiyira	Aíyira
akraifnia	Akraifnía
akrata	Akráta
akrini	Akriní
akrolimni	Akrolímni
aktaio	Aktaío
alea	Aléa
alepou	Alepoú
alexandreia	Alexándreia
alexandroupoli	Alexandroupoli
aliartos	Alíartos
alifeira	Alífeira
alimos	Álimos
alistrati	Alistráti
aliveri	Alivéri
alli meria	Álli Meriá
almyros	Almyrós
amaliada	Amaliáda
amarynthos	Amárynthos
ambelokipoi	Ambelókipoi
amfikleia	Amfíkleia
amfilochia	Amfilochía
amfissa	Ámfissa
ammochori	Ammochóri
amorgos	Amorgós
ampelakia	Ampelákia
ampeleies	Ampeleíes
ampelokipoi	Ampelókipoi
ampelona	Ampelóna
amygdaleonas	Amygdaleónas
amyntaio	Amýntaio
anafi	Anáfi
anakasia	Anakasiá
anatoli	Anatolí
anatoliko	Anatolikó
anavra	Anávra
anavyssos	Anávyssos
andania	Andanía
andravida	Andravída
andros	Andros
androusa	Androúsa
aneza	Anéza
angelochori	Angelochóri
angelokastro	Angelókastro
ano arhanes	Ano Arhanes
ano kalentini	Áno Kalentíni
ano komi	Áno Kómi
ano lekhonia	Áno Lekhónia
ano liosia	Áno Liósia
ano mera	Áno Merá
ano syros	Áno Sýros
anogeia	Anógeia
anoixi	Anoixi
anthili	Anthíli
anthiro	Anthiró
anthousa	Anthoúsa
antikyra	Antikyra
antimacheia	Antimácheia
antiparos	Antíparos
antirrio	Antirrio
apsalos	Ápsalos
arachova	Aráchova
aravissos	Aravissós
archaia olympia	Archaía Olympía
archangelos	Archángelos
archontochori	Archontochóri
arfara	Arfará
argalasti	Argalastí
argasi	Argási
argithea	Argithéa
argos	Árgos
argos orestiko	Argos Orestiko
argostolion	Argostólion
argyropouli	Argyropoúli
argyroupoli	Argyroúpoli
aria	Aría
aria	Aria
aridaia	Aridaía
aris	Áris
aristomenis	Aristoménis
arisvi	Arísvi
arkalochori	Arkalochóri
arkhaia korinthos	Arkhaía Kórinthos
arkoudi	Arkoúdi
arma	Árma
armeni	Arméni
armenoi	Arménoi
arnaia	Arnaía
arnissa	Árnissa
aroania	Aroanía
arriana	Arrianá
arsenio	Arsénio
arta	Árta
artemida	Artémida
artemisio	Artemísio
artesiano	Artesianó
asimion	Asímion
asini	Asíni
askos	Askós
asopia	Asopía
asopos	Asopós
asprangeloi	Asprángeloi
asprokhoma	Asprókhoma
aspropyrgos	Asprópyrgos
asprovalta	Asproválta
assiros	Ássiros
assos	Ássos
astakos	Astakós
astros	Ástros
astypalaia	Astypálaia
asvestochori	Asvestochóri
atalanti	Atalánti
athens	Athens
athikia	Athíkia
athyra	Áthyra
atsiki	Atsikí
atsipopoulo	Atsipópoulo
avia	Avía
avlon	Avlón
avlonarion	Avlonárion
avlonas	Avlónas
axioupoli	Axioúpoli
axos	Axós
ayia trias	Ayía Triás
ayioi apostoloi	Áyioi Apóstoloi
ayios adhrianos	Áyios Adhrianós
ayios konstandinos	Áyios Konstandínos
ayios nikolaos	Áyios Nikólaos
ayios thomas	Áyios Thomás
ayios vasilios	Áyios Vasílios
batsion	Batsíon
chaidari	Chaïdári
chalandritsa	Chalandrítsa
chalastra	Chalástra
chalki	Chálki
chalkiades	Chalkiádes
chalkida	Chalkída
chalkidona	Chalkidóna
chania	Chaniá
charopo	Charopó
chavari	Chávari
cherso	Chérso
chios	Chios
chloi	Chlói
cholargos	Cholargós
chora	Chóra
chora sfakion	Chóra Sfakíon
choristi	Choristí
chortiatis	Chortiátis
chrysavgi	Chrysavgí
chryso	Chrysó
chrysochorafa	Chrysochórafa
chrysochori	Chrysochóri
chrysoupolis	Chrysoúpolis
corfu	Corfu
daratsos	Darátsos
delphi	Delphi
delvinaki	Delvináki
derviziana	Dervíziana
desfina	Desfína
deskati	Deskáti
dhafni	Dhafní
dhokimion	Dhokímion
dhrafi	Dhráfi
dhrosia	Dhrosiá
diakopto	Diakoptó
diavata	Diavatá
diavatos	Diavatós
didyma	Dídyma
didymoteicho	Didymóteicho
dilesi	Dílesi
dimitsana	Dimitsána
dion	Díon
dioni	Dióni
dionysos	Diónysos
distomo	Dístomo
dodoni	Dodóni
doirani	Doïráni
domokos	Domokós
domvraina	Domvraína
dorio	Dório
drama	Dráma
drapetsona	Drapetsóna
draviskos	Dravískos
drepanon	Drépanon
drosia	Drosiá
drymos	Drymós
echinos	Echínos
edessa	Édessa
efkarpia	Efkarpía
efpalio	Efpálio
eirinoupoli	Eirinoúpoli
ekali	Ekáli
eksochi	Eksochí
elassona	Elassóna
elateia	Eláteia
elefsina	Elefsína
eleftheres	Eleftherés
eleftherio - kordelio	Elefthério - Kordelió
eleftheroupolis	Eleftheroúpolis
eleousa	Eleoúsa
elikistra	Elikístra
elliniko	Ellinikó
elounda	Eloúnda
emponas	Émponas
emporeio	Emporeío
emporeios	Emporeiós
epanomi	Epanomí
episkopi	Episkopí
epitalio	Epitálio
eresos	Eresós
eretria	Erétria
ermioni	Ermióni
ermoupolis	Ermoúpolis
erythres	Erythrés
evlalo	Évlalo
evosmos	Évosmos
evropos	Evropós
evrostina	Evrostína
evxinoupolis	Evxinoúpolis
examilia	Examília
exaplatanos	Exaplátanos
exochi	Exochi
falaisia	Falaisía
falanna	Fálanna
faliraki	Faliraki
faraklata	Farakláta
farkadona	Farkadóna
faros	Fáros
farsala	Fársala
feres	Féres
fiki	Fíki
filiates	Filiátes
filiatra	Filiatrá
filippiada	Filippiáda
filiro	Fíliro
filla	Fílla
fillyra	Fillýra
filotas	Filótas
filothei	Filothéi
filotion	Filótion
fira	Firá
florina	Flórina
folegandros	Folégandros
foloi	Folói
fotolivos	Fotolívos
fournoi	Foúrnoi
fry	Fry
fyli	Fylí
fyllo	Fýllo
fyteies	Fyteíes
gaios	Gáïos
gaitanion	Gaïtánion
galatades	Galatádes
galatas	Galatás
galatini	Galatiní
galatista	Galátista
galatsi	Galátsi
galaxidhion	Galaxídhion
gargalianoi	Gargaliánoi
gastouni	Gastoúni
gavalou	Gavaloú
gazi	Gázi
gefyra	Géfyra
genissea	Genisséa
gennadi	Gennadi
georgioupolis	Georgioupolis
gerakarou	Gerakaroú
gerakas	Gérakas
geraki	Geráki
gerani	Geráni
gergeri	Gérgeri
giannitsa	Giannitsá
giannouli	Giánnouli
glyfada	Glyfáda
gomfoi	Gómfoi
gonnoi	Gónnoi
goumenissa	Gouménissa
gournes	Goúrnes
gra liyia	Gra Liyiá
graikochori	Graikochóri
grammatiko	Grammatikó
grammenitsa	Grammenítsa
gravia	Graviá
grevena	Grevená
grizano	Grizáno
gytheio	Gýtheio
ialysos	Ialysós
iasmos	Íasmos
ierapetra	Ierápetra
ierissos	Ierissós
igoumenitsa	Igoumenítsa
iliokentima	Iliokentima
ilion	Ílion
ilioupoli	Ilioúpoli
ioannina	Ioánnina
ios	Íos
irakleia	Irákleia
irakleio	Irákleio
irakleion	Irákleion
iraklion	Iráklion
isthmia	Isthmía
istiaia	Istiaía
itea	Itéa
ithaki	Itháki
kainouryion	Kainoúryion
kaisariani	Kaisarianí
kala dendra	Kalá Déndra
kalamakion	Kalamákion
kalamaria	Kalamariá
kalamata	Kalamata
kalamia	Kalamiá
kalamos	Kálamos
kalampaka	Kalampáka
kalampaki	Kalampáki
kalavryta	Kalávryta
kali	Kalí
kali vrysi	Kalí Vrýsi
kallifoni	Kallifóni
kallifytos	Kallífytos
kallikomo	Kallikomo
kallithea	Kallithéa
kallithiro	Kallíthiro
kalloni	Kalloní
kalo chorio	Kaló Chorió
kalochori	Kalochóri
kalos agros	Kalós Agrós
kalpaki	Kalpáki
kalymnos	Kálymnos
kalyves	Kalýves
kalyves polygyrou	Kalýves Polygýrou
kalyvia	Kalývia
kalyvia thorikou	Kalývia Thorikoú
kamarai	Kamárai
kamariotissa	Kamariótissa
kamateron	Kamaterón
kamena vourla	Kaména Voúrla
kanalaki	Kanaláki
kanali	Kanáli
kapandriti	Kapandríti
kaparellion	Kaparéllion
kardamaina	Kardámaina
kardamitsia	Kardamítsia
kardamyla	Kardámyla
kardamyli	Kardamýli
kardia	Kardía
karditsa	Kardítsa
karditsomagoula	Karditsomagoúla
karellas	Karellás
karitsa	Karítsa
karpathos	Karpathos
karpenisi	Karpenísi
karpochori	Karpochóri
karyes	Karyes
karyotissa	Karyótissa
karystos	Kárystos
kassandreia	Kassándreia
kastella	Kastélla
kastelli	Kastélli
kastoria	Kastoria
kastraki	Kastráki
kastri	Kastrí
katastarion	Katastárion
katerini	Kateríni
kato achaia	Káto Achaḯa
kato asitai	Káto Asítai
kato dhiminio	Káto Dhiminió
kato glykovrysi	Káto Glykóvrysi
kato gouves	Káto Goúves
kato kamila	Káto Kamíla
kato kleines	Káto Kleinés
kato lekhonia	Káto Lekhónia
kato lipochori	Káto Lipochóri
kato mazaraki	Káto Mazaráki
kato mitrousi	Káto Mitroúsi
kato nevrokopi	Káto Nevrokópi
kato scholari	Káto Scholári
kato soulion	Káto Soúlion
kato tithorea	Káto Tithoréa
katochi	Katochí
katouna	Katoúna
katsikas	Katsikás
kavala	Kavála
kavallari	Kavallári
kavasila	Kavásila
kea	Kéa
kefalos	Kéfalos
kentri	Kentrí
keramoti	Keramotí
kerasochori	Kerasochóri
keratea	Keratéa
keratsini	Keratsíni
khalandrion	Khalándrion
khalkoutsion	Khalkoútsion
khiliomodhi	Khiliomódhi
kiato	Kiáto
kifisia	Kifisiá
kilkis	Kilkís
kimmeria	Kimméria
kimolos	Kímolos
kineta	Kinéta
kipseli	Kipséli
kirra	Kírra
kissamos	Kíssamos
kitros	Kítros
kitsi	Kítsi
kleidi	Kleidí
kleitoria	Kleitoría
koila	Koíla
koilada	Koiláda
koilas	Koilás
koimisi	Koímisi
kokkini chani	Kokkíni Cháni
kokkinochoma	Kokkinóchoma
kokkonion	Kokkónion
kolchikon	Kolchikón
kolindros	Kolindrós
kolympari	Kolympári
komotini	Komotiní
kompoti	Kompóti
konitsa	Kónitsa
kontariotissa	Kontariótissa
kontokali	Kontokáli
kopanos	Kopanós
korinos	Korinós
korinthos	Kórinthos
kormista	Kormísta
koroni	Koróni
koropi	Koropí
korydallos	Korydallós
koryfi	Koryfí
kos	Kos
koskinou	Koskinoù
kostakioi	Kostakioí
koufalia	Koufália
kouloura	Kouloúra
koutselio	Koutselió
koutsopodi	Koutsopódi
kouvaras	Kouvarás
kozani	Kozáni
krania elassonas	Kraniá Elassónas
kranidi	Kranídi
kremasti	Kremastí
krestena	Kréstena
krikellos	Kríkellos
krinides	Krinídes
krithia	Krithiá
kritsa	Kritsá
krokees	Krokeés
krokos	Krókos
krouson	Krousón
krya vrysi	Krýa Vrýsi
kryoneri	Kryonéri
kyllini	Kyllíni
kymi	Kými
kymina	Kýmina
kynopiastes	Kynopiástes
kyparissia	Kyparissía
kyprinos	Kyprínos
kypseli	Kypséli
kyras vrysi	Kyrás Vrýsi
kyria	Kýria
kyriaki	Kyriáki
kythira	Kýthira
kythnos	Kýthnos
lagkadas	Lagkadás
lagyna	Lagyná
laimos	Laimós
lakki	Lakkí
lakkoma	Lákkoma
lalas	Lálas
lamia	Lamía
lapas	Lápas
lardos	Lárdos
larimna	Lárimna
larisa	Lárisa
lavrio	Lávrio
lechaina	Lechainá
lefkada	Lefkáda
lefkimmi	Lefkímmi
lefkonas	Lefkónas
leipsoi	Leipsoí
lekhaio	Lékhaio
leondarion	Leondárion
leonidio	Leonídio
lepenou	Lepenoú
leptokarya	Leptokaryá
levidion	Levídion
lianokladhion	Lianokládhion
lianovergi	Lianovérgi
lidoriki	Lidoríki
ligourion	Ligourión
limenaria	Limenária
limin khersonisou	Limín Khersonísou
limin mesoyaias	Limín Mesoyaías
limni	Límni
limnokhorion	Limnokhórion
lindos	Líndos
lithakia	Lithakiá
liti	Lití
litochoro	Litóchoro
livadeia	Livadeiá
livadi	Livádi
livanates	Livanátes
lixouri	Lixoúri
lofos	Lófos
loukisia	Loukísia
louros	Loúros
loutra	Loutrá
loutra aidhipsou	Loutrá Aidhipsoú
loutra oraias elenis	Loutrá Oraías Elénis
loutraki	Loutráki
loutro	Loutró
loutropoli thermis	Loutrópoli Thermís
loutros	Loutrós
lykeio	Lýkeio
lykovrysi	Lykóvrysi
lyrkeia	Lyrkeía
magoula	Magoúla
makrakomi	Makrakómi
makrisia	Makrísia
makrochori	Makrochóri
makry-gialos	Makry-Gialos
makrychori	Makrychóri
makrygialos	Makrýgialos
malakasa	Malakása
malakonta	Malakónta
malesina	Malesína
malia	Mália
mandalo	Mándalo
mandra	Mándra
mandraki	Mandráki
maniakoi	Maniákoi
manolada	Manoláda
mantamados	Mantamádos
mantoudi	Mantoúdi
marathokampos	Marathókampos
marathonas	Marathónas
margariti	Margaríti
marina	Marína
maritsa	Maritsá
markopoulo	Markópoulo
markopoulo oropou	Markópoulo Oropoú
marmarion	Marmárion
marousi	Maroúsi
martinon	Martínon
mataranga	Mataránga
mavrochori	Mavrochóri
mavrommati	Mavrommáti
mavrothalassa	Mavrothálassa
mavrovouni	Mavrovoúni
megala kalyvia	Megála Kalývia
megali khora	Megáli Khóra
megali panagia	Megáli Panagía
megalo chorio	Megálo Chorió
megalochori	Megalochóri
megalopoli	Megalópoli
megara	Mégara
megisti	Megísti
meligalas	Meligalás
meliki	Melíki
melissi	Melíssi
melissia	Melíssia
melissochori	Melissochóri
meliti	Melíti
menemeni	Meneméni
menidi	Menídi
mesaria	Mesariá
mesimeri	Mesiméri
mesolongi	Mesolóngi
mesopotamia	Mesopotamía
mesopotamos	Mesopótamos
messini	Messíni
metamorfosi	Metamórfosi
methoni	Methóni
metsovo	Metsovo
mikinai	Mikínai
mikro dereio	Mikró Déreio
mikro monastiri	Mikró Monastíri
mikropolis	Mikrópolis
milos	Mílos
mindiloglion	Mindilóglion
mithymna	Míthymna
mitropoli	Mitrópoli
mitrousi	Mitroúsi
moires	Moíres
mokhos	Mokhós
molaoi	Moláoi
molos	Mólos
monastiraki	Monastiráki
morfovouni	Morfovoúni
moria	Mória
moskhaton	Moskháton
mosynopolis, maximianopolis, μαξιμιανουπολις	Mosynopolis, Maximianopolis, Μαξιμιανούπολις
moudhros	Moúdhros
moulki	Moúlki
mouresi	Mouresi
mouries	Mouriés
mouriki	Mouríki
mournies	Mourniés
mouzaki	Mouzáki
mouzaki	Mouzaki
mouzouras	Mouzourás
myki	Mýki
mykonos	Mykonos
myrina	Mýrina
myrsini	Myrsíni
mystras	Mystrás
mytikas	Mytikas
mytilene	Mytilene
mytilinioi	Mytilinioí
nafpaktos	Náfpaktos
nafplio	Náfplio
naousa	Náousa
naxos	Náxos
nea alikarnassos	Néa Alikarnassós
nea anatoli	Néa Anatolí
nea anchialos	Néa Anchiálos
nea apollonia	Néa Apollonía
nea artaki	Néa Artáki
nea chalkidona	Néa Chalkidóna
nea efesos	Néa Éfesos
nea erythraia	Néa Erythraía
nea filadelfeia	Néa Filadélfeia
nea flogita	Néa Flogitá
nea fokaia	Néa Fókaia
nea ionia	Néa Ionía
nea iraklitsa	Néa Iraklítsa
nea kallikrateia	Néa Kallikráteia
nea karvali	Néa Karváli
nea karya	Néa Karyá
nea kerasia	Néa Kerasiá
nea kios	Néa Kíos
nea lampsakos	Néa Lámpsakos
nea lava	Nea Lava
nea madytos	Néa Mádytos
nea magnisia	Néa Magnisía
nea makri	Néa Mákri
nea malgara	Néa Málgara
nea manolada	Néa Manoláda
nea mesimvria	Néa Mesimvría
nea michaniona	Néa Michanióna
nea moudhania	Néa Moudhaniá
nea palatia	Néa Palátia
nea pella	Néa Pélla
nea penteli	Néa Pentéli
