aba	Aba
abadszalok	Abádszalók
abasar	Abasár
abaujszanto	Abaújszántó
abda	Abda
abony	Abony
acs	Ács
acsa	Acsa
adacs	Adács
adand	Ádánd
adony	Adony
agard	Agárd
agasegyhaza	Ágasegyháza
agfalva	Ágfalva
ajak	Ajak
ajka	Ajka
akademiaujtelep	Akadémiaújtelep
akaszto	Akasztó
alacskai uti lakotelep	Alacskai úti lakótelep
alap	Alap
alattyan	Alattyán
albertfalva	Albertfalva
albertirsa	Albertirsa
alcsutdoboz	Alcsútdoboz
aldebro	Aldebrő
algyo	Algyő
almasfuzito	Almásfüzitő
almaskert	Almáskert
almosd	Álmosd
alsonemedi	Alsónémedi
alsoors	Alsóörs
alsopahok	Alsópáhok
alsorakos	Alsórákos
alsoszentmarton	Alsószentmárton
alsovadasz	Alsóvadász
alsozsolca	Alsózsolca
anarcs	Anarcs
andocs	Andocs
andornaktalya	Andornaktálya
angyalfold	Angyalföld
apagy	Apagy
apaj	Apaj
aparhant	Aparhant
apatfalva	Apátfalva
apc	Apc
aporka	Áporka
apostag	Apostag
aranyosapati	Aranyosapáti
arlo	Arló
arnot	Arnót
arokto	Ároktő
arpadfold	Árpádföld
asotthalom	Ásotthalom
asvanyraro	Ásványráró
aszalo	Aszaló
aszar	Ászár
aszod	Aszód
atany	Átány
atkar	Atkár
babocsa	Babócsa
babolna	Bábolna
babot	Babót
bacsalmas	Bácsalmás
bacsbokod	Bácsbokod
bacsborsod	Bácsborsód
bacsszolos	Bácsszőlős
badacsonytomaj	Badacsonytomaj
bag	Bag
bagamer	Bagamér
baj	Baj
baja	Baja
bajna	Bajna
bajot	Bajót
bak	Bak
bakonycsernye	Bakonycsernye
bakonyszentlaszlo	Bakonyszentlászló
baks	Baks
baktaloranthaza	Baktalórántháza
balassagyarmat	Balassagyarmat
balastya	Balástya
balatonalmadi	Balatonalmádi
balatonbereny	Balatonberény
balatonboglar	Balatonboglár
balatonfenyves	Balatonfenyves
balatonfoldvar	Balatonföldvár
balatonfured	Balatonfüred
balatonkenese	Balatonkenese
balatonlelle	Balatonlelle
balatonszabadi	Balatonszabadi
balatonszarszo	Balatonszárszó
balatonszemes	Balatonszemes
balatonvilagos	Balatonvilágos
balkany	Balkány
balloszog	Ballószög
balmazujvaros	Balmazújváros
balotaszallas	Balotaszállás
banhorvati	Bánhorváti
baracs	Baracs
baracska	Baracska
barand	Báránd
barcs	Barcs
bata	Báta
bataszek	Bátaszék
batmonostor	Bátmonostor
batonyterenye	Bátonyterenye
battonya	Battonya
batya	Bátya
becsehely	Becsehely
bekecs	Bekecs
bekes	Békés
bekescsaba	Békéscsaba
bekessamson	Békéssámson
bekesszentandras	Békésszentandrás
belapatfalva	Bélapátfalva
belatelep	Bélatelep
beled	Beled
beloiannisz	Beloiannisz
belso-ferencvaros	Belső-Ferencváros
belsomajor	Belsőmajor
bercel	Bercel
beremend	Beremend
berente	Berente
berettyoujfalu	Berettyóújfalu
berhida	Berhida
berzek	Berzék
berzence	Berzence
besenyotelek	Besenyőtelek
besenyszog	Besenyszög
bezenye	Bezenye
biatorbagy	Biatorbágy
bicske	Bicske
biharkeresztes	Biharkeresztes
biharnagybajom	Biharnagybajom
bocs	Bőcs
bocsa	Bócsa
bodajk	Bodajk
bogacs	Bogács
bogyiszlo	Bogyiszló
bohonye	Böhönye
bokaytelep	Bókaytelep
bokod	Bokod
bokony	Bököny
bolcske	Bölcske
boldog	Boldog
boldva	Boldva
boly	Bóly
bony	Bőny
bonyhad	Bonyhád
bordany	Bordány
borota	Borota
borsodnadasd	Borsodnádasd
bosarkany	Bősárkány
bucsa	Bucsa
buda	Buda
budafok	Budafok
budajeno	Budajenő
budakalasz	Budakalász
budakeszi	Budakeszi
budaors	Budaörs
budapest	Budapest
budapest i. kerulet	Budapest I. kerület
