abu ghaush	Abū Ghaush
abu sinan	Abū Sinān
acre	Acre
afiqim	Afiqim
afula	Afula
ahisamakh	Aẖisamakh
ahituv	Aẖituv
ahi‘ezer	Aẖi‘ezer
ahuzzat baraq	Aẖuzzat Baraq
al butayhah	Al Buţayḩah
al khushniyah	Al Khushnīyah
al-bi‘na	Al-Bi‘na
allon hagalil	Allon HaGalil
alsayid tribe	AlSayid Tribe
ar rayna	Ar Rayna
arad	Arad
ariel	Ariel
ashdod	Ashdod
ashdot ya‘aqov ihud	Ashdot Ya‘aqov Iẖud
ashkelon	Ashkelon
atlit	Atlit
ayyelet hashahar	Ayyelet HaShaẖar
azor	Azor
bahan	Baẖan
baqa el gharbiya	Bāqa el Gharbīya
bar yohay	Bar Yoẖay
bareqet	Bareqet
basma	Basma
basmat tab‘un	Basmat Ṭab‘ūn
bat hefer	Bat H̱efer
bat yam	Bat Yam
batsra	Batsra
be'er ganim	Be'er Ganim
beersheba	Beersheba
beit horon	Beit Horon
beit jann	Beit Jann
ben zakkay	Ben Zakkay
berekhya	Berekhya
bet alfa	Bet Alfa
bet dagan	Bet Dagan
bet el‘azari	Bet El‘azari
bet gamli’el	Bet Gamli’él
bet guvrin	Bet Guvrin
bet hashitta	Bet HaShitta
bet hashmonay	Bet H̱ashmonay
bet hilqiyya	Bet H̱ilqiyya
bet qama	Bet Qama
bet rabban	Bet Rabban
bet shemesh	Bet Shemesh
bet she’an	Bet She’an
bet yehoshua‘	Bet Yehoshua‘
bet yitshaq	Bet Yitsẖaq
bet yitshaq sha’ar hefer	Bet Yitsẖaq Sha’ar H̱efer
bet zayit	Bet Zayit
bet ‘arif	Bet ‘Arif
bet ‘ezra	Bet ‘Ezra
be’er ora	Be’er Ora
be’er toviyya	Be’er Toviyya
be’er ya‘aqov	Be’er Ya‘aqov
be’eri	Be’eri
be’erotayim	Be’erotayim
binyamina-giv'at ada	Binyamina-Giv'at Ada
binyamina-giv‘at ‘ada	Binyamina-Giv‘at ‘Ada
bir el maksur	Bīr el Maksūr
bir hadaj	Bir Hadaj
bizzaron	Biẕẕaron
bne dror	Bne Dror
bne re’em	Bne Re’em
bnei ayish	Bnei Ayish
bnei brak	Bnei Brak
bu'ayna-nujaydat	Bu'ayna-Nujaydat
buqei‘a	Buqei‘a
burgata	Burgata
bustan hagalil	Bustan HaGalil
bu‘eina	Bu‘eina
caesarea	Caesarea
dabburiya	Dabbūrīya
daliyat al karmel	Daliyat al Karmel
deir el asad	Deir el Asad
deir hanna	Deir Ḥannā
dimona	Dimona
dolev	Dolev
drijat	Drijat
dvira	Dvira
eilat	Eilat
ein sarid	Ein Sarid
ein vered	Ein Vered
el mazra‘a	El Mazra‘a
elishama‘	Elishama‘
elon	Elon
elyakhin	Elyakhin
el‘ad	El‘ad
el‘azar	El‘azar
esh sheikh dannun	Esh Sheikh Dannūn
eshta’ol	Eshta’ol
et taiyiba	Eṭ Ṭaiyiba
et tira	Eṭ Ṭīra
even shemu’el	Even Shemu’el
even yehuda	Even Yehuda
fassuta	Fassūta
fiq	Fīq
furaydis	Furaydis
gan ner	Gan Ner
gan yavne	Gan Yavne
ganei tikva	Ganei Tikva
gedera	Gedera
gesher haziv	Gesher HaZiv
geva‘ karmel	Geva‘ Karmel
ghajar	Ghajar
gilat	Gilat
gilon	Gilon
gimzo	Gimzo
giv'at shmuel	Giv'at Shmuel
giv'on hahadasha	Giv'on HaHadasha
giv'ot bar	Giv'ot Bar
giv`at hananya	Giv`at H̱ananya
givatayim	Givatayim
giv‘at avni	Giv‘at Avni
giv‘at brenner	Giv‘at Brenner
giv‘at ela	Giv‘at Ela
giv‘at hayyim ihud	Giv‘at H̱ayyim Iẖud
giv‘at hayyim me’uhad	Giv‘at H̱ayyim Me’uẖad
giv‘at ye‘arim	Giv‘at Ye‘arim
giv‘ati	Giv‘ati
hadera	Hadera
hagor	H̱agor
haifa	Haifa
hamam	H̱amam
har adar	Har Adar
harduf	Harduf
harish	H̱arish
hashmonaim	Hashmonaim
hatsor haglilit	H̱atsor HaGlilit
hazor‘im	HaZor‘im
hemed	H̱emed
herut	H̱erut
herzliya	Herzliya
herzliya pituah	Herzliya Pituah
hispin	H̱ispin
hod hasharon	Hod HaSharon
holon	H̱olon
hosen	H̱osen
hosha‘ya	Hosha‘ya
hulda	H̱ulda
hura	H̱ura
hurfeish	Ḥurfeish
ibtin	Ibṭīn
iksal	Iksāl
i‘billin	I‘billīn
jaffa	Jaffa
jaljulya	Jaljūlya
jatt	Jatt
jerusalem	Jerusalem
jish	Jīsh
jisr ez zarqa	Jisr ez Zarqā
judeida makr	Judeida Makr
julis	Jūlis
kabri	Kabri
kabul	Kābūl
kadima zoran	Kadima Zoran
kafr bara	Kafr Barā
kafr kamma	Kafr Kammā
kafr kanna	Kafr Kannā
kafr manda	Kafr Mandā
kafr misr	Kafr Miṣr
kafr qari‘	Kafr Qari‘
kafr qasim	Kafr Qāsim
kammana	Kammana
kammon	Kammon
karme yosef	Karmé Yosef
karmi’el	Karmi’el
katzrin	Katzrin
kaukab abu el hija	Kaukab Abū el Hījā
ka‘abiyya-tabbash-hajajra	Ka‘abiyya-Tabbash-H̱ajajra
kefar vitqin	Kefar Vitqin
kfar bilu	Kfar Bilu
kfar habad	Kfar H̱abad
kfar haro’e	Kfar HaRo’e
kfar hess	Kfar Hess
kfar hittim	Kfar H̱ittim
kfar menahem	Kfar Menaẖem
kfar naoranim	Kfar NaOranim
kfar netter	Kfar Netter
kfar pines	Kfar Pines
kfar rosh haniqra	Kfar Rosh HaNiqra
kfar saba	Kfar Saba
kfar shmaryahu	Kfar Shmaryahu
kfar syrkin	Kfar Syrkin
kfar tavor	Kfar Tavor
kfar vradim	Kfar Vradim
kfar warburg	Kfar Warburg
kfar yasif	Kfar Yasif
kfar yona	Kfar Yona
khirbat abu tulul	Khirbat Abu Tulūl
kiryat gat	Kiryat Gat
kiryat ono	Kiryat Ono
kisra - sume'a	Kisra - Sume'a
kokhav hashahar	Kokhav HaShaẖar
kokhav michael sobell	Kokhav Michael Sobell
kokhav ya’ir	Kokhav Ya’ir
kuseifa	Kuseifa
lahavot haviva	Lahavot H̱aviva
lapid	Lapid
laqiyya	Laqiyya
lehavim	Lehavim
li on	Li On
lod	Lod
maale iron	Maale Iron
maalot tarshiha	maalot Tarshīhā
mabbu‘im	Mabbu‘im
maggal	Maggal
maghar	Maghār
majd el kurum	Majd el Kurūm
manshiyet zabda	Manshīyet Zabda
mash‘en	Mash‘én
matan	Matan
matsliah	Matsliaẖ
matsuva	Matsuva
mazkeret batya	Mazkeret Batya
mazor	Mazor
ma‘agan mikha’el	Ma‘agan Mikha’el
ma‘galim	Ma‘galim
ma’or	Ma’or
mefallesim	Mefallesim
megadim	Megadim
meisir	Meisir
meitar	Meitar
menahemya	Menaẖemya
merkaz shapira	Merkaz Shapira
mesillat tsiyyon	Mesillat Tsiyyon
metula	Metula
mevasseret tsiyyon	Mevasseret Tsiyyon
midreshet ben-gurion	Midreshet Ben-Gurion
migdal	Migdal
migdal ha‘emeq	Migdal Ha‘Emeq
mikhmoret	Mikhmoret
mishmar hanegev	Mishmar HaNegev
mishmar ha‘emeq	Mishmar Ha‘Emeq
mishmarot	Mishmarot
mishmeret	Mishmeret
mitspe aviv	Mitspe Aviv
mitspe netofa	Mitspe Netofa
mitzpe ramon	Mitzpe Ramon
mizpe yeriho	Miẕpé Yeriẖo
mi‘ilya	Mi‘ilyā
modiin ilit	Modiin Ilit
modi‘in makkabbim re‘ut	Modi‘in Makkabbim Re‘ut
moledet	Moledet
moreshet	Moreshet
motsa ‘illit	Motsa ‘Illit
muqeibila	Muqeibila
musmus	Muṣmuṣ
na'ale	Na'ale
nahal teqoa‘	Naẖal Teqoa‘
nahariyya	Nahariyya
nahf	Naḥf
nayn	Nayn
nazareth	Nazareth
nazerat ‘illit	Naẕerat ‘Illit
na‘an	Na‘an
na‘ura	Nā‘ūra
nehalim	Neẖalim
nehora	Nehora
nehusha	Neẖusha
nes harim	Nes Harim
nesher	Nesher
ness ziona	Ness Ziona
netanya	Netanya
netivot	Netivot
nevve yamin	Nevve Yamin
nevve yaraq	Nevve Yaraq
nili	Nili
nir gallim	Nir Gallim
nir tsevi	Nir Tsevi
nizzan	Niẕẕan
nizzane ‘oz	Niẕẕané ‘Oz
nof ayalon	Nof Ayalon
nofit	Nofit
nordiyya	Nordiyya
ofaqim	Ofaqim
or akiva	Or Akiva
or yehuda	Or Yehuda
ora	Ora
pardes hanna karkur	Pardés H̱anna Karkur
pardesiyya	Pardesiyya
