4 arm (kharwali)	4 Arm (Kharwali)
7lc	7LC
aamadi	Aamadi
aar	Aar
abbaspur	Abbaspur
abdu rahiman nagar	Abdu Rahiman Nagar
abhaneri	Abhaneri
abhanpur	Abhanpur
abhayapuri	Abhayāpuri
abiramam	Abirāmam
abohar	Abohar
abrama	Abrama
abu	Ābu
abu road	Ābu Road
achalpur	Achalpur
achampet	Achampet
achanputtur	Achanputtūr
acharapakkam	Acharapākkam
acharipallam vaniyakudi	Āchāripallam Vāniyakudi
achchippatti	Achchippatti
achhibal	Achhībal
achhnera	Achhnera
adaikkakuzhi	Adaikkakuzhi
adalaj	Adalaj
adampur	Adampur
adanattutekkumuri kizhakku	Ādanāttutekkumuri Kizhakku
adatt	Adātt
adbhar	Adbhār
addanki	Addanki
adde vishwanathapura	Adde Vishwanathapura
adduru	Addūru
adh	Ādh
adha chat	Adha Chat
adichanallur	Adichānallūr
adigaratti	Adigaratti
adilabad	Ādilābād
adirampattinam	Adirampattinam
adityapatna	Adityapatna
adiyanuthu	Adiyanuthu
adoni	Adoni
adra	Adra
adri	Ādri
adur	Adūr
aduthurai	Aduthurai
adyar	Adyār
afzalgarh	Afzalgarh
afzalpur	Afzalpur
agar	Agar
agaram	Agaram
agartala	Agartala
agastinuagan	Agastinuagan
agastiswaram	Agastīswaram
agatti	Agatti
agra	Agra
agrahara samakkulam	Agrahāra Sāmakkulam
ahilyanagar	Ahilyanagar
ahiri	Ahiri
ahirkheri	Ahīrkheri
ahiwara	Ahīwāra
ahmadabad cantonment	Ahmadabad Cantonment
ahmadpur	Ahmadpur
ahmedabad	Ahmedabad
ahmedgarh	Ahmedgarh
ahor	Ahor
ahraura	Ahraura
ahwa	Ahwa
air khas	Air Khās
airavadanallur	Airāvadanallūr
airoli	Airoli
aish maqam	Aish Maqām
aistala	Aistala
aizawl	Aizawl
ajaigarh	Ajaigarh
ajani khurd	Ajani Khurd
ajanur	Ajānūr
ajara	Ajara
ajeetgarh	Ajeetgarh
ajjampur	Ajjampur
ajmer	Ajmer
ajnala	Ajnāla
akaira	Akaira
akalgarh	Akālgarh
akalkot	Akalkot
akalkuva	Akalkuva
akaltara	Akaltara
akasahebpet	Akasahebpet
akathiyur	Akathiyūr
akbarpur	Akbarpur
akdoni khurd	Akdoni Khurd
akera	Ākera
akhnur	Akhnūr
akividu	Akivīdu
akkarampalle	Akkarampalle
aklera	Aklera
akluj	Aklūj
akoda	Akoda
akodia	Akodia
akola	Akola
akot	Akot
ala	Ala
alagappapuram	Alagappapuram
alagapuram	Alagāpuram
alagdiha	Alagdiha
alamadi	Alamādi
alamelumangapuram	Alamelumangapuram
alampalaiyam	Ālampālaiyam
alampur	Alampur
alampur	Ālampur
aland	Aland
alandi	Alandi
alandur	Alandur
alandurai	Ālāndurai
alang	Alang
alangad	Alangad
alanganallur	Alangānallūr
alangayam	Alangāyam
alangudi	Ālangudi
alangulam	Ālangulam
alankod	Ālankōd
alapakam	Alapakam
alappakkam	Ālappākkam
alappuzha	Alappuzha
alattur	Alattūr
alaudia	Alaudiā
alawalpur	Alāwalpur
aldona	Aldona
alengad	Alengād
alevur	Alevūr
ali	Ali
alibag	Alībāg
aliganj	Alīganj
aligarh	Alīgarh
alikherva	Alikherva
alipur	Alīpur
alipur duar	Alīpur Duār
alirajpur	Alirajpur
aliyabad	Aliyābād
allahganj	Allāhganj
allapalli	Allāpalli
allapuram	Allapuram
allinagaram	Allinagaram
allipur	Allipur
allipura	Allipura
almora	Almora
alnavar	Alnāvar
along	Along
alot	Alot
alur	Alūr
alur	Ālūr
aluva	Aluva
alwa tirunagari	Alwa Tirunagari
alwar	Alwar
alwarkurichchi	Ālwārkurichchi
alwaye	Alwaye
amalapuram	Amalāpuram
amalner	Amalner
amanganj	Amānganj
amanpur	Amānpur
amaravati	Amaravati
amaravati	Amarāvati
amardad	Amardad
amargarh	Amargarh
amarkantak	Amarkantak
amarpatan	Amarpātan
amarpur	Amarpur
amarwara	Amarwāra
amathur	Amathur
ambad	Ambad
ambagarh chauki	Ambāgarh Chauki
ambah	Ambāh
ambahta	Ambahta
ambaji	Ambaji
ambajogai	Ambājogāi
ambala	Ambāla
ambala sadar	Ambala Sadar
ambaliyasan	Ambaliyasan
amballur	Amballūr
ambara	Ambara
ambarnath	Ambarnath
ambasa	Āmbāsa
ambasamudram	Ambasamudram
ambattur	Ambattur
ambepur	Ambepur
ambicapur pt vi	Ambicapur Pt VI
ambicapur pt viii	Ambicapur Pt VIII
ambikanagar	Ambikanagar
ambikapur	Ambikāpur
ambikapur part-x	Ambikapur Part-X
ambikapuram	Ambikāpuram
ambivali t. tungartan	Ambivali T. Tungartan
amboli	Amboli
ambur	Ambur
amet	Amet
amethi	Amethi
amethi	Amethī
amgaon	Amgaon
amguri	Amguri
