'abas abad	'Abās Ābād
'ali abad-e katul	'Alī Ābād-e Katūl
ab bandan sar	Āb Bandān Sar
ab barik	Āb Bārīk
ab bariki	Āb Bārīkī
ab pakhsh	Āb Pakhsh
ab sard	Āb Sard
ab tavil	Āb Ţavīl
abadan	Abadan
abadan	Ābādān
abadeh	Ābādeh
abadeh	Abadeh
abadeh abgarm	Ābādeh Ābgarm
abadeh tashk	Ābādeh Ţashk
abarkuh	Abarkūh
abarsenj	Abarsenj
abbar	Ābbar
abdan	Ābdān
abdanan	Ābdānān
abhar	Abhar
abi beyglu	Ābī Beyglū
abi-ye sofla	Ābī-ye Soflá
abish ahmad	Abīsh Aḩmad
abkenar	Ābkenār
abrisham	Abrīsham
abshineh	Ābshīneh
abtar	Abtar
abu dabos	Abū Dabos
abu homeyzeh	Abū Ḩomeyz̧eh
abu ol verdi	Abū ol Verdī
abyek	Ābyek
ab‘ali	Āb‘alī
adimi	Adīmī
afjan	Afjān
afshan	Afshān
afus	Afūs
aghajari	Aghajari
ahar	Ahar
ahi dasht	Āhī Dasht
ahi mahalleh	Āhī Maḩalleh
ahmad abad mostufi	Aḥmad Ābād Mostūfī
ahmad sar gurab	Aḩmad Sar Gūrāb
ahmadabad	Aḩmadābād
ahram	Ahram
ahu dasht	Āhū Dasht
ahvaz	Ahvaz
ajab shir	Ajab Shīr
ajirlu	Ajīrlū
akand	Ākand
akbarabad	Akbarābād
akhand	Akhand
akhi jahan	Ākhī Jahān
aladizgeh	Ālādīzgeh
alan	Ālān
alani	Ālanī
alanjeq	Alanjeq
alard	Ālārd
alasht	Ālāsht
alavijeh	Alavijeh
alek	Alek
aleshtar	Aleshtar
aligudarz	Alīgūdarz
alikuh	Ālīkūh
alu kalateh	Ālū Kalāteh
aluni	Ālūnī
alu’ak	Ālū’ak
alvand	Alvand
alvard	Alvard
am altamir	Ām Ālṭamīr
amanabad	Amānābād
amir kola	Amīr Kolā
amir rud	Amīr Rūd
amirabad	Amīrābād
amlash	Amlash
amol	Āmol
anar	Anār
anar marz	Anār Marz
anarak	Anārak
anarestan	Anārestān
anbar alum	Anbār Ālūm
anbi	Anbī
andabil	Andabīl
andarab	Andarāb
andarvar	Andarvar
andimeshk	Andīmeshk
andisheh	Andīsheh
angut	Angut
anuch	Anūch
aq bolagh-e aqdagh	Āq Bolāgh-e Āqdāgh
aq kahrizak	Āq Kahrīzak
aq qala	Āq Qalā
aq qayeh	Āq Qāyeh
aqa baba	Āqā Bābā
aqabad	Āqābād
aqdash	Āqdāsh
aqkand	Āqkand
aradan	Ārādān
arak	Arāk
arallu	Ārāllū
aran bidgol	Ārān Bīdgol
arateh	Araţeh
arbatan	Arbaţān
ardabil	Ardabīl
ardakan	Ardakān
ardakan	Ārdaḵān
ardal	Ardal
ardaq	Ardāq
ardestan	Ardestān
argha	Arghā
arjomand	Arjomand
arkavaz	Arkavaz
armardeh	Ārmardeh
arsanjan	Arsanjān
aruq	Ārūq
arvand kenar	Arvand Kenār
arzanaq	Arzanaq
asadabad	Asadābād
asadiyeh	Asadīyeh
asalem	Asālem
asara	Āsārā
asenjan	Asenjān
asfarvarin	Asfarvarīn
asfestan	Asfestān
asgharabad	Aşgharābād
ashar	Āshār
ashkezar	Ashkez̄ar
ashkhaneh	Āshkhāneh
ashnestan	Āshnestān
ashtian	Āshtīān
asir	Asīr
aslan duz	Aşlān Dūz
asmanabad	Āsmānābād
asopas	Āsopās
aspich	Āspīch
asram	Asram
astaneh	Āstāneh
astaneh-ye ashrafiyeh	Āstāneh-ye Ashrafīyeh
astara	Āstārā
atrab	Aţrab
avaj	Āvaj
avajiq	Āvājīq
avarzaman	Āvarzamān
aveh	Āveh
ayask	Āyask
ayjan	Ayjān
azadi	Āzādī
azadshahr	Āzādshahr
azarshahr	Āz̄arshahr
azmanabad	Āzmanābād
azna	Aznā
aznav	Aznāv
a’ineh varzan	Ā’īneh Varzān
bab anar	Bāb Anār
baba heydar	Bābā Ḩeydar
baban	Bābān
babelabad	Bābelābād
babol	Bābol
babolsar	Bābolsar
bad khowreh	Bād Khowreh
bad rud	Bād Rūd
badalabad	Badalābād
badeleh	Bādeleh
badreh	Badreh
bafq	Bāfq
bafran	Bāfrān
baft	Bāft
bagh anar-e milas	Bāgh Anār-e Mīlās
bagh malek	Bāgh Malek
bagh-e behzad	Bāgh-e Behzād
bagh-e malek	Bāgh-e Malek
bagh-e ma‘ruf	Bāgh-e Ma‘rūf
baghan	Bāghān
baghdadeh	Baghdādeh
baghestan	Bāghestān
baghin	Bāghīn
baghkomish	Bāghkomīsh
baghu kenareh	Bāghū Kenāreh
bahabad	Bahābād
