akranes	Akranes
akureyri	Akureyri
alftanes	Álftanes
borgarnes	Borgarnes
dalvik	Dalvík
egilsstadir	Egilsstaðir
eskifjordur	Eskifjörður
gardabaer	Garðabær
gardur	Garður
grindavik	Grindavík
hafnarfjordur	Hafnarfjörður
hofn	Höfn
hveragerdi	Hveragerði
hvolsvollur	Hvolsvöllur
isafjordur	Ísafjörður
keflavik	Keflavík
kopavogur	Kópavogur
laugar	Laugar
mosfellsbaer	Mosfellsbær
neskaupstadur	Neskaupstaður
nordurthing	Norðurþing
olafsvik	Ólafsvík
reydarfjordur	Reyðarfjörður
reykjanesbaer	Reykjanesbær
reykjavik	Reykjavík
sandgerdi	Sandgerði
saudarkrokur	Sauðárkrókur
selfoss	Selfoss
seltjarnarnes	Seltjarnarnes
siglufjordur	Siglufjörður
stykkisholmur	Stykkishólmur
thorlakshofn	Þorlákshöfn
vestmannaeyjar	Vestmannaeyjar
vogar	Vogar
