ak-bulung	Ak-Bulung
ak-dzhar	Ak-Dzhar
ak-jol	Ak-Jol
ak-say	Ak-Say
ak-suu	Ak-Suu
ak-tatyr	Ak-Tatyr
akbulek	Akbulek
akbulun	Akbulun
ala-buka	Ala-Buka
alga	Alga
andarak	Andarak
aravan	Aravan
at-bashi	At-Bashi
aydarken	Aydarken
baetovo	Baetovo
bakai-ata	Bakai-Ata
balykchy	Balykchy
batken	Batken
bazar-korgon	Bazar-Korgon
belovodskoye	Belovodskoye
besh-badam	Besh-Badam
beshkent	Beshkent
birbash	Birbash
bishkek	Bishkek
bokombayevskoye	Bokombayevskoye
boz-adyr	Boz-Adyr
boz-beshik	Boz-Beshik
bozbulun	Bozbulun
chayek	Chayek
chek	Chek
cholpon-ata	Cholpon-Ata
chuy	Chuy
daroot-korgon	Daroot-Korgon
gul’cha	Gul’cha
iradan	Iradan
ivanovka	Ivanovka
ivanovo-alekseyevka	Ivanovo-Alekseyevka
kadzhi-say	Kadzhi-Say
kaindy	Kaindy
kant	Kant
kanysh-kyya	Kanysh-Kyya
kara suu	Kara Suu
kara-bak	Kara-Bak
kara-balta	Kara-Balta
kara-debe	Kara-Dëbë
kara-dzhygach	Kara-Dzhygach
kara-kulja	Kara-Kulja
kara-kul’	Kara-Kul’
karacha	Karacha
karakol	Karakol
karavan	Karavan
katran	Katran
kayirma	Kayirma
kazarman	Kazarman
kemin	Kemin
kerben	Kerben
khalmion	Khalmion
kochkor	Kochkor
kochkor-ata	Kochkor-Ata
kolkhoz imeni kirova	Kolkhoz Imeni Kirova
korgon	Korgon
kulundu	Kulundu
kyrgyz-kyshtak	Kyrgyz-Kyshtak
kyzyl-adyr	Kyzyl-Adyr
kyzyl-bel’	Kyzyl-Bel’
kyzyl-bulak	Kyzyl-Bulak
kyzyl-eshme	Kyzyl-Eshme
kyzyl-jol	Kyzyl-Jol
kyzyl-kyya	Kyzyl-Kyya
kyzyl-oktyabr’	Kyzyl-Oktyabr’
kyzyl-suu	Kyzyl-Suu
kyzyl-tuu	Kyzyl-Tuu
lebedinovka	Lebedinovka
manas	Manas
markaz	Markaz
massy	Massy
mayevka	Mayevka
naryn	Naryn
nizhnyaya ala-archa	Nizhnyaya Ala-Archa
nookat	Nookat
ormosh	Ormosh
orozbekovo	Orozbekovo
osh	Osh
pokrovka	Pokrovka
pulgon	Pulgon
razzakov	Razzakov
samarkandyk	Samarkandyk
sokuluk	Sokuluk
sosnovka	Sosnovka
sovetskoye	Sovetskoye
suluktu	Suluktu
suzak	Suzak
talas	Talas
tash-kumyr	Tash-Kumyr
tayan	Tayan
tegizchil	Tegizchil
toguz-bulak	Toguz-Bulak
tokmok	Tokmok
toktogul	Toktogul
tortkel’	Tortkël’
tyup	Tyup
uch-korgon	Uch-Korgon
uch-terek	Üch-Terek
uzgen	Uzgen
zyndan	Zyndan
