aachar leak	Aachar Leak
aek phnum	Aek Phnum
aekakpheap	Aekakpheap
aekapheap	Aekapheap
amleang	Âmleăng
ampil	Ampil
ampil pram daeum	Ampil Pram Daeum
ampov prey	Ampov Prey
andaeuk haeb	Andaeuk Haeb
andoung khmaer	Andoung Khmaer
andoung meas	Andoung Meas
andoung pou	Andoung Pou
andoung thma	Andoung Thma
andoung trabaek	Andoung Trabaek
andoung tuek	Andoung Tuek
angk tasaom	Ângk Tasaôm
angkor angk	Angkor Angk
angkor chey	Ângkôr Chey
angkor chum	Angkor Chum
angkor meas	Angkor Meas
angkor sar	Angkor Sar
angkor thum	Angkor Thum
angkoul	Angkoul
anhchanh rung	Anhchanh Rung
anlong phe	Anlong Phe
anlong reab	Anlong Reab
anlong romiet	Anlong Romiet
anlong run	Anlong Run
anlong thnaot	Anlong Thnaot
anlong veaeng	Anlong Veaeng
aoral	Aoral
areaks tnaot	Areaks Tnaot
bak khlang	Bak Khlang
bakan	Bakan
bakong	Bakong
banan	Banan
banlung	Banlung
banteay ampil	Banteay Ampil
banteay meas	Banteay Meas
banteay meas khang kaeut	Banteay Meas Khang Kaeut
bar kaev	Bar Kaev
baray	Baray
baribour	Baribour
basedth	Basedth
bat dambang	Bat Dambang
batheay	Batheay
battambang	Battambang
bavel	Bavel
bavet	Bavet
bet trang	Bet Trang
boeng kak muoy	Boeng Kak Muoy
boeng kak pir	Boeng Kak Pir
boeng mealea	Boeng Mealea
botum sakor	Botum Sakor
bourei cholsar	Bourei Cholsar
chamkar leu	Chamkar Leu
chantrea	Chantrea
chealea	Chealea
cheung prey	Cheung Prey
chey chouk	Chey Chouk
chhloung	Chhloung
chhnok tru	Chhnok Tru
chhuk	Chhuk
chi kraeng	Chi Kraeng
chob ta trav	Chob Ta Trav
chong kal	Chŏng Kal
chrak khley	Chrak Khley
chrang chamreh muoy	Chrang Chamreh Muoy
chum kiri	Chum Kiri
daeum doung	Daeum Doung
dak dam	Dak Dam
dak por	Dak Por
damnak chang’aeur	Damnak Chang’aeur
damnak khchas	Damnak Khchas
damnak sokram	Damnak Sokram
damrei choan khla	Damrei Choan Khla
damrei phong	Damrei Phong
damrei slab	Damrei Slab
dang phlet	Dang Phlet
dangkao	Dangkao
dar	Dar
doun yay	Doun Yay
han chey	Han Chey
haong samnam	Haong Samnam
kaev seima	Kaev Seima
kak	Kak
kampong cham	Kampong Cham
kampong chhnang	Kampong Chhnang
kampong damrei	Kampong Damrei
kampong leaeng	Kampong Leaeng
kampong leav	Kampong Leav
kampong seila	Kampong Seila
kampong speu	Kampong Speu
kampong thkov	Kampong Thkov
kampong thom	Kampong Thom
kampong trabaek	Kampong Trabaek
kampong trach	Kampong Trach
kampot	Kampot
kamrieng	Kamrieng
kandal stueng	Kandal Stueng
kandoeng	Kandoeng
kang meas	Kang Meas
kanhchor	Kanhchor
kantueu pir	Kantueu Pir
kaoh kaev	Kaoh Kaev
kaoh mitt	Kaoh Mitt
kaoh samraong	Kaoh Samraong
kaoh soutin	Kaoh Soutin
kaoh tontuem	Kaoh Tontuem
kdol	Kdol
kep	Kep
khnach romeas	Khnach Romeas
khpob ateav	Khpob Ateav
khsach andaet	Khsach Andaet
khum angkor ban	Khŭm Ângkôr Ban
khum ansaong	Khŭm Ânsaông
kien chrey	Kien Chrey
kiri vongs	Kiri Vongs
koah thum	Koah Thum
koas krala	Koas Krala
koh kong	Koh Kong
kokor	Kokor
kong noy	Kong Noy
kou loab	Kou Loab
kouk thlok	Kouk Thlok
kouk trab	Kouk Trab
koun mom	Koun Mom
koun sat	Koun Sat
kralanh	Kralanh
krang pongro	Krang Pongro
kratie	Kratié
kuleaen	Kuleaen
kuttasat	Kuttasat
lech	Lech
leuk daek	Leuk Daek
longveaek	Longveaek
lumphat	Lumphat
lvea	Lvea
lvea leu	Lvea Leu
lvea sa	Lvea Sa
l’ang	L’ang
me sang	Me Sang
mean chey	Mean Chey
memot	Mémót
mittakpheap	Mittakpheap
mlu prey muoy	Mlu Prey Muoy
mlu prey pir	Mlu Prey Pir
mondul seima	Mondul Seima
mongkol borei	Mongkol Borei
moung ruessei	Moung Ruessei
mukh kampul	Mukh Kampul
nang khi lik	Nang Khi Lik
neang sav	Neang Sav
nokor pheas	Nokor Pheas
odongk	Ŏdŏngk
odongk	Odongk
otdam souriya	Otdam Souriya
ou andoung	Ou Andoung
ou bak roteh	Ou Bak Roteh
ou bei choan	Ou Bei Choan
ou char	Ou Char
ou chrov	Ou Chrov
ou chum	Ou Chum
ou kanthor	Ou Kanthor
ou krasar	Ou Krasar
ou reang	Ou Reang
ou ruessei	Ou Ruessei
ou smach	Ou Smach
ou svay	Ou Svay
ou ya dav	Ou Ya Dav
ovlaok	Ovlaok
pailin	Pailin
pal hal	Pal Hal
paoy paet	Paoy Paet
peam chor	Peam Chor
peam ro	Peam Ro
pechreada	Pechreada
phnom penh	Phnom Penh
phnum kravanh	Phnum Kravanh
phnum proek	Phnum Proek
phnum srok	Phnum Srok
phnum sruoch	Phnum Sruoch
phum anlung vil	Phum Ânlŭng Vĭl
phum kaoh trung	Phum Kaôh Trŭng
phum krakor	Phum Krâkôr
phum pir	Phum Pir
phumi achen	Phumĭ Achén
phumi ampil leu	Phumĭ Âmpĭl Leu
phumi andong pouthi	Phumĭ Ândong Poŭthĭ
phumi andong snay	Phumĭ Ândong Snay
phumi angkor borei	Phumĭ Ângkôr Borei
phumi anhchaeum	Phumĭ Ânhchaeum
phumi au loek	Phumĭ Âu Lœ̆k
phumi kate vat	Phumĭ Katê Vat
phumi khchau	Phumĭ Khchau
phumi kouk kong	Phumĭ Koŭk Kóng
phumi nipech	Phumĭ Nĭpéch
phumi prey chek	Phumĭ Prey Chék
phumi romeas	Phumĭ Rôméas
phumi sre kan	Phumĭ Srê Kăn
phumi tnaot	Phumĭ Tnaôt
phumi tnaot chum	Phumĭ Tnaôt Chŭm
phumi trapeang montrei	Phumĭ Trâpeăng Môntrei
phumi veal sre	Phumĭ Véal Srê
phumi veal tonsay	Phumĭ Véal Tônsay
phumi youl toung	Phumĭ Yoŭl Toŭng
ph’av	Ph’av
pongro	Pongro
ponhea lueu	Ponhea Lueu
preaek khsay kha	Preaek Khsay Kha
preaek prasab	Preaek Prasab
preaek saman	Preaek Saman
preah netr preah	Preah Netr Preah
preah sdach	Preah Sdach
prey chhor	Prey Chhor
prey nob	Prey Nob
prey veaeng	Prey Veaeng
prey veng	Prey Veng
pursat	Pursat
reaksmei sameakki	Reaksmei Sameakki
ream	Ream
roka kandal	Roka Kandal
roka khnaor	Roka Khnaor
roluos	Roluos
ruessei kaev	Ruessei Kaev
rumchek	Rumchek
rumduol	Rumduol
rung	Rung
sak sampov	Sak Sampov
sala krau	Sala Krau
samlout	Samlout
sampov lun	Sampov Lun
samraong	Samraong
samraong kraom	Samraong Kraom
sandan	Sandan
sangkae	Sangkae
sangkae pir	Sangkae Pir
sangkom thmei	Sangkom Thmei
sdach kong khang cheung	Sdach Kong Khang Cheung
sdach kong khang lech	Sdach Kong Khang Lech
sen monorom	Sen Monorom
sesan	Sesan
siem pang	Siem Pang
siem reab	Siem Reab
siem reap	Siem Reap
sihanoukville	Sihanoukville
sisophon	Sisophon
sithor kandal	Sithor Kandal
smach mean chey	Smach Mean Chey
snuol	Snuol
soutr nikom	Soutr Nikom
spean thma	Spean Thma
srae ambel	Srae Ambel
srae chan	Srae Chan
srei snam	Srei Snam
stoung	Stoung
stueng chhay	Stueng Chhay
stueng saen	Stueng Saen
stueng trang	Stueng Trang
stung treng	Stung Treng
suong	Suong
svay chek	Svay Chek
svay rieng	Svay Rieng
svay rumpea	Svay Rumpea
svay teab	Svay Teab
s’ang	S’ang
ta khmau	Ta Khmau
ta loas	Ta Loas
takeo	Takeo
tang krasang	Tăng Krâsăng
tbeng meanchey	Tbeng Meanchey
thma bang	Thma Bang
thma puok	Thma Puok
thpong	Thpong
tien	Tien
toek l’ak	Tœ̆k L’ák
tram kak	Tram Kak
trapeang chan	Trapeang Chan
trapeang prasat	Trapeang Prasat
trapeang sala khang kaeut	Trapeang Sala Khang Kaeut
trapeang sala khang lech	Trapeang Sala Khang Lech
tuek kraham	Tuek Kraham
tuk meas khang kaeut	Tuk Meas Khang Kaeut
tuol tumpung	Tuŏl Tumpung
varin	Varin
veal sbov	Veal Sbov
veal veaeng	Veal Veaeng
veun sai	Veun Sai
voat angk khang cheung	Voat Angk Khang Cheung
voat angk khang tboung	Voat Angk Khang Tboung
yeang	Yeang
yeang dangkum	Yeang Dangkum
