ambo village	Ambo Village
bairiki village	Bairiki Village
banana	Banana
banana village	Banana Village
banraeaba village	Banraeaba Village
betio village	Betio Village
bikenibeu village	Bikenibeu Village
bonriki village	Bonriki Village
buota village	Buota Village
eita village	Eita Village
london village	London Village
makin village	Makin Village
napari village	Napari Village
nawerewere village	Nawerewere Village
rawannawi village	Rawannawi Village
tabwakea village	Tabwakea Village
tarawa	Tarawa
teaoraereke village	Teaoraereke Village
temaiku village	Temaiku Village
