adda-doueni	Adda-Douéni
antsahe	Antsahé
assimpao	Assimpao
bahani	Bahani
bambadjani	Bambadjani
bambao	Bambao
bandajou	Bandajou
bandamadji-domba	Bandamadji-Domba
barakani	Barakani
bimbini	Bimbini
boungoueni	Boungouéni
bouni	Bouni
chandra	Chandra
chezani	Chezani
chindini	Chindini
chironkamba	Chironkamba
chitrouni	Chitrouni
chouani	Chouani
daji	Daji
dar salam	Dar Salam
dembeni	Dembéni
djoyezi	Djoyézi
domoni	Domoni
douniani	Douniani
dzahadjou	Dzahadjou
dziani	Dziani
fomboni	Fomboni
foumbouni	Foumbouni
hajoho	Hajoho
hantsindzi	Hantsindzi
harembo	Harembo
heroumbili	Héroumbili
hoani	Hoani
ikoni	Ikoni
itsandra	Itsandra
itsandzeni	Itsandzéni
ivouani	Ivouani
kangani	Kangani
kavani	Kavani
koimbani	Koimbani
koki	Koki
koni-djodjo	Koni-Djodjo
koni-ngani	Koni-Ngani
koua	Koua
kyo	Kyo
limbi	Limbi
lingoni	Lingoni
madjeoueni	Madjeouéni
magnassini-nindri	Magnassini-Nindri
mandza	Mandza
marahare	Maraharé
mavingouni	Mavingouni
mbeni	Mbéni
mirontsi	Mirontsi
mitsamiouli	Mitsamiouli
mitsoudje	Mitsoudjé
mjamaoue	Mjamaoué
mjimandra	Mjimandra
mnoungou	Mnoungou
mohoro	Mohoro
moroni	Moroni
moutsamoudou	Moutsamoudou
moya	Moya
mramani	Mramani
mremani	Mrémani
mtakoudja	Mtakoudja
mtsamdou	Mtsamdou
mvouni	Mvouni
nioumachoua	Nioumachoua
nioumamilima	Nioumamilima
nkourani	Nkourani
ntsaoueni	Ntsaouéni
ntsoudjini	Ntsoudjini
ongoni	Ongoni
ouanani	Ouanani
ouani	Ouani
ouellah	Ouellah
ouhozi	Ouhozi
ouroveni	Ourovéni
oussivo	Oussivo
ouzini	Ouzini
paje	Pajé
patsi	Patsi
salimani	Salimani
selea	Séléa
sima	Sima
singani	Singani
tsidje	Tsidjé
tsimbeo	Tsimbeo
vanadjou	Vanadjou
vanambouani	Vanambouani
vouani	Vouani
ziroudani	Ziroudani
