anak	Anak
anbyon-up	Anbyŏn-ŭp
anju	Anju
aoji-ri	Aoji-ri
ayang-ni	Ayang-ni
chaeryong-ni	Chaeryŏng-ni
chaeryong-up	Chaeryŏng-ŭp
changam-ch’on	Changam-ch’on
changyon	Changyŏn
chasong	Chasŏng
chongjin	Chongjin
chongju	Chŏngju
chunggang	Chunggang
chunghwa	Chunghwa
ch’ongdan-up	Ch’ŏngdan-ŭp
ch’osal-li	Ch’ŏsal-li
haeju	Haeju
hahoe-dong	Hahoe-dong
hamhung	Hamhŭng
hau-ri	Hau-ri
hoemul-li	Hoemul-li
hoeryong	Hoeryŏng
hoeyang	Hoeyang
hongwon	Hongwŏn
hukkyo-ri	Hŭkkyo-ri
hungju-dong	Hŭngju-dong
hungnam	Hŭngnam
hwadae	Hwadae
hwangju-up	Hwangju-ŭp
hwasong	Hwasŏng
hyesan	Hyesan
hyesan-dong	Hyesan-dong
iwon-up	Iwŏn-ŭp
kaech’on	Kaech’ŏn
kaesong	Kaesŏng
kangdong-up	Kangdong-ŭp
kanggye	Kanggye
kangnyong	Kangnyŏng
kangson	Kangsŏn
kapsan-up	Kapsan-ŭp
kilju	Kilju
kogonwon	Kogŏnwon
koksan-up	Koksan-ŭp
komusan il-tong	Komusan Il-tong
kop’ung	Kop’ung
kosan	Kosan
kowon-up	Kowŏn-ŭp
kujang-up	Kujang-ŭp
kusong-si	Kusŏng-si
kwail-up	Kwail-ŭp
kwaksan	Kwaksan
kwirak	Kwirak
kyongsong	Kyŏngsŏng
manp’o	Manp’o
man’gyongdae-ri	Man’gyŏngdae-ri
musan-up	Musan-ŭp
myongch’on	Myŏngch’ŏn
myonggan-dong	Myŏnggan-dong
namp’o	Namp’o
namsan	Namsan
namyang	Namyang
namyang-nodongjagu	Namyang-nodongjagu
ongjin	Ongjin
onsong	Onsŏng
orang	Ŏrang
paech’on-up	Paech’ŏn-ŭp
paek'ak	Paek'ak
panghyon-dong	Panghyŏn-dong
pongch’on-up	Pongch’ŏn-ŭp
pukchin-rodongjagu	Pukchin-rodongjagu
puryong-up	Puryŏng-ŭp
pyoksong-up	Pyŏksŏng-ŭp
pyongyang	Pyongyang
p’ungin	P’ungin
p’yongsong	P’yŏngsŏng
rajin	Rajin
ranam	Ranam
ryonggang-up	Ryonggang-ŭp
sakchu-up	Sakchu-ŭp
sambong	Sambong
samch’on	Samch’ŏn
samho-rodongjagu	Samho-rodongjagu
samjiyon-up	Samjiyŏn-ŭp
sangsong-ni	Sangsŏng-ni
sariwon-si	Sariwŏn-si
satan	Satan
sijung	Sijung
sil-li	Sil-li
sinanju	Sinanju
sinch’on-up	Sinch’ŏn-ŭp
sindo	Sindo
sinmak	Sinmak
sinp’o	Sinp’o
sinsang-ni	Sinsang-ni
sinuiju	Sinŭiju
sinwon-up	Sinwŏn-ŭp
sonbong	Sŏnbong
songhwa	Songhwa
songnae-ri	Sŏngnae-ri
songnim-ni	Songnim-ni
songwon	Songwŏn
songwon-up	Songwŏn-ŭp
sunan	Sunan
sunch’on	Sunch’ŏn
sungam-nodongjagu	Sŭngam-nodongjagu
sungho 1-tong	Sŭngho 1-tong
sungjibaegam	Sŭngjibaegam
tokch’on	Tŏkch’ŏn
twimoraet’o	Twimoraet’ŏ
t’aet’an-up	T’aet’an-ŭp
t’ongch’on-up	T’ongch’ŏn-ŭp
uijin-dong	Ŭijin-dong
uiju	Uiju
ullyul	Ŭllyul
unch’on-up	Ŭnch’ŏn-ŭp
undok	Ŭndŏk
unggi	Unggi
ungsang	Ungsang
ungsang-nodongjagu	Ungsang-nodongjagu
wonsan	Wŏnsan
yoch’im-dong	Yŏch’im-dong
yomju	Yŏmju
yonan-up	Yŏnan-ŭp
yongbyon	Yŏngbyŏn
yonggwang-up	Yŏnggwang-ŭp
yonsa-up	Yŏnsa-ŭp
yuktae-dong	Yuktae-dong
