andong	Andong
annae	Annae
annam	Annam
ansan-si	Ansan-si
anseong	Anseong
anyang-si	Anyang-si
apae	Apae
ara-dong	Ara-dong
asan	Asan
baekjeon	Baekjeon
baeksu	Baeksu
baengnyeongdo	Baengnyeongdo
bangsan	Bangsan
bannam	Bannam
beobwon	Beobwon
beolgyo	Beolgyo
beonam	Beonam
beopseong	Beopseong
biin	Biin
bonggang	Bonggang
bongnae	Bongnae
boryeong	Boryeong
boseong	Boseong
buan	Buan
bucheon-si	Bucheon-si
bulgap	Bulgap
bupyeong	Bupyeong
busan	Busan
buyeo	Buyeo
byeollyang	Byeollyang
byeonggok	Byeonggok
changnyeong	Changnyeong
changpyeong	Changpyeong
changsu	Changsu
changwon	Changwon
cheonan	Cheonan
cheongha	Cheongha
cheongju-si	Cheongju-si
cheongnam	Cheongnam
cheongpung	Cheongpung
cheongpyeong	Cheongpyeong
cheongsan	Cheongsan
cheongseong	Cheongseong
cheongsong gun	Cheongsong gun
cheongyang	Cheongyang
cheorwon	Cheorwon
chilbo	Chilbo
chinch'on	Chinch'ŏn
chinju	Chinju
chuncheon	Chuncheon
chungju	Chungju
chupungnyeong	Chupungnyeong
daegu	Daegu
daehap	Daehap
daejeon	Daejeon
daema	Daema
daesan	Daesan
damyang	Damyang
deokjin	Deokjin
dodong-ri	Dodong-ri
dongbok	Dongbok
donggye	Donggye
donghae city	Donghae City
dongi	Dongi
dongmyeon	Dongmyeon
dongnae	Dongnae
dopo	Dopo
eisen	Eisen
gaigeturi	Gaigeturi
gampo	Gampo
gangdong	Gangdong
ganghwa-gun	Ganghwa-gun
gangjin	Gangjin
gangneung	Gangneung
gapyeong	Gapyeong
geoje	Geoje
geumjeong	Geumjeong
geumseong	Geumseong
gijang	Gijang
gimcheon	Gimcheon
gimpo-si	Gimpo-si
gongeum	Gongeum
gongju	Gongju
goseong	Goseong
goyang-si	Goyang-si
gujeong	Gujeong
gumi	Gumi
gunbuk	Gunbuk
gunnam	Gunnam
gunpo	Gunpo
gunsan	Gunsan
gunseo	Gunseo
guri-si	Guri-si
gurim	Gurim
guryongpo	Guryongpo
gwanchon	Gwanchon
gwangjeok	Gwangjeok
gwangju	Gwangju
gwangmyeong	Gwangmyeong
gwangtan	Gwangtan
gwangyang	Gwangyang
gwanin	Gwanin
gyeombaek	Gyeombaek
gyeongju	Gyeongju
gyeongsan-si	Gyeongsan-si
gyodong	Gyodong
gyuam	Gyuam
hadong	Hadong
haean	Haean
haebo	Haebo
haeje	Haeje
haenam	Haenam
haeri	Haeri
haeryong	Haeryong
hajeom	Hajeom
haksan	Haksan
hamyeol	Hamyeol
hanam	Hanam
hancheolli	Hancheolli
haseong	Haseong
hayang	Hayang
heunghae	Heunghae
hoenam	Hoenam
hongch’on	Hongch’ŏn
hongnong	Hongnong
hongseong	Hongseong
hwacheon	Hwacheon
hwado	Hwado
hwanam	Hwanam
hwanggan	Hwanggan
hwaseong-si	Hwaseong-si
hwasun	Hwasun
hwawon	Hwawŏn
hwayang	Hwayang
hyeonpung	Hyeonpung
icheon-si	Icheon-si
ido-dong	Ido-dong
iksan	Iksan
ilgwang	Ilgwang
illo	Illo
imja	Imja
imsil	Imsil
incheon	Incheon
ingye	Ingye
iwon	Iwon
iyang	Iyang
jangan	Jangan
jangheung	Jangheung
jangpyeong	Jangpyeong
jangseong	Jangseong
jeju city	Jeju City
jenzan	Jenzan
jeongeup	Jeongeup
jeongnyang	Jeongnyang
jeongok	Jeongok
jeonju	Jeonju
jido	Jido
jinan-gun	Jinan-gun
jinjam	Jinjam
jinjeop	Jinjeop
jinsang	Jinsang
jinwol	Jinwol
joseong	Joseong
juam	Juam
jumunjin	Jumunjin
jungpyong	Jungpyong
kimhae	Kimhae
kimje	Kimje
kinzan	Kinzan
koch'ang	Koch'ang
koesan	Koesan
kosong	Kosong
kunwi	Kunwi
kurye	Kurye
kwangyang	Kwangyang
kyosai	Kyosai
masan	Masan
mijo	Mijo
miryang	Miryang
miryeok	Miryeok
mokpo	Mokpo
muan	Muan
mundeok	Mundeok
mungyeong	Mungyeong
munsan	Munsan
myoryang	Myoryang
naeso	Naesŏ
nagwol	Nagwol
naju	Naju
nammyeon	Nammyeon
namsa	Namsa
namyangju	Namyangju
nangen	Nangen
nasan	Nasan
neietsu	Neietsu
nodong	Nodong
nonsan	Nonsan
ocheon	Ocheon
oeseo	Oeseo
okcheon	Okcheon
okgok	Okgok
onam	Onam
ongnyong	Ongnyong
ora-dong	Ora-dong
osan	Osan
paju	Paju
palgeum	Palgeum
pohang	Pohang
ponggae-dong	Ponggae-dong
pubal	Pubal
pyeongchang	Pyeongchang
pyeongtaek	Pyeongtaek
samseung	Samseung
sangha	Sangha
sangju	Sangju
sangsa	Sangsa
sangwol	Sangwol
sanji	Sanji
sannae	Sannae
sanseo	Sanseo
santyoku	Santyoku
seji	Seji
sejong	Sejong
seodong	Seodong
seogwipo	Seogwipo
seolcheon	Seolcheon
seonghwan	Seonghwan
seongnam-si	Seongnam-si
seongsu	Seongsu
seonwon	Seonwon
seosan	Seosan
seosang	Seosang
seoseok	Seoseok
seoul	Seoul
seungju	Seungju
siheungdong	Siheungdong
sijong	Sijong
simcheon	Simcheon
simwon	Simwon
sinan	Sinan
sindong	Sindong
singwang	Singwang
sinhyeon	Sinhyeon
sinseo	Sinseo
sintansin	Sintansin
sokcho	Sokcho
songgangdong	Songgangdong
songgwang	Songgwang
songhae	Songhae
ssangchi	Ssangchi
su-dong	Su-dong
suncheon	Suncheon
suwon	Suwon
taesal-li	Taesal-li
tallang-dong	Tallang-dong
tangjin	Tangjin
tanhyeon	Tanhyeon
tongjin	Tongjin
tongyeong	Tongyeong
toseong	Toseong
t’aebaek	T’aebaek
uijeongbu-si	Uijeongbu-si
uiwang	Uiwang
ulsan	Ulsan
ungsang	Ungsang
wabu	Wabu
waegwan	Waegwan
wanju	Wanju
wolgot	Wolgot
wonju	Wŏnju
yanggu	Yanggu
yangju	Yangju
yangp'yong	Yangp'yŏng
yangsa	Yangsa
yangsan	Yangsan
yecheon	Yecheon
yeoju	Yeoju
yeomsan	Yeomsan
yeoncheon	Yeoncheon
yeongam	Yeongam
yeongdeok	Yeongdeok
yeongdong	Yeongdong
yeonggwang	Yeonggwang
yeongju	Yeongju
yeonil	Yeonil
yeosu	Yeosu
yesan	Yesan
yongan	Yongan
yonghwa	Yonghwa
yongsan	Yongsan
yongsan-dong	Yongsan-dong
yonmu	Yŏnmu
yuchi	Yuchi
yureo	Yureo
yuseong	Yuseong
