abu al hasaniya	Abu Al Hasaniya
abu fatira	Abu Fatira
ad dasmah	Ad Dasmah
al ahmadi	Al Aḩmadī
al fahahil	Al Faḩāḩīl
al farwaniyah	Al Farwānīyah
al fintas	Al Finţās
al funaytis	Al Funayţīs
al jahra’	Al Jahrā’
al mahbulah	Al Mahbūlah
al manqaf	Al Manqaf
al murqab	Al Murqāb
al wafrah	Al Wafrah
al-masayel	Al-Masayel
ar rabiyah	Ar Rābiyah
ar riqqah	Ar Riqqah
ar rumaythiyah	Ar Rumaythīyah
as salimiyah	As Sālimīyah
ash shamiyah	Ash Shāmīyah
az zawr	Az Zawr
bayan	Bayān
hawalli	Ḩawallī
janub as surrah	Janūb as Surrah
kuwait city	Kuwait City
mazari‘ al ‘abdali	Mazāri‘ al ‘Abdalī
mubarak al kabir	Mubārak al Kabīr
sabah as salim	Şabāḩ as Sālim
salwa	Salwá
