abay	Abay
akbakay	Akbakay
akkistau	Akkistau
akkol	Akkol
akkol’	Akkol’
akkuly	Akkuly
aksu	Aksu
aksu-ayuly	Aksu-Ayuly
aksuat	Aksuat
aktas	Aktas
aktau	Aktau
aktobe	Aktobe
aktogay	Aktogay
algha	Algha
almaty	Almaty
altay	Altay
altayskiy	Altayskiy
altynemel	Altynemel
amangeldi	Amangeldi
aqadyr	Aqadyr
aqmol	Aqmol
aqsay	Aqsay
aqshatau	Aqshataū
aqtoghay	Aqtoghay
aral	Aral
arkalyk	Arkalyk
arshaly	Arshaly
arykbalyk	Arykbalyk
arys	Arys
asa	Asa
ashchysay	Ashchysay
astana	Astana
astrakhanka	Astrakhanka
asubulak	Asubulak
asyqata	Asyqata
atakent	Atakent
atameken	Atameken
atbasar	Atbasar
atyrau	Atyrau
auezov	Auezov
auliekol	Äūlīeköl
ayagoz	Ayagoz
ayat	Ayat
ayatskiy	Ayatskiy
badamsha	Badamsha
baikonur	Baikonur
bakanas	Bakanas
balkashino	Balkashino
balpyk bi	Balpyk Bi
balqash	Balqash
balykshi	Balykshi
bautino	Bautino
bauyrzhan momyshuly	Bauyrzhan Momyshuly
bayanaul	Bayanaul
baychunas	Baychunas
bayganin	Bayganin
bayzhansay	Bayzhansay
belkol	Belköl
belogorskiy	Belogorskiy
belousovka	Belousovka
besqaraghay	Besqaraghay
bestobe	Bestobe
beyneu	Beyneu
birlestik	Birlestik
bishkul	Bishkul
boko	Boko
borodulikha	Borodulikha
borovskoy	Borovskoy
botaqara	Botaqara
bulayevo	Bulayevo
burabay	Būrabay
burlin	Burlin
burunday	Burunday
chapayev	Chapayev
chernak	Chernak
chiganak	Chiganak
chundzha	Chundzha
denisovka	Denisovka
derzhavinsk	Derzhavinsk
dolinka	Dolinka
dossor	Dossor
druzhba	Druzhba
dzerzhinskoye	Dzerzhinskoye
dzhambul	Dzhambul
egindikol	Egindiköl
ekibastuz	Ekibastuz
embi	Embi
esik	Esik
esil	Esil
fort-shevchenko	Fort-Shevchenko
fyodorov	Fyodorov
glubokoye	Glubokoye
granitogorsk	Granitogorsk
inderbor	Inderbor
irtyshsk	Irtyshsk
jibek joly	Jıbek joly
kalbatau	Kalbatau
kalkaman	Kalkaman
kandyagash	Kandyagash
kantagi	Kantagi
karaaul	Karaaul
karabas	Karabas
karabulak	Karabulak
karagandy	Karagandy
karasu	Karasu
karatau	Karatau
karatobe	Karatobe
karaton	Karaton
kazakhstan	Kazakhstan
kazalinsk	Kazalinsk
kaztalovka	Kaztalovka
kazygurt	Kazygurt
kegen	Kegen
kengir	Kengir
kentau	Kentau
khantau	Khantau
khorgos	Khorgos
khromtau	Khromtau
kishkenekol’	Kishkenekol’
kokpekty	Kokpekty
kokshetau	Kokshetau
koktal	Koktal
kokterek	Kokterek
koktobe	Koktobe
konayev	Konayev
korday	Korday
koshi	Koshi
kostanay	Kostanay
krasnogorskiy	Krasnogorskiy
krugloozernoye	Krugloozërnoye
kulan	Kulan
kurchatov	Kurchatov
kurchum	Kurchum
kuryk	Kuryk
kushoky	Kushoky
kyzylorda	Kyzylorda
kyzylzhar	Kyzylzhar
lenger	Lenger
leningradskoye	Leningradskoye
leninskiy	Leninskiy
lisakovsk	Lisakovsk
lugansk	Lugansk
lugovoy	Lugovoy
makhambet	Makhambet
makinsk	Makinsk
maleyevsk	Maleyevsk
maloye ganyushkino	Maloye Ganyushkino
mamlyutka	Mamlyutka
mangistau	Mangistau
maqanshy	Maqanshy
maqat	Maqat
marqakol	Marqaköl
martuk	Martuk
matay	Matay
