aaitanit	Aaïtanît
aajaltoun	Aajaltoûn
aalma ech chaab	Aalma ech Chaab
aanjar	Aanjar
aarsal	Aarsâl
ain ebel	Ain Ebel
ainata	Aïnâta
aley	Aley
amioun	Amioûn
baabda	Baabda
baalbek	Baalbek
batroun	Batroûn
beirut	Beirut
beit ed dine	Beït ed Dîne
bent jbail	Bent Jbaïl
bhamdoun	Bhamdoun
bhamdoun el mhatta	Bhamdoûn el Mhatta
boudai	Boudaï
britel	Brîtel
bsharri	Bsharri
byblos	Byblos
chaat	Chaat
chmistar	Chmistâr
deir el ahmar	Deïr el Ahmar
el hermel	El Hermel
en naqoura	En Nâqoûra
ghazieh	Ghazieh
habbouch	Habboûch
halba	Halba
hasbaya	Hasbaya
hrajel	Hrajel
jdaidet el matn	Jdaidet el Matn
jezzine	Jezzine
joubb jannine	Joubb Jannîne
jounieh	Jounieh
kfar kila	Kfar Kila
marjayoun	Marjayoun
nabatiye et tahta	Nabatîyé et Tahta
qana	Qâna
rachaiya el ouadi	Râchaïya el Ouadi
ra’s bayrut	Ra’s Bayrūt
sarafand	Sarafand
sidon	Sidon
sir ed danniye	Sîr ed Danniyé
srifa	Srîfa
tebnine	Tebnine
tripoli	Tripoli
tyre	Tyre
zahle	Zahlé
zgharta	Zghartā
