butha-buthe	Butha-Buthe
hlotse	Hlotse
katse	Katse
ketane	Ketane
kolo	Kolo
kolonyama	Kolonyama
lejone	Lejone
mabote	Mabote
mafeteng	Mafeteng
makhakhe	Makhakhe
mamathes	Mamathes
mantsebo	Mantsebo
mantsonyane	Mantsonyane
mapholaneng	Mapholaneng
mapoteng	Mapoteng
maputsoe	Maputsoe
marakabeis	Marakabeis
maseru	Maseru
matsieng	Matsieng
mazenod	Mazenod
mohale	Mohale
mohale's hoek	Mohale's Hoek
mokhotlong	Mokhotlong
morija	Morija
morunyaneng	Morunyaneng
mount moorosi	Mount Moorosi
mphaki	Mphaki
mpharane	Mpharane
nako	Nako
peka	Peka
phamong	Phamong
pitseng	Pitseng
qacha’s nek	Qacha’s Nek
quthing	Quthing
ramabanta	Ramabanta
roma	Roma
rothe	Rothe
sefikeng	Sefikeng
sehlabathebe	Sehlabathebe
sehonghong	Sehonghong
sekake	Sekake
semonkong	Semonkong
seshote	Seshote
teyateyaneng	Teyateyaneng
thaba-tseka	Thaba-Tseka
thabana morena	Thabana Morena
tsa kholo	Tsa Kholo
