akademija (kaunas)	Akademija (Kaunas)
akmene	Akmenė
aleksotas	Aleksotas
alytus	Alytus
antakalnis	Antakalnis
anyksciai	Anykščiai
ariogala	Ariogala
baisogala	Baisogala
baltoji voke	Baltoji Vokė
birstonas	Birštonas
birzai	Birzai
bugai	Būgai
dainava (kaunas)	Dainava (Kaunas)
daugai	Daugai
domeikava	Domeikava
druskininkai	Druskininkai
eiguliai	Eiguliai
eisiskes	Eišiškės
elektrenai	Elektrėnai
ezerelis	Ežerėlis
fabijoniskes	Fabijoniškės
gargzdai	Gargždai
garliava	Garliava
gelgaudiskis	Gelgaudiškis
grigiskes	Grigiškės
ignalina	Ignalina
jieznas	Jieznas
jonava	Jonava
joniskis	Joniškis
juodupe	Juodupė
jurbarkas	Jurbarkas
justiniskes	Justiniškės
kaisiadorys	Kaišiadorys
kalvarija	Kalvarija
karmelava	Karmėlava
karoliniskes	Karoliniškės
kaunas	Kaunas
kazlu ruda	Kazlų Rūda
kedainiai	Kėdainiai
kelme	Kelmė
klaipeda	Klaipėda
kretinga	Kretinga
kudirkos naumiestis	Kudirkos Naumiestis
kulautuva	Kulautuva
kupiskis	Kupiskis
kursenai	Kuršėnai
kybartai	Kybartai
lazdijai	Lazdijai
lazdynai	Lazdynai
leipalingis	Leipalingis
lentvaris	Lentvaris
linkuva	Linkuva
marijampole	Marijampolė
mastaiciai	Mastaiciai
matuizos	Matuizos
mazeikiai	Mazeikiai
moletai	Molėtai
naujamiestis	Naujamiestis
naujininkai	Naujininkai
naujoji akmene	Naujoji Akmene
naujoji vilnia	Naujoji Vilnia
nemencine	Nemenčinė
nemezis	Nemėžis
neringa	Neringa
nida	Nida
obeliai	Obeliai
pabrade	Pabradė
pagegiai	Pagėgiai
pakruojis	Pakruojis
palanga	Palanga
panevezys	Panevėžys
papile	Papilė
pasilaiciai	Pašilaičiai
pasvalys	Pasvalys
pervalka	Pervalka
pilaite	Pilaitė
plateliai	Plateliai
plunge	Plunge
priekule	Priekulė
prienai	Prienai
radviliskis	Radviliskis
ramuciai	Ramučiai
ramygala	Ramygala
raseiniai	Raseiniai
rasos	Rasos
raudondvaris	Raudondvaris
rietavas	Rietavas
rokiskis	Rokiškis
rudamina	Rudamina
rudiskes	Rūdiškės
rusne	Rusnė
sakiai	Šakiai
salantai	Salantai
salcininkai	Šalčininkai
sargenai	Sargėnai
seda	Seda
seduva	Šeduva
senieji trakai	Senieji Trakai
senoji varena	Senoji Varėna
seskine	Šeškinė
siauliai	Šiauliai
silainiai	Šilainiai
silale	Šilalė
silute	Silute
simnas	Simnas
sirvintos	Širvintos
skaidiskes	Skaidiškės
skuodas	Skuodas
svencioneliai	Švenčionėliai
svencionys	Švenčionys
sventoji	Šventoji
taurage	Taurage
telsiai	Telsiai
trakai	Trakai
tytuvenai	Tytuvėnai
tytuveneliai	Tytuvėnėliai
ukmerge	Ukmerge
utena	Utena
varena	Varėna
veisiejai	Veisiejai
venta	Venta
vieciunai	Viečiūnai
vieksniai	Viekšniai
vievis	Vievis
vilkaviskis	Vilkaviskis
vilkija	Vilkija
vilkpede	Vilkpėdė
vilnius	Vilnius
visaginas	Visaginas
zagare	Žagarė
zarasai	Zarasai
zemaiciu naumiestis	Žemaičių Naumiestis
ziezmariai	Žiežmariai
