alzingen	Alzingen
aspelt	Aspelt
bascharage	Bascharage
bavigne	Bavigne
beaufort	Beaufort
bech	Bech
beckerich	Beckerich
beggen	Beggen
belair	Belair
belvaux	Belvaux
berdorf	Berdorf
bereldange	Béreldange
bergem	Bergem
beringen	Beringen
bertrange	Bertrange
bettange-sur-mess	Bettange-sur-Mess
bettborn	Bettborn
bettembourg	Bettembourg
bettendorf	Bettendorf
betzdorf	Betzdorf
bissen	Bissen
bivange	Bivange
biwer	Biwer
boevange-sur-attert	Boevange-sur-Attert
bofferdange	Bofferdange
bonnevoie-nord-verlorenkost	Bonnevoie-Nord-Verlorenkost
bonnevoie-sud	Bonnevoie-Sud
boulaide	Boulaide
bourscheid	Bourscheid
bous	Bous
bridel	Bridel
brouch	Brouch
canach	Canach
capellen	Capellen
cents	Cents
cessange	Cessange
clausen	Clausen
clemency	Clemency
clervaux	Clervaux
colmar	Colmar
consdorf	Consdorf
contern	Contern
crauthem	Crauthem
dalheim	Dalheim
diekirch	Diekirch
differdange	Differdange
dippach	Dippach
dommeldange	Dommeldange
dudelange	Dudelange
echternach	Echternach
eich	Eich
eischen	Eischen
ell	Ell
erpeldange	Erpeldange
esch-sur-alzette	Esch-sur-Alzette
esch-sur-sure	Esch-sur-Sûre
ettelbruck	Ettelbruck
fentange	Fentange
fischbach	Fischbach
flaxweiler	Flaxweiler
frisange	Frisange
gare	Gare
garnich	Garnich
gasperich	Gasperich
gilsdorf	Gilsdorf
goesdorf	Goesdorf
gonderange	Gonderange
grevenmacher	Grevenmacher
grosbous	Grosbous
hagen	Hagen
hamm	Hamm
hautcharage	Hautcharage
heffingen	Heffingen
heisdorf	Heisdorf
helmsange	Helmsange
hesperange	Hesperange
hobscheid	Hobscheid
hollerich	Hollerich
hosingen	Hosingen
howald	Howald
itzig	Itzig
junglinster	Junglinster
kayl	Kayl
kehlen	Kehlen
kirchberg	Kirchberg
kleinbettingen	Kleinbettingen
koerich	Koerich
kopstal	Kopstal
lamadelaine	Lamadelaine
larochette	Larochette
lenningen	Lenningen
leudelange	Leudelange
limpertsberg	Limpertsberg
lintgen	Lintgen
lorentzweiler	Lorentzweiler
luxembourg	Luxembourg
mamer	Mamer
manternach	Manternach
medernach	Medernach
merl	Merl
mersch	Mersch
mertert	Mertert
mertzig	Mertzig
mompach	Mompach
mondercange	Mondercange
mondorf-les-bains	Mondorf-les-Bains
moutfort	Moutfort
muhlenbach	Muhlenbach
mullendorf	Müllendorf
neudorf-weimershof	Neudorf-Weimershof
niederanven	Niederanven
niedercorn	Niedercorn
niederfeulen	Niederfeulen
noertzange	Noertzange
nommern	Nommern
nospelt	Nospelt
obercorn	Obercorn
olm	Olm
petange	Pétange
pfaffenthal	Pfaffenthal
pontpierre	Pontpierre
putscheid	Putscheid
rambrouch	Rambrouch
reckange	Reckange
reckange-sur-mess	Reckange-sur-Mess
redange-sur-attert	Redange-sur-Attert
reisdorf	Reisdorf
remich	Remich
rodange	Rodange
roeser	Roeser
rollingen	Rollingen
rollingergrund-belair-nord	Rollingergrund-Belair-Nord
roodt-sur-syre	Roodt-sur-Syre
rosport	Rosport
rumelange	Rumelange
saeul	Saeul
sandweiler	Sandweiler
sanem	Sanem
schengen	Schengen
schieren	Schieren
schifflange	Schifflange
schouweiler	Schouweiler
schuttrange	Schuttrange
senningerberg	Senningerberg
septfontaines	Septfontaines
soleuvre	Soleuvre
stadtbredimus	Stadtbredimus
steinfort	Steinfort
steinsel	Steinsel
strassen	Strassen
tandel	Tandel
tetange	Tétange
troisvierges	Troisvierges
tuntange	Tuntange
useldange	Useldange
vianden	Vianden
vichten	Vichten
ville haute	Ville Haute
wahl	Wahl
waldbillig	Waldbillig
waldbredimus	Waldbredimus
walferdange	Walferdange
warken	Warken
wasserbillig	Wasserbillig
weiler-la-tour	Weiler-la-Tour
weimerskirch	Weimerskirch
weiswampach	Weiswampach
wiltz	Wiltz
wilwerwiltz	Wilwerwiltz
wincrange	Wincrange
winseler	Winseler
wormeldange	Wormeldange
