alarobia	Alarobia
ambalasoa	Ambalasoa
ambalavao	Ambalavao
ambanja	Ambanja
ambarakaraka	Ambarakaraka
ambato boeny	Ambato Boeny
ambatofinandrahana	Ambatofinandrahana
ambatolampy	Ambatolampy
ambatolaona	Ambatolaona
ambatondrazaka	Ambatondrazaka
ambilobe	Ambilobe
amboanjo	Amboanjo
amboasary	Amboasary
ambodifotatra	Ambodifotatra
ambodimanga ii	Ambodimanga II
ambodivoara	Ambodivoara
ambohidratrimo	Ambohidratrimo
ambohimahasoa	Ambohimahasoa
ambohitrandriamanitra	Ambohitrandriamanitra
ambohitrolomahitsy	Ambohitrolomahitsy
ambohitseheno	Ambohitseheno
ambositra	Ambositra
ambovombe	Ambovombe
ampahana	Ampahana
ampanihy	Ampanihy
amparafaravola	Amparafaravola
ampasimanolotra	Ampasimanolotra
anakao	Anakao
analalava	Analalava
anandravy	Anandravy
andapa	Andapa
andilamena	Andilamena
andovoranto	Andovoranto
andramasina	Andramasina
anjepy	Anjepy
anjozorobe	Anjozorobe
ankazoabo	Ankazoabo
ankazobe	Ankazobe
ankazondandy	Ankazondandy
antakotako	Antakotako
antalaha	Antalaha
antananarivo	Antananarivo
antanandava	Antanandava
antanifotsy	Antanifotsy
antanimena	Antanimena
antsalova	Antsalova
antsampanimahazo	Antsampanimahazo
antsirabe	Antsirabe
antsirabe afovoany	Antsirabe Afovoany
antsiranana	Antsiranana
antsohihy	Antsohihy
antsohimbondrona	Antsohimbondrona
arivonimamo	Arivonimamo
bealanana	Bealanana
befandriana	Befandriana
behompy	Behompy
bekily	Bekily
belo sur tsiribihina	Belo sur Tsiribihina
beloha	Beloha
bemaitso	Bemaitso
beroroha	Beroroha
besalampy	Besalampy
betafo	Betafo
beteza	Beteza
betioky	Betioky
betroka	Betroka
boriziny	Boriziny
didy	Didy
fandrandava	Fandrandava
fandriana	Fandriana
farafangana	Farafangana
faratsiho	Faratsiho
fenoarivo atsinanana	Fenoarivo Atsinanana
fenoarivo be	Fenoarivo Be
fianarantsoa	Fianarantsoa
hell-ville	Hell-Ville
ifanadiana	Ifanadiana
ifatsy	Ifatsy
iharana	Iharan̈a
ihosy	Ihosy
ikalamavony	Ikalamavony
ikongo	Ikongo
imerimandroso	Imerimandroso
imerintsiatosika	Imerintsiatosika
itampolo	Itampolo
ivato	Ivato
ivohibe	Ivohibe
jafaro	Jafaro
kopoky	Kopoky
maevatanana	Maevatanana
mahabe	Mahabe
mahajanga	Mahajanga
mahalina	Mahalina
mahanoro	Mahanoro
mahavelona	Mahavelona
maintirano	Maintirano
mampikony	Mampikony
manakara	Manakara
mananara	Mananara
mananjary	Mananjary
manato	Manato
mandritsara	Mandritsara
manja	Manja
manjakandriana	Manjakandriana
mantasoa	Mantasoa
maroantsetra	Maroantsetra
marolambo	Marolambo
maromandia	Maromandia
marovantaza	Marovantaza
marovatolena	Marovatolena
marovoay	Marovoay
merikanjaka	Merikanjaka
miadanandriana	Miadanandriana
miandrarivo	Miandrarivo
miandrivazo	Miandrivazo
miarinarivo	Miarinarivo
moramanga	Moramanga
morombe	Morombe
morondava	Morondava
nandihizana	Nandihizana
nosy varika	Nosy Varika
ranohira	Ranohira
sadabe	Sadabe
sadjoavato	Sadjoavato
sahatavy	Sahatavy
sahavato	Sahavato
sakaraha	Sakaraha
sambaina	Sambaina
sambava	Sambava
savana	Savana
sitampiky	Sitampiky
soalala	Soalala
soanierana ivongo	Soanierana Ivongo
soanindrariny	Soanindrariny
soavinandriana	Soavinandriana
toamasina	Toamasina
tolanaro	Tôlanaro
toliara	Toliara
tranovaho	Tranovaho
tsaratanana	Tsaratanana
tsiombe	Tsiombe
tsiroanomandidy	Tsiroanomandidy
vangaindrano	Vangaindrano
vatomandry	Vatomandry
vavatenina	Vavatenina
vohibinany	Vohibinany
vohimanitra	Vohimanitra
vohipaho	Vohipaho
vohipeno	Vohipeno
vondrozo	Vondrozo
