abdel begrou	Abdel Begrou
abeibara	Abeïbara
aguelhok	Aguelhok
anderanboukan	Andéranboukan
ansongo	Ansongo
araouane	Araouane
bafoulabe	Bafoulabé
bamako	Bamako
bamba	Bamba
banamba	Banamba
bandiagara	Bandiagara
bankass	Bankass
baroueli	Barouéli
bla	Bla
bougouni	Bougouni
bourem	Bourem
dialakorodji	Dialakorodji
diema	Diéma
dioila	Dioïla
diourou	Diourou
dire	Diré
djenne	Djenné
douentza	Douentza
dougabougou	Dougabougou
doumba	Doumba
faladie	Faladié
fana	Fana
figuira-toma	Figuira-Toma
finnkolo	Finnkolo
gao	Gao
goundam	Goundam
gourma rharous	Gourma Rharous
i-n-tillit	I-n-Tillit
inekar	Inékar
kabala	Kabala
kadiolo	Kadiolo
kalaban koro	Kalaban Koro
kangaba	Kangaba
kati	Kati
kayes	Kayes
ke-macina	Ké-Macina
kenenkoun	Kènènkoun
kidal	Kidal
kinmparana	Kinmparana
kita	Kita
kokofata	Kokofata
kolokani	Kolokani
kolondieba	Kolondiéba
koro	Koro
koula	Koula
koulikoro	Koulikoro
kouri	Kouri
koutiala	Koutiala
leleni	Leleni
mahina	Mahina
markala	Markala
massiogo	Massiogo
menaka	Ménaka
molodo	Molodo
moninnpebougou	Moninnpébougou
mopti	Mopti
moribabougou	Moribabougou
n'debougou	N'Débougou
nara	Nara
niafunke	Niafunké
niono	Niono
nioro	Nioro
ntossoni	Ntossoni
pelengana	Pèlèngana
sagala	Sagala
sagalo	Sagalo
san	San
sangarebougou	Sangarébougou
segou	Ségou
sibi	Sibi
sikasso	Sikasso
sirakoro meguetana	Sirakoro Méguétana
siribala coro	Siribala Coro
sokolo	Sokolo
taoudenni	Taoudenni
tenenkou	Ténenkou
tessalit	Tessalit
tessit	Tessit
ti-n-essako	Ti-n-Essako
timbuktu	Timbuktu
tominian	Tominian
toubakoura	Toubakoura
werekela	Werekela
yanfolila	Yanfolila
yelimane	Yélimané
yorosso	Yorosso
youwarou	Youwarou
zambla	Zambla
zegoua	Zégoua
