a dun	A Dun
ah hpyauk	Ah Hpyauk
ah ka la	Ah Ka La
ah lan ga po	Ah Lan Ga Po
ah lat chaung	Ah Lat Chaung
ah lel	Ah Lel
ah pyin pa dan	Ah Pyin Pa Dan
ah se	Ah Se
ah shey ah yoe taung	Ah Shey Ah Yoe Taung
ah twin pa dan	Ah Twin Pa Dan
ah twin yae kyaw	Ah Twin Yae Kyaw
ah waing west	Ah Waing West
ahlone	Ahlone
ale gyaung	Ale Gyaung
amarapura	Amarapura
ananbin	Ananbin
ann	Ann
auk kyaung	Auk Kyaung
aung myay	Aung Myay
aung san	Aung San
aungban	Aungban
aye ka rit	Aye Ka Rit
bago	Bago
bago lan	Bago Lan
bar lar upper	Bar Lar Upper
baw ga lut	Baw Ga Lut
baw lel	Baw Lel
baw lone kwin	Baw Lone Kwin
bawhan	Bawhan
bhamo	Bhamo
boe ba	Boe Ba
boe hpyu chaung	Boe Hpyu Chaung
boe yin ka lay	Boe Yin Ka Lay
boet din	Boet Din
bogale	Bogale
bokpyin	Bokpyin
botataung	Botataung
buthidaung town	Buthidaung Town
byauk yoe	Byauk Yoe
cangva	Cangva
chauk	Chauk
chaung nyi ah ko	Chaung Nyi Ah Ko
chaung wa	Chaung Wa
chit tee kone	Chit Tee Kone
da la ban	Da La Ban
da noke san pya	Da Noke San Pya
da nyin kone	Da Nyin Kone
da yei lu	Da Yei Lu
daik-u	Daik-u
danai	Danai
dar pein north	Dar Pein North
dar pein south	Dar Pein South
daunt gyi	Daunt Gyi
dawbon	Dawbon
dawei	Dawei
day da naw	Day Da Naw
dellok	Dellok
dimawso	Dimawso
don wun	Don Wun
du-san pya	Du-San Pya
falam	Falam
ga yet la mi	Ga Yet La Mi
gwa	Gwa
gway tauk aing	Gway Tauk Aing
gyaung waing gyi	Gyaung Waing Gyi
haing ku	Haing Ku
hakha	Hakha
heho	Heho
hinthada	Hinthada
hlaingthaya	Hlaingthaya
hlaw kar	Hlaw Kar
hle seik	Hle Seik
hledan	Hledan
hlegu	Hlegu
hman pin	Hman Pin
hmaw bi	Hmaw Bi
hmaw daw	Hmaw Daw
hmawbi	Hmawbi
hnget aw san	Hnget Aw San
hnget gyi daung	Hnget Gyi Daung
hnget pyaw san	Hnget Pyaw San
hnget yawng	Hnget Yawng
homalin	Homalin
hopin	Hopin
hpa yar gyi	Hpa Yar Gyi
hpa yar gyi su	Hpa Yar Gyi Su
hpa-an	Hpa-An
hpakan	Hpākān
hpaung gyi east	Hpaung Gyi East
hpaung gyi west	Hpaung Gyi West
hpe kha me	Hpe Kha Me
hsenwi	Hsenwi
hsu ka lat	Hsu Ka Lat
hsupwo	Hsupwo
hta min ma sar	Hta Min Ma Sar
htan ta pin	Htan Ta Pin
htantabin	Htantabin
htauk kyant toe cheit	Htauk Kyant Toe Cheit
htaw lower	Htaw Lower
htaw tho	Htaw Tho
htein hnit pin	Htein Hnit Pin
hti pha	Hti Pha
htu gyi	Htu Gyi
in ga lone	In Ga Lone
in gyin thay taw	In Gyin Thay Taw
inbawhkon	Inbawhkon
indaw	Indaw
ingabu	Ingabu
ingaung	Ingaung
ingyi	Ingyi
inn taing	Inn Taing
insein	Insein
ka don	Ka Don
ka li htaw	Ka Li Htaw
ka li htaw east	Ka Li Htaw East
ka li htaw west	Ka Li Htaw West
ka lok	Ka Lok
ka mar ka loke	Ka Mar Ka Loke
ka nyin kone	Ka Nyin Kone
ka pin gyi	Ka Pin Gyi
kalagyisu	Kalagyisu
kalaw	Kalaw
kalein	Kalein
kalemyo	Kalemyo
kalewa	Kalewa
kan	Kan
kan beit	Kan Beit
kan nar middle	Kan Nar Middle
kan nar west	Kan Nar West
kan pyaung	Kan Pyaung
kan yin ngu	Kan Yin Ngu
kanaungto	Kanaungto
kanbalu	Kanbalu
kanbe	Kanbe
kant ma lar	Kant Ma Lar
kasin	Kasin
katha	Katha
kauktaung-ashe	Kauktaung-ashe
kaunghein	Kaunghein
kawkareik	Kawkareik
kawt dun	Kawt Dun
kawthoung	Kawthoung
kayan	Kayan
kayin chaung	Kayin Chaung
keng tung	Kēng Tung
kha lauk chaik	Kha Lauk Chaik
kha laung ywa ma	Kha Laung Ywa Ma
kha naung ywar ma	Kha Naung Ywar Ma
kha yaik kha ni	Kha Yaik Kha Ni
kha yan gyi	Kha Yan Gyi
kha yan wa	Kha Yan Wa
khat hti ya ywar thit	Khat Hti Ya Ywar Thit
kin taw	Kin Taw
klonhtoug	Klonhtoug
koe taung	Koe Taung
kon wet chaung	Kon Wet Chaung
kone ta la paung	Kone Ta La Paung
kungyangon	Kungyangon
kutkai	Kutkai
kwa hnee	Kwa Hnee
kwet thit	Kwet Thit
kya khat kone gyi	Kya Khat Kone Gyi
kyaik htaw north	Kyaik Htaw North
kyaik htaw south	Kyaik Htaw South
kyaik tha le	Kyaik Tha Le
kyaikkami	Kyaikkami
kyaiklat	Kyaiklat
kyaikto	Kyaikto
kyain seikgyi	Kyain Seikgyi
kyan khin su	Kyan Khin Su
kyan pin	Kyan Pin
kyar inn west	Kyar Inn West
kyar kan	Kyar Kan
kyauk ku din	Kyauk Ku Din
kyaukme	Kyaukme
kyaukpadaung	Kyaukpadaung
kyaukpyu	Kyaukpyu
kyaukse	Kyaukse
kyauktaga	Kyauktaga
kyauktan	Kyauktan
kyauktaw	Kyauktaw
kyaung kone	Kyaung Kone
kyaung su	Kyaung Su
kyaw	Kyaw
kye	Kye
kyeintali	Kyeintali
kyi	Kyi
kyi tan	Kyi Tan
kyimyindine	Kyimyindine
kyo kone east	Kyo Kone East
kyo kone west	Kyo Kone West
kyon da yei	Kyon Da Yei
kyon kan	Kyon Kan
kyon la ta	Kyon La Ta
kyonpyaw	Kyonpyaw
kyu taw chaung	Kyu Taw Chaung
kyun bet	Kyun Bet
kyun ka lay	Kyun Ka Lay
kyun kone	Kyun Kone
kywe da yut	Kywe Da Yut
kywe lu aing	Kywe Lu Aing
la mu tan gyi	La Mu Tan Gyi
labutta	Labutta
lakang	Lakang
lar wa di	Lar Wa Di
lashio	Lashio
laukkai	Laukkai
lawksawk	Lawksawk
let khaik	Let Khaik
let pan gwa	Let Pan Gwa
letpandan	Letpandan
lewe	Lewe
linhpa	Linhpa
loikaw	Loikaw
longwa	Longwa
ma au	Ma Au
ma gyi kan	Ma Gyi Kan
ma lit west	Ma Lit West
ma ngay su	Ma Ngay Su
ma se zeik	Ma Se Zeik
ma wun	Ma Wun
ma yan	Ma Yan
ma yan chaung	Ma Yan Chaung
madaya	Madaya
magway	Magway
mahlwagon	Mahlwagon
man ga leik	Man Ga leik
man wein	Man Wein
manaung	Manaung
mandalay	Mandalay
martaban	Martaban
maubin	Maubin
mawlaik	Mawlaik
mawlamyine	Mawlamyine
mawlamyinegyunn	Mawlamyinegyunn
me pa li	Me Pa Li
me taw	Me Taw
mee pya	Mee Pya
meiktila	Meiktila
mikenaungea	Mikenaungea
min ga lar don zay	Min Ga Lar Don Zay
min ga lun	Min Ga Lun
min ga lun kya khat kone lay	Min Ga Lun Kya Khat Kone Lay
min kone	Min Kone
