aldar	Aldar
altai	Altai
altan	Altan
altan-ovoo	Altan-Ovoo
altanbulag	Altanbulag
altanteel	Altanteel
altay	Altay
altraga	Altraga
amardalay	Amardalay
ar-asgat	Ar-Asgat
argalant	Argalant
argatay	Argatay
arguut	Arguut
arhust	Arhust
arvayheer	Arvayheer
asgat	Asgat
avdzaga	Avdzaga
avraga	Avraga
badrah	Badrah
balgatay	Balgatay
baruun-urt	Baruun-Urt
baruunsuu	Baruunsuu
baruunturuun	Baruunturuun
bat-oldziyt	Bat-Öldziyt
bayan	Bayan
bayan uula sumu	Bayan Uula Sumu
bayan-ovoo	Bayan-Ovoo
bayan-uhaa	Bayan-Uhaa
bayan-ulaan	Bayan-Ulaan
bayanbaraat	Bayanbaraat
bayanbulag	Bayanbulag
bayandelger	Bayandelger
bayangol	Bayangol
bayanhongor	Bayanhongor
bayanhoshuu	Bayanhoshuu
bayansayr	Bayansayr
bayantal	Bayantal
bayantohom	Bayantöhöm
bayantsagaan	Bayantsagaan
bayasgalant	Bayasgalant
bayshint	Bayshint
berh	Berh
biluu	Bilüü
bodi	Bodĭ
bogd	Bogd
bohot	Böhöt
bor-ondor	Bor-Öndör
bor-udzuur	Bor-Üdzüür
bornuur	Bornuur
buga	Buga
bugant	Bugant
bugat	Bugat
bulag	Bulag
bulagiyn denj	Bulagiyn Denj
bulagtay	Bulagtay
bulgan	Bulgan
bumbat	Bumbat
burenhayrhan	Bürenhayrhan
burgaltay	Burgaltay
buyanbat	Buyanbat
buyant	Buyant
chandmani	Chandmanĭ
chihertey	Chihertey
choibalsan	Choibalsan
chonogol	Chonogol
choyr	Choyr
dalandzadgad	Dalandzadgad
dalay	Dalay
darhan	Darhan
darvi	Darvi
dashbalbar	Dashbalbar
dashinchilling	Dashinchilling
delgerhaan	Delgerhaan
delgermoron	Delgermörön
doloon	Doloon
dund-urt	Dund-Urt
dundburd	Dundbürd
duut	Duut
dzaanhoshuu	Dzaanhoshuu
dzadgay	Dzadgay
dzag	Dzag
dzalaa	Dzalaa
dzegstey	Dzegstey
dzel	Dzel
dzelter	Dzelter
dzogsool	Dzogsool
dzoolon	Dzöölön
dzur	Dzür
dzuunbulag	Dzüünbulag
dzuunharaa	Dzüünharaa
dzuunhovoo	Dzüünhövöö
dzuunkharaa	Dzüünkharaa
dzuunmod	Dzuunmod
dzuyl	Dzüyl
eg	Eg
eg-uur	Eg-Uur
enhtal	Enhtal
erdenet	Erdenet
erdenetsogt	Erdenetsogt
ereencav	Ereencav
ergel	Ergel
erhet	Erhet
hajuu-us	Hajuu-Us
halban	Halban
halhgol	Halhgol
haliun	Haliun
hanhohiy	Hanhöhiy
har-us	Har-Us
haraat	Haraat
harhiraa	Harhiraa
harmod	Harmod
hashaat	Hashaat
hatansuudal	Hatansuudal
hatavch	Hatavch
havirga	Havirga
havtsal	Havtsal
haylaastay	Haylaastay
herlen	Herlen
hodrogo	Hödrögö
hohburd	Höhbürd
hohtolgoy	Höhtolgoy
holboo	Holboo
hongor	Hongor
hoolt	Hoolt
horgo	Horgo
horiult	Horiult
hoshigiyn-ar	Höshigiyn-Ar
hoshoot	Höshööt
hotont	Hotont
hovd	Hovd
hoviyn am	Höviyn Am
hovsgol	Hövsgöl
hujirt	Hujirt
hulstay	Hulstay
hungiy	Hungiy
hunt	Hunt
huremt	Hüremt
hushaat	Hushaat
hutag	Hutag
huurch	Huurch
ider	Ider
ihbulag	Ihbulag
ihsuuj	Ihsüüj
ingettolgoy	Ingettolgoy
jargalant	Jargalant
javarthushuu	Javarthushuu
javhlant	Javhlant
kharkhorin	Kharkhorin
khovd	Khovd
khujirt	Khujirt
lun	Lün
maanit	Maanĭt
mandal	Mandal
mandalgovi	Mandalgovi
manhan	Manhan
mardzad	Mardzad
mayhan	Mayhan
modot	Modot
monhbulag	Mönhbulag
moron	Mörön
nalayh	Nalayh
namir	Namir
naranbulag	Naranbulag
nart	Nart
nogoonnuur	Nogoonnuur
nomgon	Nomgon
noyon suma	Noyon Suma
nuden	Nüden
nuga	Nuga
ogoomor	Ögöömör
oldziyt	Öldziyt
olgii	Ölgii
ondorhoshuu	Öndörhoshuu
ongi	Ongi
ongon	Ongon
onon	Onon
orgil	Orgil
orgon	Örgön
orhon	Orhon
orhontuul	Orhontuul
ovogdiy	Övögdiy
ovoot	Ovoot
ovt	Övt
oygon	Oygon
rashaant	Rashaant
sangiyn dalay	Sangiyn Dalay
sayn-ust	Sayn-Ust
saynshand	Saynshand
selenge	Selenge
senj	Senj
sergelen	Sergelen
sharbulag	Sharbulag
sharga	Sharga
sharhulsan	Sharhulsan
sharingol	Sharïngol
shiree	Shiree
shireet	Shireet
shiveegovi	Shiveegovĭ
sort	Sört
