akjoujt	Akjoujt
aleg	Aleg
amourj	Amourj
arafat	Arafat
atar	Atar
ayoun el atrous	Ayoun El Atrous
bababe	Bababé
bagodine	Bagodine
barkewol	Barkéwol
basseknou	Basseknou
bir mogran	Bir Mogran
bir mogrein	Bîr Mogreïn
bogue	Bogué
bouanze	Bouanzé
bougadoum	Bougadoum
bouhdida	Bouhdida
boulenouar	Boulenouar
bouly	Bouly
bousteila	Bousteila
boutilimitt	Boutilimitt
cangarafa	Çangarâfa
chinguetti	Chingueṭṭi
choum	Choum
dar el barka	Dar el Barka
dar naim	Dar Naim
diaguily	Diaguily
diogountourou	Diogountourou
djiguenni	Djiguenni
djowol	Djowol
el ghayra	El Ghayra
el ghediya	El Ghediya
el medda	El Medda
el ’ayoun	El ’Ayoûn
elghabra	Elghabra
fderick	Fderîck
fonde elimane	Fondé Elimane
ganki un	Ganki Un
guerou	Guerou
hamoud	Hamoud
hassi chegar	Hassi Chegar
kaedi	Kaédi
kankossa	Kankossa
keurmassene	KeurMassène
kiffa	Kiffa
kobenni	Kobenni
ksar	Ksar
lexeiba un	Lexeiba Un
maghama	Maghama
magta‘ lahjar	Magṭa‘ Laḥjar
mbagne	Mbagne
mbera	Mbera
mboutt	Mboutt
mederdra	Mederdra
monguel	Mônguel
moudjeria	Moudjeria
nbeika	Nbeika
ndiago	Ndiago
nema	Néma
nouadhibou	Nouadhibou
nouakchott	Nouakchott
nouamghar	Nouâmghâr
ouad naga	Ouâd Nâga
ouad naga	Ouad Naga
ouadane	Ouadane
oualata	Oualata
oujeft	Oujeft
ould yenje	Ould Yenjé
r'kiz	R'kiz
rosso	Rosso
sagne	Sagné
selibaby	Sélibaby
tachott brana	Tachott Brana
taguilalett	Taguilalett
tamchekett	Tamchekett
tekane	Tékane
tembedgha	Tembedgha
tevragh zeina	Tevragh Zeina
tichit	Tîchît
tidjikja	Tidjikja
tintane	Ṭinṭâne
vassala	Vassala
wali djantang	Wali Djantang
woumpou	Woumpou
zouerat	Zouérat
’elb el jmel	’Elb el Jmel
