attard	Attard
balzan	Balzan
birkirkara	Birkirkara
birzebbuga	Birżebbuġa
cospicua	Cospicua
dingli	Dingli
fgura	Fgura
floriana	Floriana
fontana	Fontana
ghajnsielem	Għajnsielem
gharb	Għarb
ghaxaq	Għaxaq
gudja	Gudja
gzira	Gżira
hal gharghur	Hal Gharghur
hamrun	Ħamrun
haz-zebbug	Haz-Zebbug
imdina	Imdina
imgarr	Imġarr
imsida	Imsida
imtarfa	Imtarfa
kalkara	Kalkara
kercem	Kerċem
kirkop	Kirkop
l-iklin	L-Iklin
lija	Lija
luqa	Luqa
marsa	Marsa
marsaskala	Marsaskala
marsaxlokk	Marsaxlokk
mellieha	Mellieħa
mgarr	Mġarr
mosta	Mosta
mqabba	Mqabba
munxar	Munxar
nadur	Nadur
naxxar	Naxxar
paola	Paola
pembroke	Pembroke
pieta	Pietà
qala	Qala
qormi	Qormi
qrendi	Qrendi
rabat	Rabat
safi	Safi
san giljan	San Ġiljan
san gwann	San Ġwann
san lawrenz	San Lawrenz
san pawl il-bahar	San Pawl il-Baħar
sannat	Sannat
santa lucija	Santa Luċija
santa venera	Santa Venera
senglea	Senglea
siggiewi	Siġġiewi
sliema	Sliema
swieqi	Swieqi
tarxien	Tarxien
ta’ xbiex	Ta’ Xbiex
valletta	Valletta
victoria	Victoria
vittoriosa	Vittoriosa
xaghra	Xagħra
xewkija	Xewkija
xghajra	Xgħajra
zabbar	Żabbar
zebbug	Żebbuġ
zejtun	Żejtun
zurrieq	Żurrieq
