balaka	Balaka
blantyre	Blantyre
chikwawa	Chikwawa
chipeni	Chipeni
chipoka	Chipoka
chiradzulu	Chiradzulu
chisumulu	Chisumulu
chitipa	Chitipa
dedza	Dedza
dowa	Dowa
karonga	Karonga
kasungu	Kasungu
likoma	Likoma
lilongwe	Lilongwe
livingstonia	Livingstonia
liwonde	Liwonde
luchenza	Luchenza
machinga	Machinga
makata	Makata
mangochi	Mangochi
mchinji	Mchinji
monkey bay	Monkey Bay
mponela	Mponela
mulanje	Mulanje
mwanza	Mwanza
mzimba	Mzimba
mzuzu	Mzuzu
neno	Neno
ngabu	Ngabu
nkhata bay	Nkhata Bay
nkhotakota	Nkhotakota
nsanje	Nsanje
ntcheu	Ntcheu
ntchisi	Ntchisi
phalombe	Phalombe
rumphi	Rumphi
salima	Salima
thyolo	Thyolo
zomba	Zomba
