achham	Achhām
amargadhi	Amargaḍhi̇̄
baglun	Bāgluṅ
banepa	Banepā
bardiya	Bardiyā
besisahar	Besisahar
bhadrapur	Bhadrapur
bhaktapur	Bhaktapur
bharatpur	Bharatpur
bhattarai danda	Bhattarai Danda
bhimdatta	Bhimdatta
bhojpur	Bhojpur
biratnagar	Biratnagar
birendranagar	Birendranagar
birganj	Birgañj
butwal	Butwāl
chainpur	Chainpur
chapali bhadrakali	Chapali̇̄ Bhaḍrakāli̇̄
charikot	Chari̇̄koṭ
chautara	Chautārā
chitre	Chitre
dailekh	Dailekh
darchula	Dārchulā
deukhuri	Deukhurī
dhangadhi	Dhangaḍhi̇̄
dhankuta	Dhankutā
dharan	Dharān
dhulikhel	Dhulikhel
dihi	Dihi
dipayal	Dipayal
gaur	Gaur
ghorahi	Ghorahi
gulariya	Gulariyā
hetauda	Hetauda
ilam	Ilām
inaruwa	Inaruwa
itahari	Īṭahari̇̄
jaleshwar	Jaleshwar
janakpur	Janakpur
jumla	Jumla
kalikot district	Kalikot District
kankrabari dovan	kankrabari Dovan
kathmandu	Kathmandu
khadbari	Khā̃dbāri̇̄
kirtipur	Ki̇̄rtipur
kodari	Kodāri̇̄
kusma	Kusma
lahan	Lahān
lamjung	Lamjung
lobuche	Lobuche
madhyapur thimi	Madhyapur Thimi
malangawa	Malaṅgawā
mustang	Mustāng
nagarkot	Nagarkot
namche bazaar	Namche Bazaar
nepalgunj	Nepalgunj
panauti	Panauti̇̄
panauti	Panauti
patan	Pātan
pokhara	Pokhara
pyuthan	Pyūthān
rajbiraj	Rājbirāj
ramechhap	Rāmechhāp
salyan	Salyān
siddharthanagar	Siddharthanagar
silgadhi	Silgaḍhi̇̄
siraha	Siraha
surkhet	Surkhet
tansen	Tānsen
tikapur	Ṭikāpur
triyuga	Triyuga
tulsipur	Tulsi̇̄pur
walin	Wāliṅ
