adam	Adam
al buraymi	Al Buraymī
al khaburah	Al Khābūrah
al mazim	Al Māzim
al mazyunah	Al Mazyūnah
al qabil	Al Qābil
as suwayq	As Suwayq
badiyah	Badīyah
bahla’	Bahlā’
barka’	Barkā’
bawshar	Bawshar
bayt al ‘awabi	Bayt al ‘Awābī
bidbid	Bidbid
dib dibba	Dib Dibba
hayma’	Haymā’
ibra’	Ibrā’
izki	Izkī
khasab	Khasab
lima’	Līmā’
liwa	Liwá
madha’	Madḩā’
madha’ al jadidah	Madḩā’ al Jadīdah
mina’ daba	Mīnā’ Dabā
muscat	Muscat
nizwa	Nizwá
qurayyat	Qurayyāt
rustaq	Rustaq
saham	Şaḩam
salalah	Şalālah
sama’il	Samā’il
seeb	Seeb
shinas	Shināş
sohar	Sohar
sufalat sama’il	Sufālat Samā’il
sur	Sur
thamarit	Thamarīt
yanqul	Yanqul
‘ibri	‘Ibrī
