achiote	Achiote
achutupo	Achutupo
agua buena	Agua Buena
agua de salud	Agua de Salud
agua fria numero uno	Agua Fría Número Uno
aguadulce	Aguadulce
aguas blancas	Aguas Blancas
ailigandi	Ailigandí
alanje	Alanje
alcalde diaz	Alcalde Díaz
almirante	Almirante
alto boquete	Alto Boquete
alto caballero	Alto Caballero
alto de jesus	Alto de Jesús
alto de la estancia	Alto de La Estancia
alto del espino	Alto del Espino
altos de guera	Altos de Güera
altos de san francisco	Altos de San Francisco
ancon	Ancón
anton	Antón
arco iris	Arco Iris
arenas	Arenas
arosemena	Arosemena
arraijan	Arraiján
aserrio de gariche	Aserrío de Gariché
atalaya	Atalaya
ave maria	Ave María
bagala	Bágala
bahia azul	Bahía Azul
bahia honda	Bahía Honda
bajo boquete	Bajo Boquete
bajo corral	Bajo Corral
bajo solis	Bajo Solís
bajos de guera	Bajos de Güera
barnizal	Barnizal
barranco	Barranco
barranco adentro	Barranco Adentro
barranco colorado	Barranco Colorado
barriales	Barriales
barrio guadalupe	Barrio Guadalupe
bastimentos	Bastimentos
bayamon	Bayamón
bayano	Bayano
bejuco	Bejuco
bella vista	Bella Vista
betania	Betania
bijagual	Bijagual
bisira	Bisira
bisvalles	Bisvalles
boca chica	Boca Chica
boca de balsa	Boca de Balsa
boca de cupe	Boca de Cupe
boca de parita	Boca de Parita
boca de rio chiriqui	Boca de Río Chiriquí
boca de rio indio	Boca de Río Indio
boca del monte	Boca del Monte
bocas del toro	Bocas del Toro
boqueron	Boquerón
boquete	Boquete
boro	Boró
brenon	Breñón
brujas	Brujas
buena vista	Buena Vista
buenos aires	Buenos Aires
bugaba	Bugaba
bugabita arriba	Bugabita Arriba
burica	Burica
burunga	Burunga
caballero	Caballero
cabecera de cerro puerco	Cabecera de Cerro Puerco
cabra numero uno	Cabra Número Uno
cabuya	Cabuya
cacao	Cacao
cacique	Cacique
caimitillo	Caimitillo
caimito	Caimito
calabacito	Calabacito
caldera	Caldera
calidonia	Calidonia
calobre	Calobre
calovebora	Calovébora
calzada larga	Calzada Larga
camaron arriba	Camarón Arriba
cambutal	Cambutal
camoganti	Camogantí
canas	Cañas
canas gordas	Cañas Gordas
canaveral	Cañaveral
canazas	Cañazas
canita	Cañita
canoa	Canoa
canto del llano	Canto del Llano
capellania	Capellanía
capira	Capira
carti sugtupu	Cartí Sugtupu
cascabel	Cascabel
cativa	Cativá
cauchero	Cauchero
cedro arriba	Cedro Arriba
celmira	Celmira
cermeno	Cermeño
cerro azul	Cerro Azul
cerro banco	Cerro Banco
cerro cama	Cerro Cama
cerro cana	Cerro Caña
cerro iglesia	Cerro Iglesia
cerro largo	Cerro Largo
cerro pelado	Cerro Pelado
cerro plata	Cerro Plata
cerro punta	Cerro Punta
cerro silvestre	Cerro Silvestre
cerro venado	Cerro Venado
cerro viejo	Cerro Viejo
chacarero	Chacarero
chame	Chame
changuinola	Changuinola
chepigana	Chepigana
chepillo	Chepillo
chepo	Chepo
chichica	Chichica
chigore	Chigoré
chiguiri arriba	Chiguirí Arriba
chilibre	Chilibre
chiman	Chimán
chiriqui	Chiriquí
chiriqui grande	Chiriquí Grande
chitre	Chitré
chumical	Chumical
chupa	Chupá
chupampa	Chupampa
churuquita chiquita	Churuquita Chiquita
churuquita grande	Churuquita Grande
ciricito abajo	Ciricito Abajo
ciricito de los sotos	Ciricito de Los Sotos
cochea abajo	Cochea Abajo
cocle	Coclé
cocle del norte	Coclé del Norte
coclecito	Coclecito
colon	Colón
contadora	Contadora
cordillera	Cordillera
coronte	Coronte
corozal	Corozal
cristobal	Cristóbal
cuango	Cuango
cucunati	Cucunatí
cuipo	Cuipo
curundu	Curundú
david	David
divala	Divalá
dolega district	Dolega District
dos rios	Dos Ríos
el alto	El Alto
el bale	El Bale
el barrero	El Barrero
el barrito	El Barrito
el bebedero	El Bebedero
el cacao	El Cacao
el calabacito	El Calabacito
el canafistulo	El Cañafístulo
el cano	El Caño
el capuri	El Capurí
el carate	El Carate
el cedro	El Cedro
el chiru	El Chirú
el chorrillo	El Chorrillo
el cocal	El Cocal
el cocla	El Cocla
el coco	El Coco
el cope	El Copé
el cortezo	El Cortezo
el cristo	El Cristo
el ejido	El Ejido
el empalme	El Empalme
el espinal	El Espinal
el espino	El Espino
el espino amarillo	El Espino Amarillo
el espino de santa rosa	El Espino de Santa Rosa
el giral	El Giral
el guabo	El Guabo
el guasimo	El Guásimo
el hato	El Hato
el higo	El Higo
el limon	El Limón
el macano	El Macano
el manantial	El Manantial
el maranon	El Marañón
el maria	El María
el munoz	El Muñoz
el nancito	El Nancito
el pajaro	El Pájaro
el palmar	El Palmar
