afaahiti	Afaahiti
afareaitu	Afareaitu
anau	Anau
arue	Arue
atuona	Atuona
faaa	Faaa
faanui	Faanui
faone	Faone
fare	Fare
fitii	Fitii
haapiti	Haapiti
hitiaa	Hitiaa
mahina	Mahina
moerai	Moerai
otepa	Otepa
otutara	Otutara
paea	Paea
paopao	Paopao
papao	Papao
papeete	Papeete
papetoai	Papetoai
pirae	Pirae
pueu	Pueu
punaauia	Punaauia
rikitea	Rikitea
taiohae	Taiohae
tapuarava	Tapuarava
taunoa	Taunoa
tautira	Tautira
teahupoo	Teahupoo
teavaro	Teavaro
tevaitoa	Tevaitoa
tiarei	Tiarei
tohautu	Tohautu
uturoa	Uturoa
vairao	Vairao
vaitape	Vaitape
vaitoare	Vaitoare
