aitape	Aitape
alotau	Alotau
ambunti	Ambunti
angoram village	Angoram Village
arawa	Arawa
bereina	Bereina
buka	Buka
bulolo	Bulolo
daru	Daru
finschhafen	Finschhafen
goroka	Goroka
ialibu	Ialibu
ihu	Ihu
kainantu	Kainantu
kandrian	Kandrian
kavieng	Kavieng
kerema	Kerema
kieta	Kieta
kimbe	Kimbe
kiunga	Kiunga
kokoda	Kokoda
kokopo	Kokopo
kulumadau	Kulumadau
kundiawa	Kundiawa
kurumul	Kurumul
kwikila	Kwikila
lae	Lae
londolovit	Londolovit
lorengau	Lorengau
madang	Madang
mendi	Mendi
minj	Minj
morehead	Morehead
mount hagen	Mount Hagen
namatanai	Namatanai
panguna	Panguna
popondetta	Popondetta
porgera	Porgera
port moresby	Port Moresby
rabaul	Rabaul
rauna	Rauna
samarai	Samarai
tabubil	Tabubil
tari	Tari
vanimo	Vanimo
wabag	Wabag
wau	Wau
wewak	Wewak
