abbottabad	Abbottabad
abdul khel	Abdul Khel
adilpur	Adilpur
ahmadpur east	Ahmadpur East
ahmadpur sial	Ahmadpur Sial
akora khattak	Akora Khattak
alahabad	Alahabad
aliabad	Aliabad
alik ghund	Alik Ghund
alipur	Alipur
alizai	Alizai
alpurai	Alpurai
amangarh	Amangarh
amirabad	Amirabad
arbora	Arbora
arif wala	Arif Wala
arifwala	Arifwala
ashanagro koto	Ashanagro Koto
athhmuqam	Athhmuqam
athmuqam	Athmuqam
attock city	Attock City
awaran	Awaran
baddomalhi	Baddomalhi
badin	Badin
baffa	Baffa
bagarji	Bagarji
bagh	Bāgh
bahawalnagar	Bahawalnagar
bahawalpur	Bahawalpur
bakhri ahmad khan	Bakhri Ahmad Khan
bandhi	Bandhi
banian	Banian
bannu	Bannu
barishal	Barishal
barkhan	Barkhan
basirpur	Basirpur
basra	Basra
basti dosa	Basti Dosa
bat khela	Bat Khela
battagram	Battagram
batwar salarzai	Batwar Salarzai
begowala	Begowala
bela	Bela
berani	Berani
bhag	Bhag
bhagowal	Bhagowal
bhagwal	Bhagwal
bhakkar	Bhakkar
bhalwal	Bhalwal
bhan	Bhan
bhata	Bhata
bhaun	Bhaun
bhawana	Bhawana
bhera	Bhera
bhimber	Bhimber
bhiria	Bhiria
bhit shah	Bhit Shah
bhopalwala	Bhopalwala
bozdar wada	Bozdar Wada
bulri	Bulri
buni	Buni
burewala	Burewala
chak	Chak
chak azam sahu	Chak Azam Sahu
chak eighty three twelve l	Chak Eighty Three Twelve L
chak eighty-eight -six right	Chak Eighty-eight -Six Right
chak fifty-six -four right	Chak Fifty-six -Four Right
chak five hundred seventy-five	Chak Five Hundred Seventy-five
chak hundred one	Chak Hundred One
chak jhumra	Chak Jhumra
chak ninety-eight -nine left	Chak Ninety-eight -Nine Left
chak ninety-nine -nine left	Chak Ninety-nine -Nine Left
chak ninety-nine -six right	Chak Ninety-nine -Six Right
chak one hundred -nine left	Chak One Hundred -Nine Left
chak one hundred eight -nine left	Chak One Hundred Eight -Nine Left
