abramow	Abramów
adamow	Adamów
adamowizna	Adamowizna
adamowka	Adamówka
albigowa	Albigowa
aleksandrow	Aleksandrów
aleksandrow kujawski	Aleksandrów Kujawski
aleksandrow lodzki	Aleksandrów Łódzki
aleksandrowice	Aleksandrowice
alwernia	Alwernia
andrespol	Andrespol
andrychow	Andrychów
aniolki	Aniołki
annopol	Annopol
augustow	Augustów
augustowka	Augustówka
babiak	Babiak
babica	Babica
babice	Babice
babimost	Babimost
baborow	Baborów
baboszewo	Baboszewo
bachowice	Bachowice
backowice	Baćkowice
bakow	Bąków
balice	Balice
baligrod	Baligród
balin	Balin
baltow	Bałtów
banie	Banie
banie mazurskie	Banie Mazurskie
banino	Banino
baniocha	Baniocha
baranow	Baranów
baranow sandomierski	Baranów Sandomierski
baranowo	Baranowo
barciany	Barciany
barcin	Barcin
barczewo	Barczewo
bardo	Bardo
barlinek	Barlinek
bartniczka	Bartniczka
bartoszyce	Bartoszyce
baruchowo	Baruchowo
barwald gorny	Barwałd Górny
barwald sredni	Barwałd Średni
barwice	Barwice
batorz	Batorz
bazanowice	Bażanowice
beblo	Bębło
beczarka	Bęczarka
bedkow	Będków
bedlno	Bedlno
bedzin	Będzin
bejsce	Bejsce
belchatow	Bełchatów
belk	Bełk
belsk duzy	Belsk Duży
belsznica	Bełsznica
belzec	Bełżec
belzyce	Bełżyce
bemowo	Bemowo
beskidzkie	Beskidzkie
besko	Besko
bestwina	Bestwina
bestwinka	Bestwinka
biala	Biała
biala krakowska	Biała Krakowska
biala piska	Biała Piska
biala podlaska	Biała Podlaska
biala polnoc	Biała Północ
biala rawska	Biała Rawska
biala roza	Biała Róża
biala srodmiescie	Biała Śródmieście
biala wschod	Biała Wschód
bialaczow	Białaczów
biale blota	Białe Błota
bialka	Białka
bialka tatrzanska	Białka Tatrzańska
bialobrzegi	Białobrzegi
bialogard	Białogard
bialoleka	Białołeka
bialosliwie	Białośliwie
bialowieza	Białowieża
bialy bor	Biały Bór
bialy dunajec	Biały Dunajec
bialystok	Białystok
biecz	Biecz
bielany	Bielany
bielany wroclawskie	Bielany Wrocławskie
bielawa	Bielawa
bielawy	Bielawy
bielice	Bielice
bieliny	Bieliny
bielsk	Bielsk
bielsk podlaski	Bielsk Podlaski
bielsko poludnie	Bielsko Południe
bielsko-biala	Bielsko-Biala
bienczyce	Bieńczyce
bieniewice	Bieniewice
bienkowka	Bieńkówka
bierawa	Bierawa
bierdzany	Bierdzany
bierun	Bieruń
bierun nowy	Bieruń Nowy
bierutow	Bierutów
bierzwnik	Bierzwnik
biezun	Bieżuń
bilgoraj	Biłgoraj
binarowa	Binarowa
bircza	Bircza
biskupice radlowskie	Biskupice Radłowskie
biskupiec	Biskupiec
biskupin	Biskupin
biskupin-sepolno-dabie-bartoszowice	Biskupin-Sępolno-Dąbie-Bartoszowice
biszcza	Biszcza
bisztynek	Bisztynek
blachownia	Blachownia
blaszki	Błaszki
blazowa	Błażowa
bledow	Błędów
bledzew	Bledzew
blizanow	Blizanów
blizne	Blizne
blizyn	Bliżyn
blonie	Błonie
bobolice	Bobolice
bobowa	Bobowa
bobowo	Bobowo
bobrowice	Bobrowice
bobrowniki	Bobrowniki
bobrowo	Bobrowo
bochnia	Bochnia
bocki	Boćki
bodzanow	Bodzanów
bodzechow	Bodzechów
bodzentyn	Bodzentyn
bogatynia	Bogatynia
bogdaniec	Bogdaniec
bogoria	Bogoria
boguchwala	Boguchwała
boguszow-gorce	Boguszów-Gorce
boguty-pianki	Boguty-Pianki
bojadla	Bojadła
bojano	Bojano
bojanow	Bojanów
bojanowo	Bojanowo
bojanowo stare	Bojanowo Stare
bojszowy	Bojszowy
bojszowy nowe	Bojszowy Nowe
bolechowice	Bolechowice
bolecin	Bolęcin
boleslaw	Bolesław
boleslawiec	Bolesławiec
boleszkowice	Boleszkowice
bolimow	Bolimów
bolkow	Bolków
bolszewo	Bolszewo
boniewo	Boniewo
borek	Borek
borek wielkopolski	Borek Wielkopolski
borki	Borki
borkowice	Borkowice
borne sulinowo	Borne Sulinowo
boronow	Boronów
borowa	Borowa
borowie	Borowie
borowno	Borowno
borucin	Borucin
borzechow	Borzechów
borzecin	Borzęcin
borzeta	Borzęta
borzytuchom	Borzytuchom
bozkow	Bozkow
bralin	Bralin
branice	Branice
braniewo	Braniewo
bransk	Brańsk
branszczyk	Brańszczyk
braszewice	Brąszewice
brdow	Brdów
brenna	Brenna
brenno	Brenno
bretowo	Brętowo
brochow	Brochów
brodla	Brodła
brodnica	Brodnica
brody	Brody
brody-parcele	Brody-Parcele
brojce	Brojce
brojce	Brójce
brok	Brok
broniszewice	Broniszewice
bronow	Bronów
brudzen duzy	Brudzeń Duży
brudzew	Brudzew
brusy	Brusy
brwinow	Brwinów
brzaczowice	Brzączowice
brzeg	Brzeg
brzeg dolny	Brzeg Dolny
brzesc kujawski	Brześć Kujawski
brzesko	Brzesko
brzeszcze	Brzeszcze
brzezinka	Brzezinka
brzeziny	Brzeziny
brzeziny slaskie	Brzeziny Śląskie
brzeznica	Brzeźnica
brzeznio	Brzeźnio
brzezno gdanskie	Brzeźno Gdańskie
brzostek	Brzostek
brzoza krolewska	Brzóza Królewska
brzoza stadnicka	Brzóza Stadnicka
brzozie	Brzozie
brzozow	Brzozów
brzuze	Brzuze
brzyska	Brzyska
buczek	Buczek
buczkowice	Buczkowice
budziszewice	Budziszewice
budzow	Budzów
budzyn	Budzyń
bujakow	Bujaków
buk	Buk
bukowiec	Bukowiec
bukowina tatrzanska	Bukowina Tatrzańska
bukowno	Bukowno
bukowsko	Bukowsko
bulkowo	Bulkowo
bulowice	Bulowice
burzenin	Burzenin
busko-zdroj	Busko-Zdrój
bychawa	Bychawa
byczyna	Byczyna
bydgoszcz	Bydgoszcz
bystra	Bystra
bystrzyca	Bystrzyca
bystrzyca klodzka	Bystrzyca Kłodzka
bytnica	Bytnica
bytom	Bytom
bytom odrzanski	Bytom Odrzański
byton	Bytoń
bytow	Bytów
cedry wielkie	Cedry Wielkie
cedynia	Cedynia
ceglow	Cegłów
cekcyn	Cekcyn
celestynow	Celestynów
ceranow	Ceranów
cerkwica	Cerkwica
cewice	Cewice
chalupki	Chałupki
chasno	Chąśno
checiny	Chęciny
chelm	Chełm
chelm slaski	Chełm Śląski
chelmek	Chełmek
chelmiec	Chełmiec
chelmno	Chełmno
chelmza	Chełmża
chlapowo	Chłapowo
chlewiska	Chlewiska
chmielnik	Chmielnik
chmielno	Chmielno
chmielowice	Chmielowice
chocen	Choceń
chocianow	Chocianów
chociwel	Chociwel
chocz	Chocz
choczewo	Choczewo
chocznia	Chocznia
chodecz	Chodecz
chodel	Chodel
chodow	Chodów
chodziez	Chodzież
chojna	Chojna
chojnice	Chojnice
chojnow	Chojnów
chorkowka	Chorkówka
choron	Choroń
choroszcz	Choroszcz
chorzele	Chorzele
chorzow	Chorzów
choszczno	Choszczno
chotcza	Chotcza
chroscice	Chróścice
chroscina	Chrościna
chroscina	Chróścina
chrostkowo	Chrostkowo
chruszczobrod	Chruszczobród
chrzanow	Chrzanów
chrzastowice	Chrząstowice
chrzypsko wielkie	Chrzypsko Wielkie
chwalowice	Chwałowice
chwaszczyno	Chwaszczyno
chybie	Chybie
chynow	Chynów
chyzne	Chyżne
ciasna	Ciasna
ciechanow	Ciechanów
ciechanowiec	Ciechanowiec
ciechocin	Ciechocin
ciechocinek	Ciechocinek
ciechow	Ciechów
ciecierzyn	Ciecierzyn
ciecina	Cięcina
cieladz	Cielądz
cielmice	Cielmice
ciepielow	Ciepielów
cieplice slaskie zdroj	Cieplice Śląskie Zdrój
cieplowody	Ciepłowody
cieszanow	Cieszanów
cieszkow	Cieszków
cieszyn	Cieszyn
ciezkowice	Ciężkowice
cisek	Cisek
cisiec	Cisiec
cisna	Cisna
cisownica	Cisownica
cmielow	Ćmielów
cmolas	Cmolas
cybinka	Cybinka
cycow	Cyców
cynkow	Cynków
czajkow	Czajków
czaniec	Czaniec
czaplinek	Czaplinek
czapury	Czapury
czarkow	Czarków
czarna	Czarna
czarna bialostocka	Czarna Białostocka
czarna dabrowka	Czarna Dąbrówka
czarna gora	Czarna Góra
czarna woda	Czarna Woda
czarne	Czarne
czarnia	Czarnia
czarnkow	Czarnków
czarnochowice	Czarnochowice
czarnocin	Czarnocin
czarnowasy	Czarnowąsy
czarnozyly	Czarnożyły
czarny bor	Czarny Bór
czarny dunajec	Czarny Dunajec
czastary	Czastary
czaszyn	Czaszyn
czchow	Czchów
czechowice-dziedzice	Czechowice-Dziedzice
czeladz	Czeladź
czemierniki	Czemierniki
czempin	Czempiń
czeremcha	Czeremcha
czermin	Czermin
czernica	Czernica
czernice borowe	Czernice Borowe
czernichow	Czernichów
czerniejewo	Czerniejewo
czerniewice	Czerniewice
czernikowo	Czernikowo
czersk	Czersk
czerwiensk	Czerwieńsk
czerwin	Czerwin
czerwinsk nad wisla	Czerwińsk Nad Wisłą
czerwionka-leszczyny	Czerwionka-Leszczyny
czerwonak	Czerwonak
czerwonka	Czerwonka
czestochowa	Częstochowa
czlopa	Człopa
czluchow	Człuchów
czudec	Czudec
czulow	Czułów
czyzew	Czyżew
czyzowice	Czyżowice
dabie	Dąbie
dabrowa	Dąbrowa
dabrowa bialostocka	Dąbrowa Białostocka
dabrowa chelminska	Dąbrowa Chełmińska
dabrowa gornicza	Dąbrowa Górnicza
dabrowa tarnowska	Dąbrowa Tarnowska
dabrowa zielona	Dąbrowa Zielona
dabrowice	Dąbrowice
dabrowka	Dąbrówka
dabrowno	Dąbrówno
dalachow	Dalachów
daleszyce	Daleszyce
dalikow	Dalików
damaslawek	Damasławek
damnica	Damnica
darlowko	Darłówko
darlowo	Darłowo
daszewice	Daszewice
daszyna	Daszyna
debe wielkie	Dębe Wielkie
debica	Dębica
deblin	Dęblin
debnica kaszubska	Dębnica Kaszubska
debno	Dębno
debow	Dębów
debowa kloda	Dębowa Kłoda
debowa laka	Dębowa Łąka
debowiec	Dębowiec
debrzno	Debrzno
deszczno	Deszczno
dlugie	Długie
dlugoleka	Długołęka
dlugomilowice	Długomiłowice
dlugosiodlo	Długosiodło
dlutow	Dłutów
dmosin	Dmosin
dobczyce	Dobczyce
dobiegniew	Dobiegniew
dobieszowice	Dobieszowice
dobra	Dobra
dobre	Dobre
dobre miasto	Dobre Miasto
dobrodzien	Dobrodzień
dobron	Dobroń
dobroszyce	Dobroszyce
dobrzany	Dobrzany
dobrzen wielki	Dobrzeń Wielki
dobrzyca	Dobrzyca
dobrzyn nad wisla	Dobrzyń nad Wisłą
dobrzyniewo duze	Dobrzyniewo Duże
dolhobyczow	Dołhobyczów
dolice	Dolice
dolne przedmiescie	Dolne Przedmieście
dolsk	Dolsk
domanice	Domanice
domaniewice	Domaniewice
domaradz	Domaradz
domaszowice	Domaszowice
domecko	Domecko
dominowo	Dominowo
dopiewo	Dopiewo
dorohusk	Dorohusk
doruchow	Doruchów
drawno	Drawno
drawsko	Drawsko
drawsko pomorskie	Drawsko Pomorskie
drelow	Drelów
drezdenko	Drezdenko
drobin	Drobin
drogomysl	Drogomyśl
drohiczyn	Drohiczyn
druzbice	Drużbice
drzetowo-grabowo	Drzetowo-Grabowo
drzewica	Drzewica
drzycim	Drzycim
dubiecko	Dubiecko
dubienka	Dubienka
duczki	Duczki
dukla	Dukla
duszniki	Duszniki
duszniki-zdroj	Duszniki-Zdrój
dwikozy	Dwikozy
dydnia	Dydnia
dygowo	Dygowo
dynow	Dynów
dys	Dys
dywity	Dywity
dziadkowice	Dziadkowice
dziadowa kloda	Dziadowa Kłoda
dzialdowo	Działdowo
dzialoszyce	Działoszyce
dzialoszyn	Działoszyn
dziecmorowice	Dziećmorowice
dziegielow	Dzięgielów
dziekanow lesny	Dziekanów Leśny
dziemiany	Dziemiany
dziergowice	Dziergowice
dzierzaznia	Dzierzążnia
dzierzgon	Dzierzgoń
dzierzgowo	Dzierzgowo
dzierzkowice	Dzierzkowice
dzierzoniow	Dzierżoniów
dziewin	Dziewin
dzikow stary	Dzików Stary
dzikowiec	Dzikowiec
dziwnow	Dziwnów
dzwierzuty	Dźwierzuty
dzwola	Dzwola
elblag	Elbląg
elizowka	Elizówka
elk	Ełk
fabianki	Fabianki
fajslawice	Fajsławice
falkow	Fałków
filipow	Filipów
filipowice	Filipowice
firlej	Firlej
fordon	Fordon
frampol	Frampol
fredropol	Fredropol
frombork	Frombork
frydek	Frydek
frydman	Frydman
frydrychowice	Frydrychowice
frysztak	Frysztak
gabin	Gąbin
gac	Gać
gadow maly	Gądów Mały
gadow-popowice poludniowe	Gądów-Popowice Południowe
gaj	Gaj
gajowice	Gajowice
galewice	Galewice
galkow maly	Gałków Mały
garbatka-letnisko	Garbatka-Letnisko
garbow	Garbów
garcz	Garcz
gardawice	Gardawice
gardeja	Gardeja
garwolin	Garwolin
gasawa	Gąsawa
gasocin	Gąsocin
gaszowice	Gaszowice
gaworzyce	Gaworzyce
gdansk	Gdańsk
gdow	Gdów
gdynia	Gdynia
gidle	Gidle
giebultow	Giebułtów
giedlarowa	Giedlarowa
gielniow	Gielniów
gieraltowice	Gierałtowice
gierloz	Gierłoż
gierzwald	Gierzwałd
gietrzwald	Gietrzwałd
gilowice	Gilowice
gizalki	Gizałki
gizycko	Giżycko
glinojeck	Glinojeck
gliwice	Gliwice
glogoczow	Głogoczów
glogow	Głogów
glogow malopolski	Głogów Małopolski
glogowek	Głogówek
glowczyce	Główczyce
glowno	Głowno
glubczyce	Głubczyce
glucholazy	Głuchołazy
gluchow	Głuchów
gluszyca	Głuszyca
gluszyca gorna	Głuszyca Górna
gniazdow	Gniazdów
gniechowice	Gniechowice
gniew	Gniew
gniewino	Gniewino
gniewkowo	Gniewkowo
gniezdzewo	Gnieżdżewo
gniezno	Gniezno
gnojnik	Gnojnik
gnojno	Gnojno
goczalkowice zdroj	Goczałkowice Zdrój
godow	Godów
