abu dis	Abū Dīs
abu qashsh	Abū Qashsh
ad dawhah	Ad Dawḩah
al badhan	Al Bādhān
al birah	Al Bīrah
al buq‘ah	Al Buq‘ah
al burayj	Al Burayj
al burj	Al Burj
al fandaqumiyah	Al Fandaqūmīyah
al fasayil	Al Faşāyil
al fukhkhari	Al Fukhkhārī
al hashimiyah	Al Hāshimīyah
al hilah	Al Ḩīlah
al ittihad	Al Ittiḩād
al jalamah	Al Jalamah
al janiyah	Al Jāniyah
al jib	Al Jīb
al jiftlik	Al Jiftlik
al judayrah	Al Judayrah
al judayyidah	Al Judayyidah
al karmil	Al Karmil
al khadir	Al Khaḑir
al lubban al gharbi	Al Lubban al Gharbī
al lubban ash sharqiyah	Al Lubban ash Sharqīyah
al majd	Al Majd
al mazra‘ah ash sharqiyah	Al Mazra‘ah ash Sharqīyah
al midyah	Al Midyah
al mughayyir	Al Mughayyir
al mughraqah	Al Mughrāqah
al musaddar	Al Muşaddar
al qararah	Al Qarārah
al qubaybah	Al Qubaybah
al rashaydeh	Al Rashaydeh
al yamun	Al Yāmūn
al ‘araqa	Al ‘Araqa
al ‘attarah	Al ‘Aţţārah
al ‘awja	Al ‘Awjā
al ‘ayzariyah	Al ‘Ayzarīyah
al ‘ubaydiyah	Al ‘Ubaydīyah
al-kum	al-Kum
alei zahav	Alei Zahav
alfei menasheh	Alfei Menasheh
alon shvut	Alon shvut
an nabi ilyas	An Nabī Ilyās
an naqurah	An Nāqūrah
an nasr	An Naşr
an nassariyah	An Naşşārīyah
an nazlah	An Nazlah
an nazlah ash sharqiyah	An Nazlah ash Sharqīyah
an nusayrat	An Nuşayrāt
an nuway‘imah	An Nuway‘imah
ar ram wa dahiyat al barid	Ar Rām wa Ḑāḩiyat al Barīd
ar ramadin	Ar Ramāḑīn
ar rihiyah	Ar Rīḩīyah
artas	Arţās
as samu‘	As Samū‘
as sawiyah	As Sāwiyah
as surrah	Aş Şūrrah
ash shaykh sa‘d	Ash Shaykh Sa‘d
ash shuhada’	Ash Shuhadā’
ash shuyukh	Ash Shuyūkh
at taybah	Aţ Ţaybah
at tirah	Aţ Ţīrah
az zababidah	Az Zabābidah
az zahiriyah	Az̧ Z̧āhirīyah
az zawiyah	Az Zāwiyah
az zaytuniyah	Az Zaytūnīyah
az za‘ayyim	Az Za‘ayyim
az zubaydat	Az Zubaydāt
az zuwaydah	Az Zuwāydah
azun atme	Azun Atme
balatah	Balāţah
bal‘a	Bal‘ā
bani na‘im	Banī Na‘īm
bani suhayla	Banī Suhaylā
bani zayd	Banī Zayd
bani zayd ash sharqiyah	Banī Zayd ash Shārqīyah
baqah ash sharqiyah	Bāqah ash Sharqīyah
baqat al hatab	Bāqat al Ḩaţab
bardalah	Bardalah
barqan	Barqan
barta‘ah ash sharqiyah	Barţa‘ah ash Sharqīyah
bat a'in	Bat A'in
battir	Battir
battir	Battīr
bayt dajan	Bayt Dajan
bayt duqqu	Bayt Duqqū
bayt fajjar	Bayt Fajjār
bayt furik	Bayt Fūrīk
bayt hanina	Bayt Ḩanīnā
bayt hanun	Bayt Ḩānūn
bayt hasan	Bayt Ḩasan
bayt iba	Bayt Ībā
bayt iksa	Bayt Iksā
bayt imrin	Bayt Imrīn
bayt jala	Bayt Jālā
bayt kahil	Bayt Kāḩil
bayt lahya	Bayt Lāhyā
bayt lid	Bayt Līd
bayt liqya	Bayt Liqyā
bayt maqdum	Bayt Maqdum
bayt qad	Bayt Qād
bayt sahur	Bayt Sāḩūr
bayt sira	Bayt Sīrā
bayt surik	Bayt Sūrīk
bayt ta‘mar	Bayt Ta‘mar
bayt ula	Bayt Ūlā
bayt ummar	Bayt Ūmmar
bayt wazan	Bayt Wazan
bayt ‘amrah	Bayt ‘Amrah
bayt ‘anan	Bayt ‘Anān
bayt ‘awwa	Bayt ‘Awwā
bayt ‘inun	Bayt ‘Īnūn
bayt ‘ur at tahta	Bayt ‘Ūr at Taḩtā
bayta al fawqa	Baytā al Fawqā
baytin	Baytīn
baytunya	Baytūnyā
bazzaryah	Bazzāryah
beit el	Beit El
bet arye	Bet Arye
bethlehem	Bethlehem
biddu	Biddū
bidya	Bidyā
bil‘in	Bil‘īn
bir al basha	Bīr al Bāshā
bir nabala	Bīr Nabālā
bir zayt	Bīr Zayt
birqin	Birqīn
bruchin	Bruchin
bruqin	Brūqīn
budrus	Budrus
burin	Būrīn
burqah	Burqah
dayr abu da‘if	Dayr Abū Ḑa‘īf
dayr abu mash‘al	Dayr Abū Mash‘al
dayr al balah	Dayr al Balaḩ
dayr al ghusun	Dayr al Ghuşūn
dayr al hatab	Dayr al Ḩaţab
dayr al ‘asal al fawqa	Dayr al ‘Asal al Fawqā
dayr as sudan	Dayr as Sūdān
dayr ballut	Dayr Ballūţ
dayr dibwan	Dayr Dibwān
dayr ibzi‘	Dayr Ibzī‘
dayr istiya	Dayr Istiyā
dayr jarir	Dayr Jarīr
dayr qiddis	Dayr Qiddīs
dayr samit	Dayr Sāmit
dayr sharaf	Dayr Sharaf
dhannabah	Dhannābah
