a dos cunhados	A dos Cunhados
a dos francos	A dos Francos
abrantes	Abrantes
abraveses	Abraveses
abrigada	Abrigada
adaufe	Adaúfe
afurada de baixo	Afurada de Baixo
agua de pau	Água de Pau
agua de pena	Água de Pena
agua longa	Água Longa
aguada de cima	Aguada de Cima
aguas santas	Águas Santas
agucadoura	Aguçadoura
agueda	Águeda
aguiar da beira	Aguiar da Beira
ajuda	Ajuda
alagoa	Alagoa
alandroal	Alandroal
albergaria-a-velha	Albergaria-a-Velha
albufeira	Albufeira
alcabideche	Alcabideche
alcacer do sal	Alcácer do Sal
alcains	Alcains
alcanede	Alcanede
alcanena	Alcanena
alcanhoes	Alcanhões
alcantara	Alcântara
alcantarilha	Alcantarilha
alcobaca	Alcobaça
alcochete	Alcochete
alcoentre	Alcoentre
alcoitao	Alcoitão
alcoutim	Alcoutim
aldeia de joanes	Aldeia de Joanes
aldeia de paio pires	Aldeia de Paio Pires
aldeia nova	Aldeia Nova
aldoar	Aldoar
alegrete	Alegrete
alenquer	Alenquer
alfama	Alfama
alfandega da fe	Alfândega da Fé
alfarelos	Alfarelos
alfeizerao	Alfeizerão
alfena	Alfena
alferrarede	Alferrarede
alfornelos	Alfornelos
alfragide	Alfragide
alges	Algés
algoz	Algoz
algueirao	Algueirão
alhadas	Alhadas
alhandra	Alhandra
alhos vedros	Alhos Vedros
alijo	Alijó
aljezur	Aljezur
aljubarrota	Aljubarrota
aljustrel	Aljustrel
almada	Almada
almancil	Almancil
almargem	Almargem
almeirim	Almeirim
almodovar	Almodôvar
almograve	Almograve
alpendurada	Alpendurada
alpiarca	Alpiarça
alqueidao da serra	Alqueidão da Serra
alter do chao	Alter do Chão
alto da maia	Alto da Maia
altura	Altura
alvaiazere	Alvaiázere
alvalade	Alvalade
alvide	Alvide
alvito	Alvito
alvor	Alvor
alvorninha	Alvorninha
amadora	Amadora
amarante	Amarante
amares	Amares
ameal	Ameal
amiaes de baixo	Amiães de Baixo
amor	Amor
amora	Amora
amorim	Amorim
anadia	Anadia
anca	Ançã
angeiras	Angeiras
angra do heroismo	Angra do Heroísmo
angustias	Angústias
anjos	Anjos
ansiao	Ansião
anta	Anta
antanhol	Antanhol
apelacao	Apelação
apulia	Apúlia
apulia e fao	Apúlia e Fão
aradas	Aradas
arazede	Arazede
arco da calheta	Arco da Calheta
