angaur state	Angaur State
imeong hamlet	Imeong Hamlet
kayangel	Kayangel
kloulklubed	Kloulklubed
koror	Koror
koror town	Koror Town
medalaii hamlet	Medalaii Hamlet
melekeok village	Melekeok Village
mengellang	Mengellang
ngardmau	Ngardmau
ngchemiangel	Ngchemiangel
ngchesar hamlet	Ngchesar Hamlet
ngerbeched hamlet	Ngerbeched Hamlet
ngerchemai hamlet	Ngerchemai Hamlet
ngereklmadel	Ngereklmadel
ngerkeai	Ngerkeai
ngermid hamlet	Ngermid Hamlet
ngerulmud	Ngerulmud
ngetkib	Ngetkib
sonsorol village	Sonsorol Village
tobi village	Tobi Village
ulimang	Ulimang
