ad dawhah al jadidah	Ad Dawḩah al Jadīdah
al ghanim	Al Ghānim
al ghuwayriyah	Al Ghuwayrīyah
al hilal al gharbiyah	Al Hilāl al Gharbīyah
al hilal ash sharqiyah	Al Hilāl ash Sharqīyah
al hitmi	Al Hitmī
al jumayliyah	Al Jumaylīyah
al khawr	Al Khawr
al mansurah	Al Manşūrah
al markhiyah	Al Markhīyah
al matar al ‘atiq	Al Maţār al ‘Atīq
al wakrah	Al Wakrah
al wukayr	Al Wukayr
al ‘unayzah	Al ‘Unayzah
an najmah	An Najmah
ar rayyan	Ar Rayyān
ar ruways	Ar Ruways
as sadd	As Sadd
as sultah al jadidah	As Sulţah al Jadīdah
ash shihaniyah	Ash Shīḩānīyah
at tarfah	Aţ Ţarfah
ath thumamah khamsun	Ath Thumāmah Khamsūn
ath thumamah sab‘ah wa arba‘un	Ath Thumāmah Sab‘ah wa Arba‘ūn
ath thumamah sittah wa arba‘un	Ath Thumāmah Sittah wa Arba‘ūn
az za‘ayin	Az̧ Z̧a‘āyin
doha	Doha
dukhan	Dukhān
farij al amir	Farīj al Amīr
farij kulayb	Farīj Kulayb
fariq al hitmi	Farīq al Hitmī
fuwayrit	Fuwayriţ
lusail	Lusail
madinat ash shamal	Madīnat ash Shamāl
madinat khalifah	Madīnat Khalīfah
musay‘id	Musay‘īd
mu‘aydhir rawdat rashid	Mu‘aydhir Rawḑat Rāshid
nu‘ayjah	Nu‘ayjah
umm bab	Umm Bāb
umm ghuwaylinah	Umm Ghuwaylīnah
umm lakhba	Umm Lakhbā
umm salal muhammad	Umm Şalāl Muḩammad
umm salal ‘ali	Umm Şalāl ‘Alī
