1 decembrie	1 Decembrie
23 august	23 August
abram	Abram
abramut	Abrămuţ
abrud	Abrud
abrud-sat	Abrud-Sat
acas	Acâş
acatari	Acăţari
acris	Acriș
adamclisi	Adamclisi
adamus	Adămuş
adanca	Adânca
adancata	Adâncata
adaseni	Adășeni
adea	Adea
adjud	Adjud
adjudeni	Adjudeni
adjudu vechi	Adjudu Vechi
adunati	Adunaţi
adunatii-copaceni	Adunații-Copăceni
afumati	Afumaţi
agapia	Agapia
agarbiciu	Agârbiciu
agas	Agăş
aghires	Aghireș
aghiresu	Aghireșu
aghiresu-fabrici	Aghireșu-Fabrici
agigea	Agigea
agighiol	Agighiol
agnita	Agnita
agries	Agrieș
agrij	Agrij
agris	Agriș
agrisu mare	Agrișu Mare
aita mare	Aita Mare
aiton	Aiton
aiud	Aiud
aiudul de sus	Aiudul de Sus
alamor	Alămor
alba	Alba
alba iulia	Alba Iulia
albac	Albac
albeni	Albeni
albesti	Albeşti
albesti-muru	Albești-Muru
albesti-paleologu	Albeşti-Paleologu
albestii de arges	Albeştii de Argeş
albestii pamanteni	Albeştii Pământeni
albestii ungureni	Albeștii Ungureni
albis	Albiș
albota	Albota
albota de jos	Albota de Jos
alesd	Aleşd
alexandria	Alexandria
alexandru i. cuza	Alexandru I. Cuza
alexandru odobescu	Alexandru Odobescu
alexandru vlahuta	Alexandru Vlăhuţă
alexeni	Alexeni
aliman	Aliman
alimanesti	Alimănești
alimpesti	Alimpeşti
alma	Alma
almaj	Almăj
almas	Almaş
almasu	Almaşu
almasu mare	Almaşu Mare
alparea	Alparea
altana	Alțâna
alunis	Aluniş
alunisu	Alunișu
alunu	Alunu
amara	Amara
amarasti	Amărăşti
amarastii de jos	Amărăştii de Jos
amarastii de sus	Amărăştii de Sus
amaru	Amaru
amzacea	Amzacea
andrasesti	Andrăşeşti
andreesti	Andreești
andrei saguna	Andrei Șaguna
andreiasu de jos	Andreiaşu de Jos
andrid	Andrid
andrieseni	Andrieşeni
anghelesti	Anghelești
anies	Anieș
anina	Anina
aninoasa	Aninoasa
apa	Apa
apa asau	Apa Asău
apahida	Apahida
apalina	Apalina
apata	Apaţa
apateu	Apateu
apele vii	Apele Vii
apold	Apold
apoldu de jos	Apoldu de Jos
apostolache	Apostolache
aprozi	Aprozi
araci	Araci
arad	Arad
arbore	Arbore
arcani	Arcani
archis	Archiş
arcus	Arcuș
ardeoani	Ardeoani
ardud	Ardud
ardusat	Ardusat
arefu	Arefu
argel	Argel
argeselu	Argeșelu
argetoaia	Argetoaia
arghira	Arghira
aricestii zeletin	Ariceștii Zeletin
aricestii-rahtivani	Ariceştii-Rahtivani
arieseni	Arieşeni
arini	Arini
arinis	Ariniş
armasesti	Armăşeşti
armenis	Armeniş
aroneanu	Aroneanu
arpasu de jos	Arpaşu de Jos
arpasu de sus	Arpașu de Sus
arsura	Arsura
asau	Asău
aschileu dorna	Aşchileu Dorna
astileu	Aştileu
asuaju de sus	Asuaju de Sus
atel	Aţel
atid	Atid
atintis	Aţintiş
augustin	Augustin
auseu	Auşeu
avram iancu	Avram Iancu
avrameni	Avrămeni
avramesti	Avrămeşti
avrig	Avrig
axente sever	Axente Sever
axintele	Axintele
azuga	Azuga
baba ana	Baba Ana
babadag	Babadag
babaita	Băbăiţa
babana	Băbana
babeni	Băbeni
babeni-oltetu	Băbeni-Oltețu
babeti	Babeţi
babiciu	Băbiciu
babta	Babța
bacalesti	Băcălești
bacani	Băcani
bacau	Bacău
bacea	Bacea
bacesti	Băceşti
bacia	Băcia
bacioiu	Băcioiu
baciu	Baciu
bacles	Bâcleș
bacova	Bacova
bacu	Bâcu
badeana	Bădeana
badeni	Bădeni
badesti	Bădești
badeuti	Bădeuți
badosi	Bădoși
baduleasa	Băduleasa
bagaciu	Băgaciu
bahna	Bahna
bahnea	Bahnea
baia	Baia
baia de arama	Baia de Aramă
baia de aries	Baia de Arieş
baia de cris	Baia de Criş
baia de fier	Baia de Fier
baia mare	Baia Mare
baia sprie	Baia Sprie
baicoi	Băicoi
baiculesti	Băiculeşti
baile borsa	Băile Borșa
baile dranceni	Băile Drânceni
baile govora	Băile Govora
baile herculane	Băile Herculane
baile olanesti	Băile Olăneşti
baile tusnad	Băile Tuşnad
bailesti	Băileşti
baisesti	Băișești
baisoara	Băişoara
baita	Băița
baita	Băiţa
baita de sub codru	Băiţa de sub Codru
baiut	Băiuţ
bajesti	Băjești
bajura	Bajura
bala	Băla
bala	Bala
balabanesti	Bălăbănești
balaceana	Bălăceana
balaceanca	Bălăceanca
balaceanu	Bălăceanu
balaci	Balaci
balacita	Bălăciţa
balaciu	Balaciu
balan	Bălan
balanesti	Bălănești
balasesti	Bălăşeşti
balauseri	Bălăuşeri
balc	Balc
balcaciu	Bălcaciu
balcani	Balcani
balcauti	Bălcăuţi
balcesti	Bălcești
balcesti	Bălceşti
balda	Balda
baldana	Bâldana
baldovinesti	Baldovinești
baldovinesti	Baldovineşti
baleni	Băleni
baleni sarbi	Băleni Sârbi
balesti	Băleşti
balilesti	Bălileşti
balint	Balinţ
balintesti	Balintești
balnaca	Bălnaca
balotesti	Baloteşti
bals	Balș
bals	Balş
balsa	Balşa
balta	Bâlta
balta	Balta
