ada	Ada
adorjan	Adorjan
aleksandrovac	Aleksandrovac
aleksandrovo	Aleksandrovo
aleksinac	Aleksinac
alibunar	Alibunar
apatin	Apatin
aradac	Aradac
arandelovac	Aranđelovac
arilje	Arilje
bac	Bač
backa palanka	Bačka Palanka
backa topola	Bačka Topola
backi breg	Bački Breg
backi petrovac	Bački Petrovac
backo gradiste	Bačko Gradište
backo petrovo selo	Bačko Petrovo Selo
badovinci	Badovinci
bajina basta	Bajina Bašta
banatska topola	Banatska Topola
banatski despotovac	Banatski Despotovac
banatski dvor	Banatski Dvor
banatski karlovac	Banatski Karlovac
banatsko karadordevo	Banatsko Karađorđevo
banatsko veliko selo	Banatsko Veliko Selo
banovo polje	Banovo Polje
barajevo	Barajevo
baranda	Baranda
baric	Barič
barice	Barice
basaid	Bašaid
batocina	Batočina
bavaniste	Bavanište
becej	Bečej
becmen	Bečmen
bela crkva	Bela Crkva
bela palanka	Bela Palanka
belegis	Belegiš
belgrade	Belgrade
belo blato	Belo Blato
belotic	Belotić
beocin	Beočin
beska	Beška
biljaca	Biljača
blace	Blace
bocar	Bočar
bogatic	Bogatić
bogojevo	Bogojevo
bogosavac	Bogosavac
bojnik	Bojnik
boka	Boka
boljevac	Boljevac
boljevci	Boljevci
bor	Bor
borca	Borča
bosilegrad	Bosilegrad
bosut	Bosut
botos	Botoš
brasina	Brasina
brdarica	Brdarica
budanovci	Buđanovci
bujanovac	Bujanovac
bukor	Bukor
cacak	Čačak
cajetina	Čajetina
celarevo	Čelarevo
cenej	Čenej
centa	Čenta
cestereg	Čestereg
cicevac	Ćićevac
coka	Čoka
cokesina	Čokešina
cortanovci	Čortanovci
crepaja	Crepaja
crna bara	Crna Bara
crna trava	Crna Trava
crvenka	Crvenka
cukarica	Čukarica
cuprija	Ćuprija
curug	Čurug
debeljaca	Debeljača
despotovac	Despotovac
despotovo	Despotovo
dimitrovgrad	Dimitrovgrad
dobanovci	Dobanovci
dobric	Dobrić
dobrica	Dobrica
doljevac	Doljevac
donji dobric	Donji Dobrić
donji milanovac	Donji Milanovac
doroslovo	Doroslovo
draginje	Draginje
drenovac	Drenovac
dublje	Dublje
duboka	Duboka
durdevo	Ðurđevo
durici	Ðurići
ecka	Ečka
elemir	Elemir
erdevik	Erdevik
farkazdin	Farkaždin
