abadzekhskaya	Abadzekhskaya
abagur	Abagur
abakan	Abakan
abalak	Abalak
aban	Aban
abatskoye	Abatskoye
abaza	Abaza
abdulino	Abdulino
abinsk	Abinsk
abram mys	Abram Mys
abramovka	Abramovka
abrau-dyurso	Abrau-Dyurso
abzakovo	Abzakovo
achikulak	Achikulak
achinsk	Achinsk
achisu	Achisu
achit	Achit
achkhoy-martan	Achkhoy-Martan
adagum	Adagum
adamovka	Adamovka
adil’-yangiyurt	Adil’-Yangiyurt
adler	Adler
admiralteisky	Admiralteisky
adyge-khabl	Adyge-Khabl
adygeysk	Adygeysk
afanas’yeva	Afanas’yeva
afanas’yevo	Afanas’yevo
afipskiy	Afipskiy
afonino	Afonino
afrikanda	Afrikanda
agalatovo	Agalatovo
agapovka	Agapovka
ageyevo	Ageyevo
agidel’	Agidel’
aginskoye	Aginskoye
agirish	Agirish
agoy	Agoy
agronom	Agronom
agryz	Agryz
agvali	Agvali
ak-dovurak	Ak-Dovurak
akademgorodok	Akademgorodok
akademicheskoe	Akademicheskoe
akbulak	Akbulak
akhtanizovskaya	Akhtanizovskaya
akhtubinsk	Akhtubinsk
akhty	Akhty
akhtyrskiy	Akhtyrskiy
akhunovo	Akhunovo
aknada	Aknada
aksakovo	Aksakovo
aksarayskiy	Aksarayskiy
aksarka	Aksarka
aksay	Aksay
aksha	Aksha
aksubayevo	Aksubayevo
aktanysh	Aktanysh
aktash	Aktash
aktyubinskiy	Aktyubinskiy
akusha	Akusha
akyar	Akyar
alabushevo	Alabushevo
alagir	Alagir
alak	Alak
alakurtti	Alakurtti
alandskoye	Alandskoye
alapayevsk	Alapayevsk
alatyr’	Alatyr’
aldan	Aldan
aleksandriya	Aleksandriya
aleksandriyskaya	Aleksandriyskaya
aleksandro-nevskiy	Aleksandro-Nevskiy
aleksandrov	Aleksandrov
aleksandrov gay	Aleksandrov Gay
aleksandrovka	Aleksandrovka
aleksandrovsk	Aleksandrovsk
aleksandrovsk-sakhalinskiy	Aleksandrovsk-Sakhalinskiy
aleksandrovskaya	Aleksandrovskaya
aleksandrovskiy zavod	Aleksandrovskiy Zavod
aleksandrovskoye	Aleksandrovskoye
alekseyevka	Alekseyevka
alekseyevskaya	Alekseyevskaya
alekseyevskoye	Alekseyevskoye
aleksin	Aleksin
alexeyevka	Alexeyevka
aleysk	Aleysk
algatuy	Algatuy
ali-berdukovskiy	Ali-Berdukovskiy
ali-yurt	Ali-Yurt
alikovo	Alikovo
alkhan-churt	Alkhan-Churt
alkhan-kala	Alkhan-Kala
alkhan-yurt	Alkhan-Yurt
alkhazurovo	Alkhazurovo
alleroy	Alleroy
almaznyy	Almaznyy
alnashi	Alnashi
alpatovo	Alpatovo
altayskoye	Altayskoye
altud	Altud
altuf’yevskiy	Altuf’yevskiy
altukhovo	Altukhovo
alzamay	Alzamay
al’burikent	Al’burikent
al’menevo	Al’menevo
al’met’yevsk	Al’met’yevsk
amazar	Amazar
amga	Amga
amin’yevo	Amin’yevo
amursk	Amursk
amurzet	Amurzet
amzya	Amzya
anadyr	Anadyr
anapa	Anapa
anapskaya	Anapskaya
anastasiyevka	Anastasiyevka
anastasiyevskaya	Anastasiyevskaya
andi	Andi
andra	Andra
andreapol’	Andreapol’
andreyevka	Andreyevka
andreyevo	Andreyevo
andreyevskoye	Andreyevskoye
andzhiyevskiy	Andzhiyevskiy
angarsk	Angarsk
aniva	Aniva
anna	Anna
annino	Annino
anopino	Anopino
ansalta	Ansalta
antipino	Antipino
antipovka	Antipovka
anton’yevka	Anton’yevka
antropovo	Antropovo
anuchino	Anuchino
anzhero-sudzhensk	Anzhero-Sudzhensk
anzorey	Anzorey
apastovo	Apastovo
apatity	Apatity
aprelevka	Aprelevka
apsheronsk	Apsheronsk
aramil	Aramil
arbazh	Arbazh
ardatov	Ardatov
ardon	Ardon
ardon’	Ardon’
argayash	Argayash
argudan	Argudan
argun	Argun
arkadak	Arkadak
arkhangel’sk	Arkhangel’sk
arkhangel’skoye	Arkhangel’skoye
arkhara	Arkhara
arkhipo-osipovka	Arkhipo-Osipovka
arkhipovka	Arkhipovka
arkhonskaya	Arkhonskaya
arkul’	Arkul’
arman’	Arman’
armavir	Armavir
armizonskoye	Armizonskoye
aromashevo	Aromashevo
arsaki	Arsaki
arsen’yev	Arsen’yev
arsen’yevo	Arsen’yevo
arshan’	Arshan’
arsk	Arsk
artem	Artëm
artemovsk	Artemovsk
artemovskiy	Artëmovskiy
arti	Arti
artybash	Artybash
artyshta	Artyshta
arzamas	Arzamas
arzgir	Arzgir
ar’ya	Ar’ya
asanovo	Asanovo
asbest	Asbest
asbestovskiy	Asbestovskiy
asekeyevo	Asekeyevo
asha	Asha
ashil’ta	Ashil’ta
ashitkovo	Ashitkovo
ashukino	Ashukino
asino	Asino
askarovo	Askarovo
askino	Askino
askiz	Askiz
assinovskaya	Assinovskaya
astrakhan	Astrakhan
atagay	Atagay
atamanovka	Atamanovka
atamanskaya	Atamanskaya
atemar	Atemar
ateptsevo	Ateptsevo
atig	Atig
atkarsk	Atkarsk
atlashevo	Atlashevo
atlasovo	Atlasovo
atyashevo	Atyashevo
atyur’yevo	Atyur’yevo
aushiger	Aushiger
avdon	Avdon
avsyunino	Avsyunino
avtopoligon	Avtopoligon
avtovo	Avtovo
avtury	Avtury
aya	Aya
ayan	Ayan
aykhal	Aykhal
aykino	Aykino
aysha	Aysha
ayutinskiy	Ayutinskiy
azanka	Azanka
azanovo	Azanovo
aznakayevo	Aznakayevo
azov	Azov
azovo	Azovo
azovskaya	Azovskaya
babayevo	Babayevo
babayurt	Babayurt
babino	Babino
babstovo	Babstovo
babugent	Babugent
babushkin	Babushkin
babynino	Babynino
bachatskiy	Bachatskiy
bachi-yurt	Bachi-Yurt
bada	Bada
badar	Badar
bagan	Bagan
bagayevskaya	Bagayevskaya
bagdarin	Bagdarin
bagramovo	Bagramovo
bagrationovsk	Bagrationovsk
bakal	Bakal
bakaly	Bakaly
bakchar	Bakchar
bakhchivandzhi	Bakhchivandzhi
bakhilovo	Bakhilovo
baklashi	Baklashi
baksan	Baksan
baksanenok	Baksanenok
baksheyevo	Baksheyevo
balabanovo	Balabanovo
balagansk	Balagansk
balakhninskiy	Balakhninskiy
balakhonovskoye	Balakhonovskoye
balakhta	Balakhta
balakirevo	Balakirevo
balakovo	Balakovo
balasheyka	Balasheyka
balashikha	Balashikha
balashov	Balashov
baley	Baley
balezino	Balezino
balgazyn	Balgazyn
baltasi	Baltasi
baltay	Baltay
baltiysk	Baltiysk
balyaga	Balyaga
bammatyurt	Bammatyurt
bamut	Bamut
baraba	Baraba
barabash	Barabash
barabinsk	Barabinsk
baranchinskiy	Baranchinskiy
barashevo	Barashevo
barda	Barda
barguzin	Barguzin
barnaul	Barnaul
barsovo	Barsovo
barsuki	Barsuki
barsukovskaya	Barsukovskaya
barvikha	Barvikha
baryatino	Baryatino
barybino	Barybino
barysh	Barysh
baryshevo	Baryshevo
barzas	Barzas
bashmakovo	Bashmakovo
bastan	Bastan
batagay	Batagay
batagay-alyta	Batagay-Alyta
bataysk	Bataysk
batetskiy	Batetskiy
baturinskaya	Baturinskaya
batyrevo	Batyrevo
bavleny	Bavleny
bavly	Bavly
bavtugay	Bavtugay
bay-khaak	Bay-Khaak
bayan-kol	Bayan-Kol
bayanday	Bayanday
bayangol	Bayangol
bayevo	Bayevo
baykalovo	Baykalovo
baykal’sk	Baykal’sk
baykit	Baykit
baymak	Baymak
bayunovskiye klyuchi	Bayunovskiye Klyuchi
bazarnyy karabulak	Bazarnyy Karabulak
bazarnyy syzgan	Bazarnyy Syzgan
bazarnyye mataki	Bazarnyye Mataki
bazhovo	Bazhovo
bedeyeva polyana	Bedeyeva Polyana
begichevskiy	Begichevskiy
begunitsy	Begunitsy
bekeshevskaya	Bekeshevskaya
bekhteyevka	Bekhteyevka
bekovo	Bekovo
belaya	Belaya
belaya berezka	Belaya Berëzka
belaya glina	Belaya Glina
belaya gora	Belaya Gora
belaya kalitva	Belaya Kalitva
belaya kholunitsa	Belaya Kholunitsa
belaya rechka	Belaya Rechka
belebey	Belebey
belev	Belëv
belgatoy	Belgatoy
belgorod	Belgorod
belidzhi	Belidzhi
belinskiy	Belinskiy
belogorsk	Belogorsk
belogor’ye	Belogor’ye
belokurikha	Belokurikha
belomorsk	Belomorsk
beloomut	Beloomut
beloostrov	Beloostrov
beloozyorskiy	Beloozyorskiy
belorechensk	Belorechensk
belorechenskiy	Belorechenskiy
beloretsk	Beloretsk
belousovo	Belousovo
belovo	Belovo
beloyarsk	Beloyarsk
beloyarskiy	Beloyarskiy
beloye	Beloye
belozernyy	Belozërnyy
belozersk	Belozërsk
belozerskoye	Belozerskoye
belush’ya guba	Belush’ya Guba
belyashi	Belyashi
belyayevka	Belyayevka
belyy	Belyy
belyy gorodok	Belyy Gorodok
belyy yar	Belyy Yar
belyye berega	Belyye Berega
belyye stolby	Belyye Stolby
benoy-yurt	Benoy-Yurt
berdigestyakh	Berdigestyakh
berdsk	Berdsk
berdyaush	Berdyaush
berdyuzh’ye	Berdyuzh’ye
beregovoy	Beregovoy
berendeyevo	Berendeyevo
bereslavka	Bereslavka
bereza	Berëza
berezanskaya	Berezanskaya
berezayka	Berezayka
bereznik	Berëznik
berezniki	Berezniki
bereznyaki	Bereznyaki
berezovka	Berëzovka
berezovo	Berëzovo
berezovskiy	Berëzovskiy
berezovyy	Berëzovyy
beringovskiy	Beringovskiy
berkakit	Berkakit
bernovo	Bernovo
bershet’	Bershet’
beryozovsky	Beryozovsky
beshpagir	Beshpagir
beslan	Beslan
besleney	Besleney
