bugaragara	Bugaragara
bugarama	Bugarama
bushekeri	Bushekeri
bushenge	Bushenge
busogo	Busogo
butare	Butare
byumba	Byumba
cyangugu	Cyangugu
cyato	Cyato
eglise catholique, centrale giko	Eglise Catholique, Centrale GIKO
gahini	Gahini
gihombo	Gihombo
gikongoro	Gikongoro
gisenyi	Gisenyi
gitarama	Gitarama
gitesi	Gitesi
kagano	Kagano
kamuhanda / ruyenzi	Kamuhanda / Ruyenzi
karambi	Karambi
karengera	Karengera
kayonza	Kayonza
kibungo	Kibungo
kibuye	Kibuye
kigali	Kigali
kinigi	Kinigi
kirambo	Kirambo
kirimbi	Kirimbi
kora	Kora
mabanza	Mabanza
macuba	Macuba
mahembe	Mahembe
mugina	Mugina
muhanga	Muhanga
mukamira	Mukamira
mukingo	Mukingo
musanze	Musanze
ndera	Ndera
ngororero	Ngororero
nyabitekeli	Nyabitekeli
nyagatare	Nyagatare
nyamata	Nyamata
nyanza	Nyanza
nzega	Nzega
rangiro	Rangiro
ruhango	Ruhango
ruhuha	Ruhuha
rwamagana	Rwamagana
shangi	Shangi
shyorongi	Shyorongi
tare	Tare
umutara	Umutara
