abborrberget	Abborrberget
aby	Åby
ahus	Åhus
akalla	Akalla
akarp	Åkarp
akers styckebruk	Åkers Styckebruk
akersberga	Åkersberga
alafors	Alafors
alby	Alby
aled	Åled
alfta	Alfta
alingsas	Alingsås
almhult	Älmhult
almsta	Älmsta
alsike	Alsike
alta	Älta
alunda	Alunda
alvangen	Älvängen
alvdalen	Älvdalen
alvesta	Alvesta
alvkarleby	Älvkarleby
alvsbyn	Älvsbyn
amal	Åmål
amotfors	Åmotfors
andalen	Andalen
anderslov	Anderslöv
anderstorp	Anderstorp
aneby	Aneby
ange	Ånge
angelholm	Ängelholm
angered	Angered
ankarsrum	Ankarsrum
anneberg	Anneberg
annelund	Annelund
arboga	Arboga
arbra	Arbrå
are	Åre
arjang	Årjäng
arjeplog	Arjeplog
arla	Ärla
arlov	Arlöv
arno	Arnö
arsta	Årsta
arsunda	Årsunda
arvidsjaur	Arvidsjaur
arvika	Arvika
as	Ås
asa	Åsa
asbro	Åsbro
aseda	Åseda
asele	Åsele
askersund	Askersund
asmundtorp	Asmundtorp
astorp	Åstorp
atvidaberg	Åtvidaberg
avesta	Avesta
axvall	Axvall
backa	Backa
balinge	Bälinge
balsta	Bålsta
bankeryd	Bankeryd
bara	Bara
barkaro	Barkarö
barslov	Bårslöv
bastad	Båstad
bengtsfors	Bengtsfors
berg	Berg
bergby	Bergby
bergeforsen	Bergeforsen
bergkvara	Bergkvara
bergnaset	Bergnäset
bergshamra	Bergshamra
bergsjo	Bergsjö
bergsviken	Bergsviken
billdal	Billdal
billeberga	Billeberga
billesholm	Billesholm
billingsfors	Billingsfors
bjarnum	Bjärnum
bjarred	Bjärred
bjasta	Bjästa
bjorboholm	Björboholm
bjorklinge	Björklinge
bjorko	Björkö
bjorkskatan	Björkskatan
bjorlanda	Björlanda
bjorneborg	Björneborg
bjurholm	Bjurholm
bjursas	Bjursås
bjuv	Bjuv
blentarp	Blentarp
blido	Blidö
blomstermala	Blomstermåla
bodafors	Bodafors
boden	Boden
boliden	Boliden
bollebygd	Bollebygd
bollmora	Bollmora
bollnas	Bollnäs
bollstabruk	Bollstabruk
boo	Boo
bor	Bor
boras	Borås
borensberg	Borensberg
borgholm	Borgholm
borlange	Borlänge
boxholm	Boxholm
braas	Braås
bracke	Bräcke
brakne-hoby	Bräkne-Hoby
bralanda	Brålanda
brastad	Brastad
bredaryd	Bredaryd
bredbyn	Bredbyn
brevik	Brevik
bro	Bro
broby	Broby
bromma	Bromma
bromolla	Bromölla
brunflo	Brunflo
brunn	Brunn
brunna	Brunna
bua	Bua
bunkeflostrand	Bunkeflostrand
burea	Bureå
burtrask	Burträsk
byske	Byske
charlottenberg	Charlottenberg
dalaro	Dalarö
dalby	Dalby
dals langed	Dals Långed
dalsjofors	Dalsjöfors
danderyd	Danderyd
degeberga	Degeberga
degerfors	Degerfors
deje	Deje
delsbo	Delsbo
dingtuna	Dingtuna
diserod	Diseröd
djuras	Djurås
djuro	Djurö
djursholm	Djursholm
donso	Donsö
dorotea	Dorotea
ed	Ed
edsbyn	Edsbyn
ekangen	Ekängen
ekeby	Ekeby
ekeby-almby	Ekeby-Almby
ekenassjon	Ekenässjön
ekero	Ekerö
eksharad	Ekshärad
eksjo	Eksjö
ellos	Ellös
emmaboda	Emmaboda
enbacka	Enbacka
enebyberg	Enebyberg
