adeane	Adéane
amady ounare	Amady Ounaré
bakel	Bakel
bambey	Bambey
bargny	Bargny
bargny guedj	Bargny Guèdj
bargny ngoude	Bargny Ngoude
bignona	Bignona
birkelane	Birkelane
bode	Bodé
bounkiling	Bounkiling
cap skirring	Cap Skirring
dabo	Dabo
dagana	Dagana
dakar	Dakar
dara	Dara
dembankane	Dembankané
demet	Démèt
demette	Demette
diakhao	Diakhao
diamniadio	Diamniadio
diana malari	Diana Malari
diaoube	Diaoubé
diattakounda	Diattakounda
diawara	Diawara
diofior	Diofior
diouloulou	Diouloulou
diourbel	Diourbel
dougnane	Dougnane
fas	Fas
fatick	Fatick
foundiougne	Foundiougne
gae	Gaé
galoya toucouleur	Galoya Toucouleur
gandiaye	Gandiaye
golere	Goléré
gossas village	Gossas Village
goudiry	Goudiry
goudomp	Goudomp
guede	Guédé
guediawaye	Guédiawaye
gueoul	Guéoul
guinguineo	Guinguinéo
haire lao	Haïré Lao
jaxaay parcelle niakoul rap	Jaxaay Parcelle Niakoul Rap
joal	Joal
kaffrine	Kaffrine
kahone	Kahone
kanel	Kanel
kaolack	Kaolack
karang poste	Karang Poste
kayar	Kayar
kbombole	Kbombole
kebemer	Kébémer
kedougou	Kédougou
keur madiabel	Keur Madiabel
keur medoune	Keur Médoune
khombole	Khombole
kidira	Kidira
kolda	Kolda
kotiari	Kotiari
koumpentoum	Koumpentoum
koungheul	Koungheul
koungneul sosse	Koungneul Sossé
kounkane	Kounkané
le plateau	Le Plateau
linguere	Linguère
louga	Louga
madina wandifa	Madina Wandifa
malem hodar	Malèm Hodar
malem niani	Malèm Niani
marsassoum	Marsassoum
matam	Matam
mbake	Mbaké
mbeuleukhe	Mbeuleukhé
mboro	Mboro
mbos	Mbos
mbos ndiamb	Mbos Ndiamb
mbouba	Mbouba
mbour	Mbour
medina gounas	Médina Gounas
medina-yorofoula	Médina-Yorofoula
mekhe	Mékhé
mermoz boabab	Mermoz Boabab
ndiagne	Ndiagne
ndiamakouta	Ndiamakouta
ndiandane	Ndiandane
ndibene dahra	Ndibène Dahra
ndioum	Ndioum
ndofane	Ndofane
nganda	Nganda
ngaparou	Ngaparou
nguekhokh	Nguékhokh
nguidjlone	Nguidjlone
niakoul rab	Niakoul Rab
nioro du rip	Nioro du Rip
n’diareme limamoulaye	N’diareme limamoulaye
odobere	Odobéré
oualalde	Oualaldé
ouro sogui	Ouro Sogui
oussouye	Oussouye
pal	Pal
passy	Passy
pata	Pata
pete	Pété
pikine	Pikine
podor	Podor
polel diaoube	Polel Diaoubé
poponguine	Poponguine
poukham un	Poukham Un
pout	Pout
ranerou	Ranérou
richard-toll	Richard-Toll
ross-betio	Ross-Bétio
rosso	Rosso
rufisque	Rufisque
rufisque est	Rufisque est
saint-louis	Saint-Louis
salemata	Salémata
sali	Sali
samine escale	Samine Escale
sangalkam	Sangalkam
saraya	Saraya
sare yoba diega	Saré Yoba Diéga
sebikhotane	Sébikhotane
sedhiou	Sédhiou
selikenie	Sélikénié
seme	Sémé
sendou	Séndou
sibassor	Sibassor
sintiou bamambe	Sintiou Bamambé
sokone	Sokone
somone	Somone
soubalo mbouba	Soubalo Mbouba
soum	Soum
tambacounda	Tambacounda
tanaf	Tanaf
thiadiaye	Thiadiaye
thies	Thiès
thies nones	Thiès Nones
thilogne	Thilogne
tiebo	Tiébo
tilogne tokossel	Tilogne Tokossel
tionk essil	Tionk Essil
tivaouane	Tivaouane
touba	Touba
velingara	Vélingara
waounde	Waoundé
warang	Warang
ziguinchor	Ziguinchor
